	sequences per sample	iteration	13M1	7M1	1S	12P1	9M1	9S	12A2	3M2	12A1	3P2	7P2	11M	1A	MG1	8S	13S	Nl18Post1	Ao20Ant1	3Abpost1	Nl19Mid1	Nl18Mid2	Nl17Mid1	Nl19Esoph	Ao20Stomach	3AbMid2	Nl19Stomach	2M1	8A	2S	10P2	12M2	8M	7A2	Ax16Mid2	Nl18Ant1	Al11Mid1	Nl18Stomach	Nu15Post1	Zv6Mid1	Nl17Esoph	Ax16Ant1	Nu1post2	Al12Stomach	3M1	6P2	8P2	Nu15Stomach	Nu15Mid2	Nl19Post1	Zv6Ant2	Nl19Post2	Ao20Esophagus	At14Esophagus	3AbStomach	At4Mid2	U.Food.	Ax16Stomach	Nu1post3	Nl18Esoph	Nl8Mid2	Nl17Stomach	Ao20Post1	Ax16Post1	Zv6Post3	Zv6Post1	7A1	2A	10M1	At14Ant1	Zf5Post3	3AbAnt1	Nl8Ant2	Al11Post2Material	Al12Post2	Zf5Stomach	Zv6Post2	Zv6Mid2	Zf5Post2	12M1	6M2	1P	6A	3A	9A	Nl8Esophagus	At14Post1	Nu15Esophagus	3P1	11P	11S	7P1	7S	8P1	13P2	10P1	Nl17Post2	9P1	9P2	Ax16Esophagus	Nl19Ant1	Nu15Mid1	13A2	11A	13M2	6S	13A1	13P1	10A2	12S	6M1	10M2	HG1	An10Stomach	Nu1post1	At4Post1	3AbPost2	At14Mid2	Nl19Ant2	Nl17Ant1	Nl17Mid2	Ax16Post3	An10Mid	Nl17Post1	Nu1Ant12	3Abmid1	3P3	12P2	9M2	1M1	Al12Post3	6P1	2M2	3S	Nl18Post2	Al11Ant1	Nu1Mid1	Zv6Stomach	Nl8Mid1	An9Post2	At4Post2	2P1	Nu15Ant1	An9Ant2	3AbPost3	Zv6Ant1	Al12Ant2	Al12Esophagus	Ax16Ant2	At14Ant2	At14Stomach	Nl17Ant2	An10Ant1	Zf5Ant1	Nl18Mid1	Zf5Esophagus	Nl8Ant1	Zf5Mid2	Nl19Mid2	At14Mid1	Zf5Post1	Ct13Stomach	Zf5Ant2	At4Ant1	Ax16Post2	Nu1Ant1	Al11Esophagus	Nu15Post2	Al11Ant2
alpha_rarefaction_10_0.txt	10	0	4.10551	5.6403	3.17243	2.74094	4.52249	3.8883	4.0724	6.6242	3.34327	4.24079	5.50296	4.63923	2.99247	4.42934	3.8687	2.08746	5.28089	5.76223	2.25871	5.50092	4.72227	3.19522	5.80088	4.28291	3.70551	5.3906	4.47153	4.20843	4.72978	4.74195	4.22374	3.37008	4.46959	4.91163	4.27202	3.26762	4.60013	4.32565	1.86137	4.55569	1.78454	5.34109	2.61065	2.50002	4.47488	4.53173	4.53742	3.40794	4.96651	1.66573	4.62615	5.18261	6.1246	4.41535	4.65899	1.92021	4.38156	4.90159	5.22957	1.77034	5.32466	5.04209	4.31937	2.66641	2.021	1.1529	0.88446	1.56736	4.7531	3.6477	4.51721	2.35111	3.86349	4.38764	3.76578	4.37774	5.44826	1.20104	0.80365	3.83689	5.88161	5.45078	1.72732	3.74663	2.76539	2.55295	4.59688	3.36135	2.10559	4.10204	3.20346	1.70127	3.3702	4.50102	4.01726	5.13243	3.73608	2.09157	4.71022	5.60731	3.19329	2.1376	0.97375	2.19264	0.88511	0.65789	1.25106	1.65281	0.866	2.67341	1.41339	3.98351	2.93836	2.53571	3.67891	2.01263	3.92192	4.4443	4.72235	3.72091	3.62331	1.59498	5.34391	2.1793	1.88728	2.10292	6.22107	4.11724	2.89351	3.18276	5.66674	1.78846	4.50636	4.32286	4.19487	2.81775	2.2306	2.86231	3.87683	4.42775	5.04315	4.54087	2.70196	5.94782	3.47382	3.44145	3.16418	3.18774	3.65667	5.45441	2.20691	1.94618	0.91689	2.44145	3.72196	0.97567	3.99239	2.50874	5.07814	1.91936	1.25859	2.40941	2.43074	4.51731	1.52038	2.15639	4.15071	4.92198
alpha_rarefaction_10_1.txt	10	1	6.0005	4.36698	2.3227	2.59101	3.70793	3.41591	5.0779	5.64178	2.11973	3.9969	5.22599	5.40506	2.36298	3.82662	1.81813	3.4818	5.16917	5.07257	4.01519	5.54283	3.45929	1.83041	4.06026	3.31146	4.05804	6.29372	4.11385	2.91087	2.3195	4.1755	4.30644	2.45148	2.81446	5.34435	4.39252	2.12405	5.7934	4.53113	3.69099	4.25577	3.51148	4.95666	3.64297	1.91514	4.96366	3.77077	4.05191	4.18288	4.84974	2.52749	4.81714	4.81743	5.12309	3.6979	3.06971	2.61317	6.70169	3.00056	4.02159	2.10399	6.02986	3.52488	3.44293	2.91286	1.87117	2.14014	1.83543	1.52857	4.26848	5.31871	3.98235	1.29454	1.71619	2.35067	4.37598	4.46813	3.43999	1.52775	0.44119	2.9044	4.05977	2.01753	0.76164	3.96804	3.04681	3.3806	5.66712	3.83949	0.63034	3.19004	2.62155	0.02986	5.74799	6.08784	5.27009	5.35144	4.02475	2.00143	5.4621	4.90799	1.51673	1.25134	0.7761	1.70812	1.46118	1.4822	2.05175	1.30115	0.12668	1.14569	2.29225	4.64464	1.70702	2.31946	2.89687	2.41035	5.76795	4.414	4.39212	4.90656	2.17402	2.28652	6.19295	1.28866	1.62115	4.76057	5.35115	2.52035	3.78569	3.17885	4.35716	3.35667	4.23519	4.40662	5.20592	1.90327	1.2172	2.82974	3.53384	4.37511	3.92472	4.75996	2.38772	4.0996	2.25922	2.44913	3.14611	2.78691	3.84412	4.96581	2.01965	2.79027	1.96101	2.99863	3.8101	1.19811	3.01451	3.3735	4.3736	2.05383	2.47796	2.09195	2.09585	4.43114	2.10226	2.58281	5.10791	3.51466
alpha_rarefaction_10_2.txt	10	2	5.11745	4.14723	3.74905	1.65506	4.21789	3.6532	4.97897	4.38238	2.1235	5.32048	5.62119	6.23594	1.51805	5.42954	1.71736	2.57295	3.94642	5.42338	1.13232	6.8276	4.00463	2.42721	5.30118	4.24974	4.09255	5.99107	4.60337	5.10262	4.20963	5.09311	5.10246	1.29631	3.90333	3.74248	5.92247	3.11872	4.74879	5.62764	3.65526	4.64423	1.19551	4.94063	2.34946	2.93784	5.24822	5.38432	2.89802	4.51489	2.54028	2.55593	6.15253	4.73632	4.06461	3.3768	3.73799	1.37847	3.89735	4.99004	5.14545	3.49946	5.6568	5.01705	2.55347	6.0597	2.57823	1.47446	2.00523	3.47635	3.84125	4.04176	5.28421	1.64963	3.45307	3.8996	4.2044	3.60631	3.14323	2.51432	3.25855	0.96235	2.94843	1.63796	1.82675	2.20191	3.84273	3.38756	3.93629	5.0435	0.81139	3.41374	3.64769	2.05946	4.91131	3.33362	4.82943	4.88439	4.96538	1.88921	5.18442	3.88547	3.04869	1.52382	2.01768	2.62319	0.7761	0.7761	1.48496	1.5347	0.7761	0.06316	1.20754	3.65434	2.33995	3.19646	4.40239	1.66796	4.14433	1.82478	4.82503	5.5574	2.18166	2.72667	5.07162	1.22829	1.88728	3.69851	5.52361	2.78511	2.06223	5.41184	4.47082	1.3016	3.90298	3.98586	3.83623	2.1193	3.10737	3.18019	3.77377	3.19491	4.96892	5.44854	2.11229	4.51091	3.88915	1.82955	2.41437	3.08201	4.51252	5.03853	1.30035	2.20593	3.08324	2.93107	3.47876	2.61036	3.92788	3.48336	3.62502	3.36947	0.72352	2.79159	2.45593	4.89126	2.27824	3.45636	3.89524	2.98566
alpha_rarefaction_10_3.txt	10	3	4.45078	4.77607	3.04607	2.91273	4.6805	5.04224	5.41491	5.03248	2.4246	3.62552	4.73831	4.88628	2.31879	4.78976	3.35803	3.05232	4.93917	2.13896	1.89244	5.47679	4.50411	3.06955	4.31871	4.27881	5.0403	4.75191	4.56934	4.38353	1.07959	4.46498	5.04336	3.49144	4.31776	4.22826	6.1806	2.43414	5.14764	3.07537	2.05409	5.36047	0.96605	5.09277	2.54945	1.28802	5.58206	5.64241	4.85389	4.31827	3.1616	3.45343	5.00657	4.49385	5.64778	4.74417	3.5352	2.96681	4.10483	4.7687	4.62687	2.13274	5.31372	3.95763	4.21792	1.59544	2.1158	2.33271	1.42507	2.65741	4.3414	5.59098	2.93441	1.31467	3.69229	4.15742	4.14488	4.58199	3.81829	1.91736	0.93586	2.95338	4.30249	3.15126	2.20217	3.46706	2.16228	3.81989	4.56167	4.67895	1.3287	2.66147	3.90191	2.14816	4.98371	5.4741	5.31456	5.15031	5.39657	2.0306	5.31589	5.16999	3.85579	0.98986	1.21283	2.03625	1.77213	0.36654	1.61959	0.63034	2.26495	2.37323	2.08109	3.41134	2.82235	3.52919	2.62071	1.66139	4.49487	5.36279	4.63521	3.52447	2.06779	1.23971	4.95137	2.1193	1.66379	3.30302	6.75023	2.70941	2.6633	2.80608	3.15015	2.33565	4.09799	4.25564	3.15733	2.31487	2.37981	3.248	2.74687	3.09371	3.55228	5.5753	2.98866	4.59091	4.00104	2.60453	4.39008	3.77857	6.41157	4.76819	1.77229	2.87901	1.67772	3.04646	3.501	2.03039	3.20232	3.10425	3.36485	3.05088	1.78062	3.29775	2.64601	5.20919	3.35989	3.98095	3.96225	3.65766
alpha_rarefaction_10_4.txt	10	4	5.62009	4.26901	4.88095	2.31367	3.75595	3.1074	4.29679	5.60139	2.30843	5.57245	4.8227	5.62691	2.12667	7.05824	1.83243	1.99201	4.41151	4.95657	2.2799	5.57397	5.04346	5.35284	4.48175	3.83185	4.66952	5.35139	2.20627	4.14444	3.14752	4.39423	3.9763	2.97109	2.81821	3.54244	3.8169	4.11181	4.08382	4.80965	2.82374	5.20892	1.76403	4.26585	3.73958	1.75526	5.81436	3.31779	5.01146	5.03243	2.70207	2.78247	5.7668	5.43941	4.86132	3.30676	3.13121	2.3878	4.09775	3.85383	4.38276	1.82139	5.22346	6.23939	3.08354	4.4165	0.97771	0.16731	1.58727	3.80057	6.0789	5.71334	6.35736	1.38063	2.23391	2.49829	3.58057	3.95103	4.11672	2.11918	1.73473	2.81234	3.63548	1.22133	1.76943	3.6891	2.50155	3.48156	4.08349	5.34154	0.7845	1.8799	2.97249	1.73736	4.15249	3.23624	3.59018	4.27896	5.05886	2.42195	5.40715	4.99141	2.04282	3.01833	1.57557	1.78582	1.85206	0.32499	1.07504	2.15215	0.02986	1.20119	0.80365	3.40709	3.83167	2.76924	3.40492	1.37594	4.83127	3.77018	5.3625	5.55919	2.03457	1.672	4.55182	1.22231	1.88728	5.23638	5.59147	3.10371	2.84761	1.7101	4.76944	2.84496	4.68918	4.6347	3.26256	2.68174	2.33888	3.48799	3.20353	4.97028	4.05424	5.29268	3.6753	4.45772	2.63026	1.75556	2.87687	2.82567	5.09568	4.82431	2.36452	3.22021	1.75384	2.35856	5.63666	1.73539	4.86237	2.92294	4.91016	3.70746	2.18257	4.51524	3.47948	4.9999	2.93808	3.31313	3.89234	4.22068
alpha_rarefaction_10_5.txt	10	5	5.27352	6.16293	2.58164	1.14433	4.46468	4.85811	5.79809	5.88316	0.05741	5.90703	4.76871	4.19296	1.67287	5.38122	2.68777	1.10446	5.47773	4.84687	3.66122	5.846	3.70838	3.22283	5.81262	4.04747	3.2985	4.37927	3.61702	3.92578	4.1526	4.5121	4.7579	2.29312	3.80909	5.09652	4.4311	2.32607	4.66175	4.34508	2.86823	4.89525	0.62325	4.66128	3.1143	1.29133	4.96245	5.50861	3.29958	2.95654	1.44729	1.88806	4.48888	4.58301	3.66875	3.20904	3.32463	3.73876	3.81426	4.55049	4.33244	3.57558	3.59727	5.72851	3.55625	3.52087	2.07764	2.62529	2.10164	2.64439	4.35813	2.77753	5.17618	1.15171	4.20622	3.15018	3.27355	5.27056	2.58975	3.61335	0.02986	1.41892	5.82822	2.22287	0.57667	4.87595	3.15986	2.36182	4.62506	3.3096	1.66857	1.74035	3.15697	1.80956	4.76232	5.57541	4.33674	5.05502	5.1936	4.22136	5.48361	2.48162	1.16674	2.65854	1.23267	1.57749	1.54392	2.30896	1.56063	2.79744	1.19962	1.77979	2.77028	3.839	2.55379	3.64485	1.44443	1.49275	5.08778	4.85128	3.60181	5.03531	1.77365	2.45926	5.7554	1.91661	2.72965	5.25508	4.9537	3.65433	2.53118	4.36411	4.67832	1.84336	4.0541	3.56646	3.56486	2.7633	1.74153	3.17084	2.63403	2.97532	4.71418	4.4811	1.98589	4.89446	2.94586	3.28913	1.96685	2.53086	3.95774	3.94505	1.75176	1.91848	1.19154	3.30289	4.47886	1.92512	2.95723	3.18721	5.21496	3.05074	4.06702	2.17847	3.1336	5.26776	2.75198	2.9454	3.88085	3.38866
alpha_rarefaction_10_6.txt	10	6	5.2955	5.33741	4.36326	0.93199	3.88128	5.45562	4.73675	4.72251	2.73988	5.61901	4.33427	4.23169	2.12038	4.73482	2.93151	1.62975	6.3947	4.62116	3.41176	4.09213	5.00323	3.62601	3.9001	3.75488	3.12745	5.69915	3.27636	3.63205	4.08288	4.64145	3.80487	2.12786	2.76769	5.4463	4.24093	2.2434	4.92409	4.41715	1.23767	4.87991	1.42711	3.17567	3.43777	0.66031	4.57756	4.45012	4.90487	4.06685	4.99727	3.25142	5.32988	5.95631	4.11758	3.50706	3.04128	1.46062	4.51321	4.44729	5.5103	3.53605	4.47858	3.7463	4.21996	3.63461	2.58711	1.31405	0.77324	2.49043	3.00705	4.23792	2.91619	1.91555	2.38141	2.97669	4.09356	4.36584	2.95841	1.76623	2.38123	2.05474	5.51275	0.79624	2.81819	3.41589	3.57397	4.44449	4.6575	3.73967	1.10351	2.18208	3.06292	0.93423	4.01742	4.50129	3.65337	5.93149	5.34233	3.28369	4.27723	4.91496	1.71375	2.22288	1.3287	0.80906	1.29581	0.40915	1.63606	0.80365	1.30943	2.23303	1.82133	3.09467	1.95034	2.36486	3.205	1.95681	5.3732	4.7706	3.78965	4.2804	3.12931	1.81833	5.47672	1.38827	1.82598	3.64846	6.28089	3.41497	3.1209	3.92843	4.3061	1.49042	3.46394	4.49815	4.04592	3.12038	1.66999	4.38156	3.08539	2.8183	5.67099	6.14182	2.23418	4.7294	2.7809	2.71437	2.48894	2.89134	5.61151	3.71407	2.34961	1.47576	0.62294	1.57709	3.45342	3.69342	2.50354	4.25392	4.27283	4.41813	1.98188	3.37769	1.00284	4.20962	2.68054	2.24098	6.55122	5.24454
alpha_rarefaction_10_7.txt	10	7	5.76017	4.69721	4.49344	1.94044	3.89133	3.88271	4.77951	6.46359	0.53592	4.48419	4.48011	5.21528	2.98253	5.02855	3.49633	1.59701	5.53955	3.37297	3.72343	5.7531	5.77706	3.40392	5.88002	3.21201	4.67724	5.18647	3.9083	4.66186	3.16872	4.66133	4.48931	3.30703	3.73565	3.94053	3.57342	2.28169	5.89009	3.61734	2.4249	4.82849	1.65217	4.80364	3.37548	2.47091	2.70204	6.28332	3.63653	4.6572	4.92966	1.65583	5.93949	5.01333	4.78015	2.32061	5.09595	4.41937	4.62759	5.74418	5.86137	1.78107	4.02456	4.73303	4.04648	4.25414	1.45585	0.65808	0.68034	3.35237	4.35771	4.80132	5.18883	1.58919	4.25586	3.0226	4.68462	3.52263	2.68624	1.85796	2.72457	1.82796	3.19705	2.2954	1.12231	2.41426	3.37036	4.93952	3.21369	3.3517	2.57634	3.39746	2.4907	2.32046	4.81372	5.55374	5.342	4.75162	5.3204	2.82732	3.65926	5.74476	3.12647	1.31167	1.12231	0.50837	2.35932	2.35304	1.51604	0.66148	0.02986	2.27182	1.28667	3.74024	1.88616	3.24318	5.16895	2.14492	4.50836	2.19387	5.11617	3.39614	2.0964	1.48633	5.89142	0.78416	1.20126	4.31452	4.96272	2.0279	2.31578	3.31028	4.68761	2.2982	3.96568	5.42081	4.20033	1.67269	3.05097	3.49505	2.47088	3.52159	4.8533	3.04791	2.74204	5.20896	4.23788	1.58222	2.39136	2.56383	3.80108	5.07345	2.79095	2.32222	1.28905	2.36104	3.80215	3.0512	3.33349	3.04839	4.6622	2.72419	1.87005	2.39273	0.95453	4.98392	1.79459	1.8169	5.54525	3.2039
alpha_rarefaction_10_8.txt	10	8	4.11616	5.15031	2.39796	1.77763	4.89611	4.09008	5.81492	4.58217	2.67074	4.70541	4.87742	4.73041	2.94901	4.78285	2.00485	3.55479	4.0858	4.84761	3.86898	3.83294	3.45881	3.04613	4.10767	5.27847	4.82126	5.39269	3.15649	3.94494	4.3988	5.60773	4.89723	3.66495	3.30173	4.22431	4.51374	2.5441	4.82184	5.2819	2.23547	4.86212	1.50167	4.50451	2.97932	2.27025	4.41331	4.81746	4.204	4.80247	4.62194	2.41449	5.44571	3.99698	3.41004	3.34087	3.18227	2.5606	4.45375	5.1515	3.54415	3.63169	5.41644	4.17192	4.25348	2.76588	2.83428	2.14856	2.79617	3.54175	5.37381	2.16979	3.59612	2.07888	1.69057	2.9913	3.69809	4.7233	5.18442	1.81931	1.41633	3.15201	3.70092	3.88754	1.81809	2.51632	2.10821	4.14787	3.41602	3.40651	0.02986	2.40437	3.99924	1.30156	3.79953	4.30333	4.73941	5.3049	4.21334	2.9721	3.94851	5.01932	3.15515	1.45151	0.83671	2.18836	1.8598	1.50975	0.79624	1.05927	1.61076	1.0041	1.91933	4.83751	2.24736	3.10617	3.37783	1.68273	5.23584	4.07021	4.48468	3.34776	1.05448	2.32381	6.00762	1.29978	1.62115	4.1898	5.66484	1.69568	4.48195	2.7296	4.47542	1.38405	3.40124	5.61446	3.65047	2.86645	2.13788	4.14264	3.06861	2.89988	4.75477	5.26115	4.27235	5.30529	3.488	2.70744	3.50537	4.12805	4.18295	5.33444	1.1456	4.42329	3.72905	1.10869	3.59146	1.90477	2.70921	3.60844	4.64261	5.37518	2.0022	2.84544	1.18181	4.23835	2.35161	4.40872	4.54704	3.97111
alpha_rarefaction_10_9.txt	10	9	4.5171	5.14055	4.46213	1.52996	4.05393	3.77291	5.56414	4.94148	3.04612	5.21061	6.19423	5.56385	1.02921	7.18765	3.64433	2.64276	5.86825	5.43604	1.98439	5.17222	5.5463	2.65095	4.95938	3.67274	4.26848	5.401	3.09097	4.66812	2.58311	5.18125	3.65691	2.82792	2.8992	5.32311	4.98623	2.14676	5.4834	5.53877	1.80799	4.23087	4.08127	4.98226	1.47364	3.28097	5.33229	6.0615	4.77459	4.50044	4.65346	2.36205	6.22013	4.58935	5.11722	2.40495	3.68388	3.12207	3.63663	6.02983	3.55723	1.25052	4.65455	5.95558	3.57204	3.14793	2.61029	1.17364	1.11499	2.42326	4.79148	5.4241	6.38461	1.84593	4.63927	1.78714	4.63292	3.88956	3.63243	1.50063	1.76384	1.91753	3.22084	2.65573	0.05741	4.55021	3.0769	3.39684	6.27382	3.7467	1.74717	5.13957	4.09606	0.78185	5.87986	4.05829	4.80116	6.04015	5.79622	2.79939	3.6166	4.69685	2.8993	3.36674	1.11511	2.17074	1.07163	0.58067	1.24384	0.83894	0.63034	0.81139	2.91661	3.65313	1.92758	2.21026	3.32257	1.47033	3.61397	4.26187	3.94836	4.88491	2.18248	2.5102	3.69925	1.31816	1.88728	3.72434	4.54678	4.80849	2.94107	3.67342	5.32432	2.3632	4.23346	4.81973	4.63514	3.05859	1.85051	4.26581	3.68814	2.92141	4.94491	5.48836	1.26602	4.17498	3.3038	2.102	2.95357	2.14736	3.78458	5.54436	1.2477	1.60851	2.37233	2.76502	3.70845	2.66664	2.35844	3.32497	4.39145	4.8681	2.08628	1.80636	2.54893	5.01714	2.75806	2.79812	4.20915	3.42385
