	sequences per sample	iteration	13M1	7M1	1S	12P1	9M1	9S	12A2	3M2	12A1	3P2	7P2	11M	1A	MG1	8S	13S	Nl18Post1	Ao20Ant1	3Abpost1	Nl19Mid1	Nl18Mid2	Nl17Mid1	Nl19Esoph	Ao20Stomach	3AbMid2	Nl19Stomach	2M1	8A	2S	10P2	12M2	8M	7A2	Ax16Mid2	Nl18Ant1	Al11Mid1	Nl18Stomach	Nu15Post1	Zv6Mid1	Nl17Esoph	Ax16Ant1	Nu1post2	Al12Stomach	3M1	6P2	8P2	Nu15Stomach	Nu15Mid2	Nl19Post1	Zv6Ant2	Nl19Post2	Ao20Esophagus	At14Esophagus	3AbStomach	At4Mid2	U.Food.	Ax16Stomach	Nu1post3	Nl18Esoph	Nl8Mid2	Nl17Stomach	Ao20Post1	Ax16Post1	Zv6Post3	Zv6Post1	7A1	2A	10M1	At14Ant1	Zf5Post3	3AbAnt1	Nl8Ant2	Al12Post2	Zf5Stomach	Zv6Post2	Zv6Mid2	Zf5Post2	12M1	6M2	1P	6A	3A	9A	Nl8Esophagus	At14Post1	Nu15Esophagus	3P1	11P	11S	7P1	7S	8P1	13P2	10P1	Nl17Post2	9P1	9P2	Ax16Esophagus	Nl19Ant1	Nu15Mid1	13A2	11A	13M2	6S	13P1	10A2	12S	6M1	10M2	HG1	An10Stomach	Nu1post1	At4Post1	3AbPost2	At14Mid2	Nl17Ant1	Nl17Mid2	Ax16Post3	An10Mid	Nl17Post1	Nu1Ant12	3Abmid1	12P2	9M2	1M1	Al12Post3	Nl18Post2	Al11Ant1	Nu1Mid1	Zv6Stomach	Nl8Mid1	An9Post2	At4Post2	2P1	Nu15Ant1	An9Ant2	3AbPost3	Zv6Ant1	Al12Ant2	Al12Esophagus	Ax16Ant2	At14Ant2	At14Stomach	An10Ant1	Zf5Ant1	Nl18Mid1	Zf5Esophagus	Nl8Ant1	Zf5Mid2	Nl19Mid2	At14Mid1	Zf5Post1	Ct13Stomach	Zf5Ant2	At4Ant1	Ax16Post2	Nu1Ant1	Al11Esophagus	Nu15Post2	Al11Ant2
alpha_rarefaction_10_0.txt	10	0	3.07153	3.24318	2.29537	1.78864	4.0414	2.92331	3.81495	3.89974	3.13432	5.47911	5.17768	5.115	2.41358	5.61044	1.23965	2.07388	6.30805	2.70301	2.16941	3.86402	4.08186	3.06663	5.68316	3.59748	3.72495	5.20185	4.09361	2.78925	3.85762	5.07792	3.85892	3.15146	4.59216	3.10377	4.83159	3.3472	3.88501	2.65931	4.30808	4.88141	2.89431	4.24472	4.43766	1.98486	3.82233	2.87343	4.98845	3.66228	3.48189	4.27191	4.27708	2.96804	3.02445	3.13416	1.73074	3.32404	3.966	4.45022	2.53687	3.86627	3.80206	4.2193	4.62618	2.27327	2.83067	1.3162	1.48389	1.35076	5.37801	3.62428	1.36308	1.27507	2.98071	3.644	2.24501	3.01181	2.71998	1.94658	3.34927	4.27445	1.42872	2.7206	5.19607	3.84346	3.7069	4.54915	3.98039	1.98453	3.19778	2.68217	1.64675	4.04064	3.53047	2.54294	2.57592	4.84396	2.92655	3.66811	1.60849	2.17478	3.06542	2.63154	2.59509	2.54082	1.89774	2.2509	0.05984	1.76808	0.01527	1.97924	1.29292	2.46367	5.37021	2.75654	4.93167	5.54385	3.19358	2.62614	3.49909	1.03613	4.73402	1.63016	3.3359	2.94656	3.72531	2.53885	4.39523	3.56103	5.23776	2.05026	2.80297	3.06695	4.16047	5.52459	3.65413	2.47762	3.1283	2.30968	4.34917	3.34103	4.80903	4.39337	3.5847	1.65016	1.67017	3.1017	2.80695	2.91319	2.60928	3.83209	2.77679	1.83244	2.03911	3.16018	1.17331	4.40597	0.86524	3.85427	3.74838	3.51536
alpha_rarefaction_10_1.txt	10	1	5.82323	3.19092	4.14423	1.97025	3.14389	4.09928	3.4239	5.49574	3.03621	3.3652	4.30676	4.52945	1.38958	4.23365	0.45577	2.28972	3.038	4.48373	3.11188	4.14729	3.33733	1.95115	5.01132	6.03482	2.14105	3.51373	2.69562	3.9425	3.05673	5.53433	4.07419	3.17445	1.97684	3.43192	5.53882	3.73298	2.97866	3.24914	4.87128	6.06009	1.75445	6.20039	2.45274	1.64675	5.30546	4.95114	5.91399	3.85938	5.41191	2.62542	4.00984	4.47344	2.39508	5.0251	3.00998	3.63773	5.06746	5.05774	4.90856	3.5686	2.7846	5.86476	5.21132	2.12955	3.06126	0.05984	1.64675	1.99951	5.48025	3.78394	4.3953	1.76278	3.00131	3.01133	2.96393	3.28784	3.09919	2.99905	1.59445	3.44772	2.93831	0.82113	2.92154	4.07536	1.71048	3.1314	4.13657	2.52417	5.10316	3.12132	1.87066	3.78329	3.88745	4.5925	4.85878	3.93212	1.49978	1.60928	1.07282	0.38938	1.19343	1.56597	0.83407	3.07757	3.22947	0.01527	2.97414	3.16764	0.99124	1.74445	3.85973	2.00393	3.64922	4.05609	3.65053	3.0041	3.27255	2.3021	2.54267	2.54107	2.40143	2.62406	3.54726	2.5077	3.66544	3.2384	3.04813	4.00098	3.18173	3.59173	2.36533	3.09226	3.28692	3.31571	2.77101	4.68418	4.30147	1.96536	5.56966	4.64196	4.50973	3.57722	4.2968	2.88217	1.34979	3.88962	1.50975	2.71849	1.37596	3.58054	4.4569	2.57443	1.28144	2.04019	3.16881	3.82112	1.67207	2.28401	2.01843	0.7893
alpha_rarefaction_10_2.txt	10	2	6.03432	5.61097	5.4894	0.15163	4.74095	5.74556	4.17664	2.91242	1.48768	6.06761	3.47035	5.51899	4.01697	4.58538	4.60776	3.07383	4.83477	4.82247	0.79941	3.79551	6.46284	2.22611	2.62134	4.34967	4.97765	4.21672	4.66584	2.87537	4.18821	4.01386	4.52054	2.8588	5.62293	4.65313	4.46292	4.23401	3.05358	3.88525	4.36212	3.06691	0.9516	4.29998	2.36403	1.52575	4.01854	5.07376	4.30544	5.02971	2.93088	4.75093	3.92622	1.68259	3.71595	3.338	2.52804	2.55749	5.86628	3.78922	3.2913	3.69557	5.05189	3.26697	3.57962	2.03517	2.47606	1.99901	0.95357	1.86222	4.98175	4.32552	2.61734	2.62014	1.71993	2.13946	3.52561	3.49165	2.87618	3.07284	1.88738	4.96756	1.71434	1.32914	4.3323	2.96248	2.64579	3.01066	2.56839	2.75443	2.38906	3.55924	2.79103	4.53971	4.92373	3.02038	4.64615	4.79405	4.70376	2.49141	4.38735	2.59799	0.82663	1.7477	2.03505	1.98709	1.55447	1.3107	1.7477	2.09313	2.88176	2.5371	1.68901	1.80174	4.2798	1.88898	3.89989	4.74897	3.12835	1.71022	4.15237	4.89799	2.71182	3.01128	3.54147	2.63496	2.89191	2.2843	3.34286	3.43312	3.7888	3.60165	2.72453	5.31685	3.27151	3.47106	3.50234	0.56842	4.23803	2.30849	1.86693	4.21419	3.32628	2.25697	3.36132	1.90793	1.35946	5.13787	4.04694	2.86058	2.71609	1.61074	2.04252	3.67619	2.17007	3.91199	2.04063	5.34809	2.0678	3.84353	2.986	3.24568
alpha_rarefaction_10_3.txt	10	3	3.20068	3.24465	3.66384	2.29603	3.47126	2.86343	3.49264	4.33714	0.87804	4.95838	4.64992	3.20268	3.13793	5.92803	4.40102	3.90813	4.26144	5.51823	2.3952	4.80055	2.38981	3.06606	3.13961	3.3464	4.31648	5.29717	3.89186	5.16488	4.51053	4.18942	4.44888	1.47792	3.33062	3.84538	2.96875	3.78294	4.21101	4.4896	3.61474	4.24038	1.79537	5.22128	1.24862	2.97908	2.70327	3.95414	3.74305	2.09143	6.07281	2.907	4.06403	2.71176	4.41953	3.16018	2.19507	1.60747	5.31993	2.06252	3.47993	2.17628	3.4362	3.49145	1.90788	1.89176	1.91852	2.32384	2.20425	3.27777	4.11467	3.38407	5.55447	2.78863	3.61405	3.87705	1.92826	3.23036	4.18293	1.39697	2.34918	3.76315	2.57143	1.75477	2.49579	3.3902	1.95855	2.15391	4.62633	2.12284	3.64752	3.44557	1.54753	4.6953	2.72039	2.10367	4.37212	4.65536	4.3643	3.26921	2.21755	0.83558	2.22267	2.52223	3.0858	1.54326	2.54477	1.36545	1.7532	2.84752	1.39198	4.40972	1.95689	2.3435	4.12622	1.55515	1.25017	3.84439	4.26048	2.46412	3.62878	3.08021	4.30018	2.62406	4.78842	2.41871	3.88523	2.06976	4.39539	5.67444	3.86089	2.54207	2.30187	3.43328	4.32422	2.51308	2.96806	3.3832	2.93405	2.89089	4.09396	3.3533	2.86437	4.82665	1.57829	1.34504	2.11873	2.88236	2.6599	3.1125	3.2365	2.47033	4.18615	2.81433	1.74661	2.21387	1.58852	5.1955	1.18726	2.03608	0.90271	2.53908
alpha_rarefaction_10_4.txt	10	4	4.63011	4.82331	2.68579	1.77466	4.53474	3.62329	6.0307	4.82271	2.90556	4.56773	3.67729	3.89603	2.68679	3.16117	3.85912	2.0422	3.74662	1.76888	2.65423	3.88257	4.46881	2.23644	2.99105	3.16062	3.09328	4.21083	2.95002	2.97533	1.44531	5.12573	3.04497	4.83991	3.74329	4.14696	4.00701	2.78091	2.85124	4.32469	3.82593	6.13166	2.10096	5.03778	2.03533	2.4857	6.27143	3.23716	5.49428	1.92845	3.33469	2.21263	2.47251	3.77037	2.43799	4.35786	2.15134	3.20892	5.68882	5.53396	5.0175	1.69775	3.24536	4.09627	4.93491	2.38271	2.29309	3.07241	2.12284	2.71653	4.47496	4.26158	3.72104	2.64183	1.52937	4.67296	4.20118	2.6913	3.09027	0.81341	2.18684	2.33749	2.11863	3.00966	3.87524	1.62943	2.20146	2.74682	2.94497	1.48939	2.22859	2.44202	1.91579	0.80462	3.04488	4.33501	4.04181	5.14155	3.7229	3.36885	3.58875	1.38689	2.81847	1.3162	3.16484	0.94147	2.32961	1.13949	1.3162	3.47307	3.27021	2.41331	2.31152	2.67352	4.09168	4.02292	2.41867	2.67647	5.8815	2.11284	3.55241	4.5873	3.95523	2.12146	2.69336	1.75199	3.12425	1.90638	3.874	4.11002	6.05715	1.99987	2.36016	3.20896	4.15409	4.28424	2.97166	1.78174	4.92536	3.12189	3.7355	4.40765	1.91536	3.5116	2.44874	2.04093	2.7867	0.89483	2.89762	4.2874	3.90415	4.6234	3.60457	2.39134	2.30554	3.25357	2.14298	5.13247	1.29977	4.41505	1.8377	1.74035
alpha_rarefaction_10_5.txt	10	5	4.23616	6.86691	5.12792	1.98453	3.4507	6.12578	3.50117	4.93657	0.3021	4.31607	4.51098	5.23614	0.01527	4.18164	2.1396	2.64698	4.54044	4.12829	1.2131	4.06087	3.51921	2.63231	4.59369	4.38485	4.02269	5.36569	3.42565	3.74285	4.40234	3.16601	3.80425	1.76564	2.64375	3.84805	3.97439	3.58464	1.3873	2.85286	1.40126	3.96729	1.25922	5.92004	1.61867	1.4253	3.23667	4.67297	4.91336	4.44804	4.09283	2.54771	3.67201	3.80104	3.90509	3.78997	1.74307	3.26465	4.08739	2.32732	3.06922	2.97808	3.0005	4.29792	2.85247	3.28068	1.65973	1.49733	2.0477	2.87474	2.51036	4.7331	4.63979	2.37656	0.95591	3.85368	4.30332	3.40558	2.47758	2.68665	1.16153	3.14079	4.54725	1.46796	4.95298	2.81852	1.54539	2.51431	4.16588	2.27408	3.01105	2.59949	1.81255	3.7404	3.88346	6.68597	4.02336	3.26066	3.68641	3.07312	3.26082	0.0	3.15861	1.54753	3.34149	2.29745	1.75868	0.05984	1.3162	1.94905	2.29281	2.72636	3.23952	2.19353	4.14678	4.44549	1.50526	3.18575	2.25884	1.54971	4.10984	1.82189	4.31449	2.62406	3.50742	3.38185	3.06629	3.56986	3.99703	3.78232	3.66417	1.79462	3.25893	2.8029	3.83312	3.68583	3.84304	2.44933	3.86317	2.8889	3.29416	4.46157	1.88936	3.59134	3.93702	2.26145	2.67186	3.68798	2.39892	3.05692	2.15369	2.81187	3.12384	2.45598	2.99225	2.04019	0.83519	6.16295	0.96964	1.96915	3.92858	2.38756
alpha_rarefaction_10_6.txt	10	6	4.30617	3.67125	3.44109	1.41069	4.24811	3.12197	5.59483	5.25804	0.56943	6.23002	6.49636	4.59469	1.66463	5.51592	4.84576	1.35995	5.70251	2.86096	2.57869	3.76607	3.82632	2.70393	5.40304	4.72421	4.27698	5.54206	3.44164	4.49574	1.25561	3.44063	3.01924	1.80086	2.74393	3.54073	3.62483	2.32257	2.56061	4.78238	2.96213	5.93734	0.58877	4.7547	1.71914	1.8413	3.38884	3.62165	3.81721	6.02329	4.69435	2.80936	4.13968	3.39064	2.59918	4.09136	1.89773	4.50656	3.8797	4.276	4.33395	4.7443	2.92024	2.85235	4.25101	2.41331	2.16062	4.03934	3.86634	1.92668	3.37709	4.57467	3.0392	2.70682	3.36735	2.60515	3.26717	2.70103	3.40105	1.86901	2.29714	3.27015	0.82113	2.21159	3.12472	3.59405	3.81435	3.87777	4.87022	0.2966	2.13255	3.07055	3.41644	3.72316	3.9869	3.68579	2.13105	4.38014	2.65305	2.88589	3.64181	1.24002	1.05796	0.01527	2.04401	2.69798	2.4079	2.13578	1.83019	2.9334	3.01669	3.01166	2.17367	2.73246	3.98883	4.18807	3.11009	3.22305	3.06787	2.59563	4.1794	3.27466	2.89677	1.63016	4.29647	3.31383	3.78981	3.50371	1.76114	3.36866	5.61713	1.41389	3.57864	3.85175	2.5826	4.07061	5.12538	2.52112	4.96299	2.30849	4.07564	4.2056	4.00639	3.02281	2.44257	1.93097	1.92793	4.38757	2.5101	2.27856	1.75217	2.2642	4.00208	2.67346	0.808	3.34044	1.57826	3.38663	1.1855	2.88757	3.55465	3.60785
alpha_rarefaction_10_7.txt	10	7	5.17787	2.99376	2.92774	3.76373	4.03077	3.67814	3.95282	6.06491	2.69312	3.65322	5.47833	5.72763	2.98373	3.99447	3.11996	3.51204	5.28363	2.09327	2.67099	5.36154	2.86538	2.99445	4.25893	4.91235	4.06053	5.25196	4.31067	4.82273	4.04582	2.99774	4.33519	1.19077	4.17039	5.78088	4.0645	2.34299	4.69419	1.86814	2.43416	4.30955	2.86852	4.63521	2.86426	2.74568	3.53314	3.27219	4.03089	4.03604	4.29105	3.43705	2.44343	4.17723	2.41895	2.51053	3.18189	2.39152	4.58949	4.84752	2.48177	2.15588	4.28016	4.59908	4.01239	3.24411	2.72305	0.3021	2.99735	2.67581	4.46862	4.48329	4.05445	2.10631	2.39551	3.87961	3.03897	3.77459	3.49281	2.68115	0.37002	1.78865	2.68294	1.73081	4.84824	4.61084	2.77791	2.91955	3.27414	1.7532	2.0092	3.30278	2.66871	3.79823	3.21438	2.69687	5.33143	4.38737	2.97156	3.33681	2.84462	0.95431	2.9485	1.9983	0.82663	2.29603	2.52732	2.24592	3.41322	2.8287	1.9439	1.80572	1.99997	2.24805	3.80877	2.83675	2.57372	2.92596	4.3083	1.7633	1.8767	2.58912	3.7623	2.62406	3.2324	1.93585	3.58539	3.36073	2.96894	4.65289	3.07156	1.89184	4.07604	3.06825	3.08675	3.53788	3.62646	1.40631	5.04654	2.15214	6.17946	3.15955	4.28526	5.40247	3.10917	3.07622	1.97086	1.38537	4.16854	2.12333	1.58674	1.83518	1.34099	3.51671	1.88906	3.52058	1.90164	4.3534	1.18726	3.70762	1.99755	2.08287
alpha_rarefaction_10_8.txt	10	8	4.56368	3.91464	4.81149	1.53776	5.13469	4.49484	2.98505	4.47508	3.34285	5.58745	4.39175	3.78145	1.87419	5.42334	3.21678	2.64951	5.5496	3.3657	2.8006	4.82877	4.49003	2.63068	4.14937	3.74958	2.97308	3.10059	2.79339	3.4646	3.38393	3.32529	4.22873	3.95083	3.35215	3.15807	4.09625	4.60602	4.07723	4.48287	5.1525	3.44934	2.30935	5.4714	1.66338	3.12453	5.38539	6.39004	4.09813	3.92605	4.32184	3.6927	3.11605	3.55491	2.3569	4.53882	1.66682	1.71743	5.43953	5.19552	1.96079	3.87498	3.33182	4.39347	2.85431	4.53007	2.45765	2.2048	3.04533	3.35147	7.53864	5.14717	3.14059	2.12143	3.24186	4.21131	4.63595	3.20327	3.86426	1.48389	1.95443	4.09848	1.5684	2.04901	4.47512	4.24254	2.62695	2.26868	3.51598	3.36618	1.0061	3.71755	0.23121	3.27071	3.9724	3.42743	5.39106	5.15402	4.25587	3.75356	2.20304	0.44372	2.04759	1.97429	2.11612	3.25141	1.42471	1.35995	0.31013	3.09107	1.37868	2.2016	1.61262	2.90479	2.99689	3.37008	2.27752	1.55519	5.19945	1.76564	4.39429	3.51403	3.86837	2.62406	2.56115	3.51079	2.14039	3.20428	3.84748	2.95736	3.40324	1.99397	4.58272	2.8029	3.40288	5.7531	2.38078	1.66362	3.95645	3.40975	4.39706	4.28248	2.99719	3.37317	1.82592	1.26725	1.60547	4.93525	3.90496	3.21271	2.35415	2.10941	2.38278	1.88321	0.808	2.42172	2.31649	3.60335	0.40716	2.31654	3.70768	4.28161
alpha_rarefaction_10_9.txt	10	9	4.71321	4.28642	5.73261	2.0764	4.67279	2.05261	3.15631	4.83358	3.33013	4.46588	5.79345	3.61333	1.91152	5.88688	4.62578	1.22472	3.78495	4.48361	2.75001	3.63736	4.58147	2.09074	4.57692	3.35345	4.00083	4.55607	5.49857	5.94579	2.90463	4.65765	2.4888	1.41823	4.89257	3.87854	3.47611	2.74796	2.30841	3.35116	3.38994	3.84336	2.2958	3.76169	2.12551	2.10584	5.43575	3.14036	5.24779	2.61127	3.48714	2.71798	4.00323	4.29124	3.08483	3.36297	2.63058	4.52005	5.13129	3.74909	5.7088	2.18126	4.68263	3.87999	3.50407	2.4635	3.16677	2.89735	2.62289	0.82663	3.90493	4.36277	3.72657	1.91951	2.44929	4.80624	2.67467	2.79546	4.24437	1.94863	1.72714	3.11556	3.02982	1.41279	4.13773	4.05247	2.08351	3.08386	3.29185	0.05984	3.38379	3.5481	2.14199	3.72089	3.5173	4.82871	4.67461	4.88694	2.44119	1.31322	2.04814	2.77952	1.15168	1.07595	0.94666	0.82663	2.05016	0.05984	0.55331	2.1595	4.15678	2.40919	2.74975	1.97312	3.59774	1.49628	1.9647	3.04621	3.49787	2.43042	2.82787	2.73997	5.98016	2.62406	3.83313	2.1161	3.25247	2.86202	4.98739	3.26484	4.35575	0.65134	1.07293	3.34683	5.39055	3.64302	2.10396	3.17769	2.82536	2.22789	4.39606	3.44183	3.47903	5.64698	2.98013	2.9877	1.90585	2.88097	3.61052	4.84658	1.4522	1.5648	3.97055	1.83896	2.19994	2.86327	1.07495	4.97149	1.71279	3.17949	2.22775	1.84098
