	sequences per sample	iteration	13M1	7M1	1S	12P1	9M1	9S	12A2	3M2	12A1	3P2	7P2	11M	1A	MG1	8S	13S	Nl18Post1	Ao20Ant1	3Abpost1	Nl19Mid1	Nl18Mid2	Nl17Mid1	Nl19Esoph	Ao20Stomach	3AbMid2	Nl19Stomach	2M1	8A	2S	10P2	12M2	8M	7A2	Ax16Mid2	Nl18Ant1	Al11Mid1	Nl18Stomach	Nu15Post1	Zv6Mid1	Nl17Esoph	Ax16Ant1	Nu1post2	Al12Stomach	3M1	6P2	8P2	Nu15Stomach	Nu15Mid2	Nl19Post1	Zv6Ant2	Nl19Post2	Ao20Esophagus	At14Esophagus	3AbStomach	At4Mid2	U.Food.	Ax16Stomach	Nu1post3	Nl18Esoph	Nl8Mid2	Nl17Stomach	Ao20Post1	Ax16Post1	Zv6Post3	Zv6Post1	7A1	2A	10M1	At14Ant1	Zf5Post3	3AbAnt1	Nl8Ant2	Al12Post2	Zf5Stomach	Zv6Post2	Zv6Mid2	Zf5Post2	12M1	6M2	1P	6A	3A	9A	Nl8Esophagus	At14Post1	Nu15Esophagus	3P1	11P	11S	7P1	7S	8P1	13P2	10P1	Nl17Post2	9P1	9P2	Nl19Ant1	Nu15Mid1	13A2	11A	13M2	6S	13P1	10A2	12S	6M1	10M2	HG1	An10Stomach	Nu1post1	At4Post1	3AbPost2	At14Mid2	Nl17Ant1	Nl17Mid2	Ax16Post3	An10Mid	Nl17Post1	Nu1Ant12	3Abmid1	12P2	9M2	1M1	Al12Post3	Nl18Post2	Al11Ant1	Nu1Mid1	Zv6Stomach	Nl8Mid1	An9Post2	At4Post2	2P1	Nu15Ant1	An9Ant2	3AbPost3	Zv6Ant1	Al12Ant2	Al12Esophagus	Ax16Ant2	At14Ant2	At14Stomach	An10Ant1	Zf5Ant1	Nl18Mid1	Zf5Esophagus	Nl8Ant1	Zf5Mid2	Nl19Mid2	At14Mid1	Zf5Post1	Ct13Stomach	Zf5Ant2	At4Ant1	Ax16Post2	Nu1Ant1	Al11Esophagus	Nu15Post2	Al11Ant2
alpha_rarefaction_10_0.txt	10	0	4.383	5.69851	3.71248	2.61006	4.66828	4.00424	4.18946	4.87932	1.87335	4.0322	3.52931	5.78696	0.90213	4.13829	4.00387	1.39441	5.16675	3.72979	1.47539	3.59636	3.3628	2.62223	5.26719	4.01887	2.99331	2.6263	3.71672	2.16241	3.27314	5.2193	3.93775	2.87264	4.09601	3.8409	4.59346	2.31666	2.59282	2.73872	4.0617	5.44429	1.75589	4.17144	2.08228	3.47275	2.81993	4.09364	3.97215	2.86161	2.95649	3.9388	3.1064	6.26789	2.24476	2.41105	2.71572	1.26489	3.60202	4.56389	4.13962	2.65328	4.92626	4.24571	2.81607	3.06388	3.4843	0.62007	1.36545	2.86346	3.85416	6.30627	3.69341	1.56379	2.67766	2.38161	3.46269	3.16382	3.44124	2.21605	1.33181	2.59866	2.38844	1.70483	4.74982	3.45943	1.93189	2.45829	3.17227	1.54753	5.21796	4.26331	2.12101	5.03289	4.22167	2.81735	3.33723	5.00734	3.76269	2.45973	2.14319	2.55361	2.11674	2.98672	2.03466	2.85618	1.48389	0.2966	1.79877	1.78454	1.57832	2.51347	2.10249	3.21379	2.77926	1.82957	3.88096	3.01444	1.14904	3.36499	2.61184	3.58094	2.62406	4.22107	2.96726	2.57653	3.99791	2.37087	4.51974	2.91443	2.25964	2.54201	3.45815	3.77232	3.98657	3.37028	2.16862	5.13216	2.10563	3.61558	2.90555	3.30347	2.20101	2.44302	2.41072	1.63773	3.70101	2.53052	3.01401	2.66395	2.7686	3.63838	2.57316	1.27317	1.49625	3.00181	4.40989	1.83211	3.66048	2.03892	3.27782
alpha_rarefaction_10_1.txt	10	1	5.57512	4.32334	3.46877	2.09338	4.93188	2.20801	5.3548	4.77083	0.05984	4.69749	4.49398	4.72675	1.87419	4.28664	1.74283	3.19917	5.44576	5.32856	1.94022	4.19371	5.69178	5.35623	4.16063	3.81007	5.15431	5.6732	2.64929	4.31184	2.60778	3.23416	3.44939	2.78502	3.17734	3.90763	5.38746	3.48307	2.50874	4.54123	2.22964	5.30833	2.36129	3.22979	2.91886	3.12726	4.22885	5.0385	2.72675	3.11617	3.80537	2.05146	4.01239	2.42975	3.30787	1.99664	3.05052	2.18454	4.75393	3.35164	3.28676	3.40896	3.95913	3.46677	3.15716	2.96813	2.28722	1.13216	2.2822	2.92052	3.68615	3.36695	5.33908	2.52154	2.01655	5.2102	3.13174	2.64904	2.55236	2.11674	1.98556	3.23145	3.65689	4.35122	3.68522	4.84278	2.76805	2.94135	3.6181	2.39848	4.99418	2.79626	3.12056	3.76903	4.83443	5.00578	4.48214	3.95333	2.47638	3.04611	0.44372	2.28626	2.66843	2.30273	2.29603	3.21591	1.54753	1.96275	1.86901	2.74239	3.5718	2.17605	2.29478	4.41267	2.34542	3.55675	4.38	3.44972	1.54971	2.58443	3.17979	3.04263	3.11536	4.03571	2.33597	3.70284	2.35564	3.96991	3.75006	4.55502	2.17659	2.83599	3.05039	3.82749	3.87897	2.7062	1.60368	5.01129	1.7641	3.38676	2.99867	3.24957	3.15883	2.57426	1.00997	1.53794	3.76023	3.07808	4.74001	3.20161	2.22126	2.80044	2.0325	1.74661	2.66399	1.48052	2.36341	1.80962	2.12331	1.74726	2.53291
alpha_rarefaction_10_2.txt	10	2	4.98429	4.14181	3.25094	2.99613	4.8118	2.02063	5.82706	5.19118	4.08904	3.81665	5.64473	3.40219	3.91923	5.24119	4.18472	1.65294	3.77539	2.96735	3.49425	3.45697	4.74876	2.37584	3.93456	3.45717	4.59398	4.75089	5.13367	4.23372	2.96314	4.63917	2.66474	1.99362	3.12647	4.17305	3.20929	3.17411	2.43901	5.35894	3.8495	6.27884	0.98354	3.36554	3.16411	2.68073	5.43266	6.14737	3.60416	3.38999	3.41188	2.12218	3.18634	2.71202	2.98994	2.59954	2.05007	0.01527	3.72823	4.38476	2.60451	1.98922	2.67075	4.02714	3.53242	3.02914	3.3139	2.48191	0.05984	0.85322	2.78174	5.10016	3.73642	1.71723	1.16188	3.37288	2.16937	4.29585	2.47758	2.29603	1.44977	3.57473	3.03651	1.7532	5.97653	3.17974	2.57456	2.43349	2.82945	0.82663	2.66912	3.10605	1.69933	3.58337	4.90288	3.87909	4.31147	4.75164	3.89929	2.94598	0.82091	1.38824	2.12834	3.42849	1.3162	2.53195	1.94905	2.93438	1.6839	2.30891	2.96683	4.00822	2.6913	2.40454	4.44991	3.3215	4.37634	3.17928	3.12566	3.44314	4.18828	5.00258	2.60627	6.27365	1.99741	2.82656	3.43354	4.0386	4.50709	4.0171	1.38679	4.12777	3.15592	4.23189	3.93371	0.85127	3.41047	3.71436	3.14227	3.08802	4.08805	3.85789	2.68217	4.03195	1.78452	2.50311	2.5882	3.10527	2.4369	2.32218	3.58165	4.22689	3.66436	2.61145	3.88008	3.06491	4.45847	2.17961	2.82188	3.66991	4.17786
alpha_rarefaction_10_3.txt	10	3	4.3862	4.35244	0.78472	1.76397	2.00597	4.24323	4.99523	5.03729	3.49247	3.86066	4.58423	3.93831	3.36785	6.14988	2.22506	1.3107	5.37063	4.47117	2.98031	1.81367	3.78494	4.67223	5.06423	4.24531	3.08923	5.17384	3.28	2.03293	4.24166	4.70453	2.17186	2.07492	4.72281	3.51816	5.15038	2.60679	3.32958	4.83166	2.51041	4.90065	2.39779	4.15289	2.14625	1.35626	2.47018	1.90214	4.27787	4.29913	3.64261	3.24173	0.97219	3.68774	3.28	1.63864	1.91146	3.0445	6.05692	2.2127	2.79278	3.16347	3.27334	3.70923	2.87577	5.40341	2.20912	1.37317	1.82348	2.60396	3.67688	4.07873	5.0524	2.67167	2.36577	2.13083	3.74916	2.04462	4.27551	2.64083	2.75482	3.69957	3.17548	1.3107	3.11198	2.30895	3.24753	2.18449	2.63654	2.21698	3.17574	4.56297	2.55381	4.19363	4.52959	7.01744	4.19245	3.42291	3.66516	3.12313	1.53617	2.84423	1.86901	3.73181	0.82006	2.4256	0.3021	2.37421	1.3162	2.83102	1.79059	2.18096	3.41807	3.18423	3.56292	2.50413	2.65026	4.33432	3.38754	2.5453	3.71464	4.21945	1.63016	3.22623	2.79921	3.35434	2.82819	2.66013	4.89755	3.04441	2.86441	3.00311	3.06159	5.03128	3.57353	4.04618	2.04505	3.55997	2.4319	4.59238	4.8269	4.63986	2.53698	2.71561	2.18786	1.35946	2.32342	3.89184	3.19927	1.30812	2.67875	4.04158	3.34194	3.06264	2.44476	1.59565	4.57101	1.18726	4.13774	4.20578	3.54397
alpha_rarefaction_10_4.txt	10	4	4.31999	4.41865	3.69569	1.3162	5.03266	4.302	2.93244	4.75728	2.68377	3.47237	6.91884	3.50505	4.38348	6.07974	3.49165	3.32847	4.31569	3.212	2.16601	4.17019	4.84305	3.05185	3.2436	3.26739	4.71732	2.87368	2.5743	2.83497	3.69903	2.47451	3.29857	3.63531	2.1637	3.4575	4.86398	1.64075	4.04315	2.28786	2.49919	4.15165	2.57764	4.75966	3.47695	2.15835	5.21145	1.91484	4.16273	3.96615	4.79734	3.7549	2.7944	3.02722	2.34519	4.1375	3.63828	4.23085	5.10659	0.85806	5.40996	3.56249	2.71791	3.60225	3.83906	2.7585	3.16387	2.68307	1.81119	3.2826	5.49329	4.23914	3.67852	3.17276	2.43944	5.28268	2.93636	3.6132	2.10335	1.48939	2.32454	3.66941	0.82113	2.31572	4.34459	1.91272	3.83715	1.84506	5.13486	1.84051	4.23512	4.18039	2.49188	4.73415	3.42877	5.54046	5.34389	5.6112	3.61453	4.37988	1.79391	3.2112	0.01527	1.67823	0.79795	1.68069	1.3107	2.12834	2.45889	2.70226	3.38607	3.13742	3.31992	2.36498	5.56768	2.25586	2.21137	4.2023	2.08203	3.08044	3.7047	3.94767	3.05825	4.51987	2.35598	3.17928	3.56952	2.64383	1.64395	5.21394	3.93772	3.10734	3.55157	5.47135	5.44593	3.3366	2.7287	4.26551	1.7641	2.25748	4.51787	4.18627	3.59608	4.05734	1.7436	2.69477	2.76891	2.1445	2.18585	3.07837	4.16653	3.29179	2.82033	0.808	2.1296	2.5122	3.92285	1.58166	3.78302	4.50315	2.77215
alpha_rarefaction_10_5.txt	10	5	4.89399	3.53424	3.69343	1.74442	3.13828	2.68768	5.38155	4.98666	2.0015	4.92274	3.79619	3.53931	1.99334	5.70302	1.30997	0.88681	4.37467	4.20611	2.06404	4.58706	4.05781	2.32601	3.59459	4.38043	1.9981	4.5038	4.53275	2.88988	3.41714	3.47013	3.14563	2.10831	3.4506	3.14727	5.36299	1.03633	2.69066	4.12607	1.73295	3.88225	1.49215	4.33742	2.69664	2.38789	3.8764	4.41528	3.61607	2.97001	4.09742	2.12578	4.73985	3.06158	3.65889	2.43323	1.97521	1.93298	3.48158	1.80794	4.00279	4.6194	3.9852	4.49518	2.20898	2.50654	3.74871	1.54753	2.84931	2.58697	3.68831	4.64624	4.60196	2.86241	1.90872	4.36683	3.04689	3.19475	4.38369	1.86901	2.55196	3.96018	2.26766	0.79795	2.7386	3.64056	3.10186	5.62707	4.33347	0.05984	4.51075	3.65111	1.02384	4.92962	3.77285	4.80113	3.70243	3.68964	3.05102	1.9023	1.21702	2.03156	1.7477	3.14504	2.72023	1.36614	1.3162	1.3107	2.12834	2.00014	3.93733	2.58125	1.86723	2.97239	2.29715	0.88573	4.36239	4.45483	1.77656	4.7217	2.64421	4.74289	2.62406	2.53943	2.79936	3.35747	3.08797	3.2271	5.39422	3.37827	1.99172	2.93465	3.2469	4.09581	4.43486	2.34889	1.68564	4.09344	2.7447	3.47395	3.33977	3.29902	3.05338	2.43727	1.48378	2.83597	4.29605	3.49668	3.28419	3.45725	2.982	4.00067	3.57958	1.27569	2.81282	2.22004	2.42373	0.0	3.16003	3.55128	2.75361
alpha_rarefaction_10_6.txt	10	6	3.69029	5.9867	3.48756	0.05984	5.093	3.98094	5.16772	3.47337	1.63836	4.28335	4.54645	3.90215	3.48189	4.2704	1.70498	1.75408	4.60404	3.14907	2.39268	3.52473	5.96697	3.34972	3.90629	4.68433	4.9031	3.51781	4.8061	5.55852	3.55361	4.62644	3.10651	3.1335	1.94412	4.24349	3.72122	2.02546	4.06485	4.69526	3.00974	2.31918	2.43838	4.92464	1.36996	2.17209	4.05764	4.69995	3.46518	2.72114	3.53331	2.08389	3.27774	3.06267	1.97711	2.18248	4.33306	2.0924	5.69045	3.62294	1.96153	3.4769	2.85481	4.32859	3.16326	6.41633	4.04479	2.88124	1.50521	3.53958	6.0726	2.88869	5.3108	3.123	2.17701	3.44906	3.958	0.98077	1.70545	3.77943	2.58113	2.95832	1.72674	1.16191	2.9517	4.15811	3.00482	1.75541	2.06018	1.3162	3.84504	2.44824	1.3107	2.55238	5.80258	3.85375	3.37065	4.60866	3.58858	3.99315	0.44372	2.16435	3.38913	1.93721	2.27221	2.47029	1.32364	1.3107	1.99196	0.99098	2.72636	3.1893	3.41617	3.32612	3.18824	2.35848	4.01658	3.26484	3.31135	3.14662	2.3597	5.22393	3.46065	2.94361	1.92479	3.56641	2.21155	3.63035	4.25166	4.4628	1.99377	3.9529	2.26645	3.28767	4.14647	2.23198	3.32369	3.85592	2.30849	4.0238	4.04733	3.23771	3.16143	3.586	1.77145	3.37991	3.50033	1.89277	1.31417	1.77159	3.0728	3.63599	3.45989	2.50739	3.5157	2.28038	4.52964	2.60613	4.03205	3.11321	2.54149
alpha_rarefaction_10_7.txt	10	7	4.96499	4.98112	3.18254	2.62547	3.00239	1.95997	4.62431	2.79013	3.23932	4.07776	5.19999	5.31423	2.8789	5.17903	3.37997	2.99246	6.06339	3.30789	2.84806	2.51507	5.20955	3.75215	4.52488	4.65865	4.20504	6.2577	4.30163	3.44575	2.82773	4.8789	5.25046	3.80366	3.34588	4.96574	3.40892	4.14246	2.95557	3.20464	3.65194	3.71533	1.74213	4.97093	1.20919	1.31789	3.31684	1.76876	4.10114	4.06785	3.94829	3.60522	3.89633	3.07912	2.53108	3.01159	2.28584	5.1049	4.52254	4.0565	2.22127	3.89998	3.93271	5.21843	2.69077	2.12289	3.08949	3.15661	1.3162	2.65573	4.70732	4.61807	5.23645	2.61657	3.36966	2.54154	2.7474	2.79916	3.4645	2.10584	1.31855	3.03358	3.14002	3.61734	1.94767	1.58829	2.42745	2.12407	2.83268	1.3107	1.40711	2.79622	2.37421	3.41769	2.8402	4.30385	5.14998	4.74236	2.96487	3.60776	2.05366	1.77855	2.17759	3.19538	1.58173	2.78949	2.21481	1.96879	1.99319	3.20076	3.27393	2.73297	2.5773	2.91312	3.0756	2.2068	3.32244	3.61848	2.02506	3.58413	2.07049	2.33649	3.8492	3.45894	1.75199	3.01095	3.67321	2.91005	2.38504	3.79689	1.73385	2.3231	2.14199	5.25025	4.87912	3.56837	2.41164	4.59265	2.53099	5.73369	3.86913	3.59428	4.56189	4.29109	3.66458	1.71637	3.44979	2.66782	3.60506	2.11532	1.44122	3.51866	1.75284	1.77086	3.12429	1.52092	4.15568	0.0	3.03137	3.56276	4.11248
alpha_rarefaction_10_8.txt	10	8	5.82133	3.97729	4.81717	2.20492	5.25099	4.25634	3.34002	3.91226	1.92323	4.49379	3.33048	6.90458	1.87419	3.96303	3.74326	3.68013	5.86875	3.36064	3.49701	3.06156	4.09528	1.61812	2.51662	3.93766	3.11919	3.85557	3.99916	4.47902	1.91102	4.21571	3.33302	4.82991	3.69869	5.53223	4.28781	4.57093	2.10668	5.37255	4.54551	4.49269	2.73129	5.34133	1.80254	2.04485	4.05422	3.77298	5.98349	3.11046	5.78984	3.56566	3.87408	4.86457	3.13131	3.28102	1.99138	1.26499	3.26889	3.23714	2.27508	3.74748	2.80746	3.06704	3.14161	2.84626	2.37521	2.69464	0.01527	0.52851	4.80055	3.11039	6.08941	3.4069	2.08226	2.60853	5.02386	4.90639	3.4645	2.26073	2.03612	2.28137	1.99519	1.60238	2.47902	2.07287	3.50894	2.27702	3.23465	2.72704	2.18055	2.19143	3.47939	3.21307	4.09603	3.45117	3.20896	5.3401	4.35274	2.6547	3.52604	1.49344	1.91356	0.87279	2.12284	3.0827	1.54768	2.12284	0.82113	3.16177	2.61867	1.77615	2.37266	5.45441	2.96475	2.56312	3.5989	5.47036	2.52776	3.53667	1.90448	3.85668	2.62406	4.39137	3.41564	2.56211	3.66477	3.90974	3.88638	4.68682	4.69746	3.54377	4.06365	2.74185	3.96646	3.82597	2.60887	3.36377	3.4043	5.59059	2.69616	3.39452	4.46259	3.46171	1.25839	1.35946	1.78779	2.57667	2.16426	2.41724	0.78891	4.51138	2.45676	2.69699	2.20401	0.17818	3.77458	0.76091	3.18326	0.87294	3.44912
alpha_rarefaction_10_9.txt	10	9	4.21094	5.54576	4.30221	4.4249	5.10581	3.38895	5.47225	5.21819	3.13598	3.79126	5.2556	5.89036	4.53498	5.27711	2.08359	3.55827	5.38844	4.31529	2.14021	3.91372	3.63068	2.46093	4.44667	4.28832	2.22828	3.26039	2.18589	3.49357	3.07227	4.28177	3.20457	3.71666	6.33919	5.19258	4.55489	3.58527	2.96505	3.04387	3.2106	4.78569	0.81994	4.10569	3.17078	2.56942	5.95736	3.76239	3.27962	2.36862	5.29916	2.61619	2.28344	3.87361	2.33219	2.23231	2.74328	2.7871	4.00364	3.5943	2.67775	2.33978	5.07571	4.9415	4.48385	3.32452	4.51969	1.05526	2.89066	3.32218	2.72098	3.45814	2.51152	1.43299	1.14167	3.27742	2.33031	3.85604	2.30498	2.14413	3.03964	4.52226	3.11713	3.34723	3.23896	4.2296	3.31441	1.417	3.14747	3.17956	3.78341	2.87678	1.3107	4.34298	5.09359	4.02111	4.9934	4.44823	3.34573	3.75199	0.75862	2.19956	2.18641	1.57918	0.05984	1.54326	1.94355	0.01527	3.0117	0.95284	3.78746	2.9804	2.96523	4.60372	3.89432	3.7586	5.21613	5.47345	2.21761	3.25674	3.2265	4.33186	1.70432	3.98707	2.51778	3.10634	3.18005	3.07418	4.31852	3.93243	2.38487	3.0645	3.18951	4.33661	5.93662	3.12146	3.1249	3.53522	3.24856	4.07564	4.0825	2.54811	4.41186	3.27946	1.50498	2.41949	4.62142	3.17867	2.99089	1.29648	1.28758	3.66144	3.04018	1.27317	2.91673	2.15282	3.44173	0.87542	3.64307	2.17262	2.28739
