# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
anterior vs. anterior	middle vs. middle	N/A	N/A	N/A	N/A	N/A
anterior vs. anterior	posterior vs. posterior	0.403305947835	0.696136526325	1	0.708	1.000
anterior vs. anterior	anterior vs. middle	1.02144800838	0.382228301288	1	0.564	1.000
anterior vs. anterior	anterior vs. posterior	0.662409396487	0.524307170057	1	0.495	1.000
anterior vs. anterior	anterior vs. stomach	0.584210418001	0.663400916631	1	0.685	1.000
anterior vs. anterior	anterior vs. esophagus	0.798079094258	0.571192936521	1	0.683	1.000
anterior vs. anterior	middle vs. posterior	1.12599832292	0.289294473912	1	0.199	1.000
anterior vs. anterior	middle vs. stomach	8.31190400786	0.0762249687394	1	0.362	1.000
anterior vs. anterior	middle vs. esophagus	16.3797462176	0.038818098048	1	0.333	1.000
anterior vs. anterior	posterior vs. stomach	0.81450094688	0.461069705786	1	0.742	1.000
anterior vs. anterior	posterior vs. esophagus	0.932613026155	0.403814777536	1	0.648	1.000
anterior vs. anterior	stomach vs. esophagus	N/A	N/A	N/A	N/A	N/A
middle vs. middle	posterior vs. posterior	-1.27985220137	0.232601590776	1	0.271	1.000
middle vs. middle	anterior vs. middle	-1.34147565939	0.272275821927	1	0.428	1.000
middle vs. middle	anterior vs. posterior	-1.53747963572	0.158554856466	1	0.125	1.000
middle vs. middle	anterior vs. stomach	-0.862486070966	0.54691875384	1	0.677	1.000
middle vs. middle	anterior vs. esophagus	-0.843870578306	0.553777388875	1	0.664	1.000
middle vs. middle	middle vs. posterior	-1.02868319772	0.330480118649	1	0.188	1.000
middle vs. middle	middle vs. stomach	-3.71320894686	0.167473988509	1	0.338	1.000
middle vs. middle	middle vs. esophagus	-2.74244379799	0.22259768523	1	0.335	1.000
middle vs. middle	posterior vs. stomach	-0.945774008585	0.397817043836	1	0.229	1.000
