	Nu15Mid2	Nu15Mid1	Nu1Ant1	Nu15Post1	Nu15Post2	Nu15Stomach	Nu1post2	Nu1post3	Nu1post1	Nu15Ant1	Nu15Esophagus
Nu15Mid2	0.0	0.675554889511	0.866158058903	0.805853449916	0.730763278407	0.728413177534	0.686674903274	0.698560811163	0.930832498349	0.731290191355	0.710744891413
Nu15Mid1	0.675554889511	0.0	0.846969557607	0.810146681769	0.726745650001	0.747876903394	0.718610069604	0.700810498332	0.914259061269	0.718099520527	0.698505001432
Nu1Ant1	0.866158058903	0.846969557607	0.0	0.897024993633	0.858735396429	0.877289994364	0.856837234091	0.850082499535	0.821006602361	0.878251168076	0.8510025184
Nu15Post1	0.805853449916	0.810146681769	0.897024993633	0.0	0.853089287382	0.85424338334	0.851366282784	0.851557214548	0.931847532238	0.854863900488	0.851972199162
Nu15Post2	0.730763278407	0.726745650001	0.858735396429	0.853089287382	0.0	0.717654709696	0.669278054963	0.69501930147	0.929099837902	0.710200419001	0.675664912604
Nu15Stomach	0.728413177534	0.747876903394	0.877289994364	0.85424338334	0.717654709696	0.0	0.705625181012	0.708871191008	0.935911026665	0.715505194462	0.701561748979
Nu1post2	0.686674903274	0.718610069604	0.856837234091	0.851366282784	0.669278054963	0.705625181012	0.0	0.651069413733	0.936254361892	0.699362067468	0.699414764943
Nu1post3	0.698560811163	0.700810498332	0.850082499535	0.851557214548	0.69501930147	0.708871191008	0.651069413733	0.0	0.928244513481	0.685756003122	0.680764108097
Nu1post1	0.930832498349	0.914259061269	0.821006602361	0.931847532238	0.929099837902	0.935911026665	0.936254361892	0.928244513481	0.0	0.938303053917	0.915195855619
Nu15Ant1	0.731290191355	0.718099520527	0.878251168076	0.854863900488	0.710200419001	0.715505194462	0.699362067468	0.685756003122	0.938303053917	0.0	0.708456430723
Nu15Esophagus	0.710744891413	0.698505001432	0.8510025184	0.851972199162	0.675664912604	0.701561748979	0.699414764943	0.680764108097	0.915195855619	0.708456430723	0.0
