	13M1	6M2	2S	2A	10P2	10P1	2P1	13S	13M2	6P2	10M1	10M2	13A2	6A	13P1	13P2	6S	6M1	10A2	2M1
13M1	0.0	0.934912159497	0.892878453342	0.885715351774	0.935144482067	0.963205497843	0.947575788401	0.926411742611	0.929074626911	0.973762595612	0.867767171465	0.892472327381	0.915437884976	0.846690185117	0.902133101195	0.971853668999	0.931811399492	0.892288527784	0.91615828747	0.757485245524
6M2	0.934912159497	0.0	0.824460111795	0.768904199152	0.883624952016	0.890420913375	0.899758320636	0.78655142693	0.721451394935	0.915859075262	0.774573234325	0.70462446637	0.761625175767	0.814339011722	0.755926237844	0.906931713848	0.745848006053	0.771722189773	0.772035425833	0.850484392878
2S	0.892878453342	0.824460111795	0.0	0.816834862886	0.807001021931	0.821979013275	0.836306016319	0.786566505503	0.808050167552	0.855085220437	0.746377322597	0.726896259902	0.782227198364	0.764237479789	0.739381976987	0.847278547571	0.859724764291	0.827449461576	0.842434412434	0.745315127167
2A	0.885715351774	0.768904199152	0.816834862886	0.0	0.895464386625	0.931930181264	0.920915661197	0.709188008797	0.71967887746	0.957859697691	0.696065222179	0.724479964387	0.71956882271	0.698920791788	0.737394010323	0.949086851536	0.67141246308	0.651627853709	0.727911900284	0.778592777435
10P2	0.935144482067	0.883624952016	0.807001021931	0.895464386625	0.0	0.480300368811	0.535083711963	0.907656209228	0.8964574065	0.522545622194	0.870193652018	0.841354919042	0.896905131406	0.887501904775	0.83228383092	0.540588452726	0.913091570245	0.90028512653	0.916975869704	0.877821481035
10P1	0.963205497843	0.890420913375	0.821979013275	0.931930181264	0.480300368811	0.0	0.533242007065	0.925643023221	0.910867078589	0.50525461952	0.903703974098	0.862448613386	0.919140858764	0.916582036944	0.857897123447	0.495878602956	0.932978864301	0.929346239409	0.936682153408	0.914007865375
2P1	0.947575788401	0.899758320636	0.836306016319	0.920915661197	0.535083711963	0.533242007065	0.0	0.937179303059	0.92520365549	0.518580002828	0.906625771568	0.869508721858	0.927789214429	0.91424018882	0.857342094394	0.53606943815	0.936831901817	0.922061551772	0.937374500719	0.903142609291
13S	0.926411742611	0.78655142693	0.786566505503	0.709188008797	0.907656209228	0.925643023221	0.937179303059	0.0	0.666337432158	0.956720031071	0.672942623883	0.70201606463	0.698504818077	0.727667197194	0.698702103144	0.946284157475	0.724700558711	0.737653436829	0.75050860432	0.780156872487
13M2	0.929074626911	0.721451394935	0.808050167552	0.71967887746	0.8964574065	0.910867078589	0.92520365549	0.666337432158	0.0	0.942014096712	0.709379284246	0.690623632206	0.680227151228	0.750376253144	0.694284045841	0.924335626903	0.71167649506	0.722536437394	0.728381846806	0.813824313275
6P2	0.973762595612	0.915859075262	0.855085220437	0.957859697691	0.522545622194	0.50525461952	0.518580002828	0.956720031071	0.942014096712	0.0	0.931417203204	0.897722701376	0.947706019734	0.943819345909	0.88584988374	0.501408249031	0.950391101092	0.956185907631	0.957111967361	0.936598690249
10M1	0.867767171465	0.774573234325	0.746377322597	0.696065222179	0.870193652018	0.903703974098	0.906625771568	0.672942623883	0.709379284246	0.931417203204	0.0	0.648759867021	0.677593579155	0.64451863658	0.68624000786	0.925609808885	0.763422219154	0.718992145008	0.756240318678	0.714102611829
10M2	0.892472327381	0.70462446637	0.726896259902	0.724479964387	0.841354919042	0.862448613386	0.869508721858	0.70201606463	0.690623632206	0.897722701376	0.648759867021	0.0	0.714501751974	0.725335480362	0.664773295548	0.886056092839	0.775104022185	0.750140854386	0.778317724874	0.738086705985
13A2	0.915437884976	0.761625175767	0.782227198364	0.71956882271	0.896905131406	0.919140858764	0.927789214429	0.698504818077	0.680227151228	0.947706019734	0.677593579155	0.714501751974	0.0	0.723164963887	0.712924506761	0.939665747996	0.736920823152	0.720051021121	0.769553316258	0.792737356256
6A	0.846690185117	0.814339011722	0.764237479789	0.698920791788	0.887501904775	0.916582036944	0.91424018882	0.727667197194	0.750376253144	0.943819345909	0.64451863658	0.725335480362	0.723164963887	0.0	0.732725591673	0.940912813814	0.784789295775	0.717525473529	0.776545462451	0.689810935562
13P1	0.902133101195	0.755926237844	0.739381976987	0.737394010323	0.83228383092	0.857897123447	0.857342094394	0.698702103144	0.694284045841	0.88584988374	0.68624000786	0.664773295548	0.712924506761	0.732725591673	0.0	0.866398824573	0.749121517285	0.753718393393	0.770153545389	0.7721077095
13P2	0.971853668999	0.906931713848	0.847278547571	0.949086851536	0.540588452726	0.495878602956	0.53606943815	0.946284157475	0.924335626903	0.501408249031	0.925609808885	0.886056092839	0.939665747996	0.940912813814	0.866398824573	0.0	0.940279669464	0.94842076786	0.947445287969	0.930510181972
6S	0.931811399492	0.745848006053	0.859724764291	0.67141246308	0.913091570245	0.932978864301	0.936831901817	0.724700558711	0.71167649506	0.950391101092	0.763422219154	0.775104022185	0.736920823152	0.784789295775	0.749121517285	0.940279669464	0.0	0.678862191806	0.654877457336	0.859003737547
6M1	0.892288527784	0.771722189773	0.827449461576	0.651627853709	0.90028512653	0.929346239409	0.922061551772	0.737653436829	0.722536437394	0.956185907631	0.718992145008	0.750140854386	0.720051021121	0.717525473529	0.753718393393	0.94842076786	0.678862191806	0.0	0.728934213128	0.796808291484
10A2	0.91615828747	0.772035425833	0.842434412434	0.727911900284	0.916975869704	0.936682153408	0.937374500719	0.75050860432	0.728381846806	0.957111967361	0.756240318678	0.778317724874	0.769553316258	0.776545462451	0.770153545389	0.947445287969	0.654877457336	0.728934213128	0.0	0.834191729218
2M1	0.757485245524	0.850484392878	0.745315127167	0.778592777435	0.877821481035	0.914007865375	0.903142609291	0.780156872487	0.813824313275	0.936598690249	0.714102611829	0.738086705985	0.792737356256	0.689810935562	0.7721077095	0.930510181972	0.859003737547	0.796808291484	0.834191729218	0.0
