	An10Ant1	At4Post1	Ao20Stomach	Zv6Mid2	Zv6Mid1	Ax16Ant2	Ax16Ant1	3AbPost2	Nu1Mid1	Nl17Ant1	13M1	Ao20Post1	12S	6M2	Al12Post3	12M1	9P2	9P1	Al11Esophagus	At14Esophagus	2S	Nu15Mid2	Nu15Mid1	2A	Zf5Ant1	Zf5Stomach	3AbPost3	10P2	10P1	2P1	At4Mid2	Al12Ant2	7P1	7P2	13S	Zv6Post1	Zv6Post2	Zv6Post3	Nl17Stomach	3M2	3M1	Nl18Mid2	Ax16Stomach	Nl19Stomach	3A	Ct13Stomach	Zf5Post1	Zf5Post3	Zf5Post2	Nl19Post2	Zf5Esophagus	An9Ant2	13M2	Nl19Esoph	Nu1Ant1	Nl17Esoph	9M1	Al12Stomach	9M2	Nl17Post1	Nl17Post2	7M1	Zv6Stomach	Nl18Esoph	An10Stomach	12A2	Nl8Ant1	Nl8Ant2	12A1	8P2	8P1	U.Food.	11A	6P2	At14Ant1	Nl8Mid2	Nl8Mid1	8A	11P	11S	8S	Nl18Post1	Nl18Post2	1P	1S	Ax16Post1	Ax16Post3	Ax16Post2	1A	10M1	10M2	Ax16Esophagus	Nu1Ant12	9A	Nl19Ant1	3AbStomach	9S	Nl18Stomach	Nl19Mid2	Nl19Mid1	3Abmid1	At4Ant1	Zf5Ant2	13A2	Zf5Mid2	Nl17Mid1	Nl17Mid2	Nu15Post1	Nu15Post2	Al12Esophagus	6A	Ax16Mid2	13P1	13P2	12M2	8M	12P1	MG1	Nl18Mid1	12P2	11M	Nl19Post1	6S	3P1	6M1	Al12Post2	An10Mid	At14Ant2	At14Mid2	At14Mid1	Zv6Ant1	Al11Ant1	Al11Ant2	At14Post1	Nu15Stomach	At14Stomach	Nu1post2	Nu1post3	An9Post2	Nu1post1	HG1	7S	Nl8Esophagus	3Abpost1	Al11Mid1	Ao20Ant1	Nu15Ant1	10A2	3AbAnt1	7A2	7A1	Nu15Esophagus	2M1	3AbMid2	3P2	1M1	Nl18Ant1	Zv6Ant2	Ao20Esophagus	At4Post2
An10Ant1	0.0	0.736805447798	0.812667826063	0.765777800117	0.690765966691	0.85473764326	0.842123484422	0.746318315018	0.855951986752	0.806704420358	0.959533915946	0.782917289826	0.865741323779	0.859982825149	0.835772624627	0.889102016131	0.873408481525	0.937721580525	0.835851181772	0.81125130403	0.882702714413	0.807958298187	0.791841096404	0.860576379058	0.67730367961	0.733536518333	0.784453921212	0.932285617171	0.93903575337	0.950328776803	0.713770916494	0.791672660177	0.904483965155	0.949835158105	0.815660052103	0.67712689666	0.766794843118	0.754883030398	0.828140831401	0.953970584362	0.847291799662	0.77046766996	0.803238682841	0.857932401972	0.878244016567	0.746228748474	0.730432969611	0.775849513918	0.727050828521	0.833574988109	0.772423952555	0.719717663288	0.825510445796	0.815753687181	0.766866495001	0.811825304453	0.895944975949	0.813980065077	0.947007902461	0.847034264015	0.888137225162	0.950877174885	0.708850495891	0.772575409694	0.760896881676	0.961864634901	0.713813686016	0.71409676041	0.841182527774	0.954368221185	0.953161372015	0.900465967348	0.869583082328	0.956199620464	0.792649532084	0.7598004781	0.73981593812	0.897905638463	0.868827803361	0.902126770324	0.89963177006	0.815904609399	0.901457537463	0.938803469934	0.912901253168	0.823328257102	0.727388509418	0.805948478045	0.868694612478	0.839274041219	0.856200693454	0.801574319345	0.742821809732	0.908345009221	0.852134074269	0.744058029358	0.940402975471	0.816682966058	0.80957763669	0.7975729807	0.790663593529	0.717795478808	0.726315793227	0.831918469693	0.744341775144	0.808897938638	0.840723681017	0.879136939928	0.810464748989	0.75461166059	0.860506734085	0.81851924012	0.829751402854	0.951838653294	0.903925285388	0.867829878644	0.837051936627	0.957637340609	0.692481611838	0.948129024436	0.958793669273	0.823400673498	0.871246024134	0.923409181345	0.863664828417	0.797659732336	0.699371693852	0.825669236604	0.768552850887	0.77325862261	0.754941081832	0.813289067115	0.832960243114	0.727201800463	0.82065525955	0.792127334925	0.797569421935	0.782544611086	0.773677385513	0.847041430588	0.906126854246	0.861244105602	0.728760530087	0.771514377342	0.732211950012	0.800484983426	0.806745448779	0.849225887591	0.784931014386	0.895232332783	0.832738417894	0.796879702336	0.878970149896	0.768161774674	0.955961404714	0.895781586377	0.797105160388	0.725138578332	0.81945005335	0.725599935841
At4Post1	0.736805447798	0.0	0.733365528762	0.836438603904	0.723014817212	0.834115294642	0.820160674297	0.720162404612	0.874875257682	0.740876994945	0.951894962618	0.74373862468	0.878330351516	0.870933432483	0.818166093052	0.885802706443	0.853276109251	0.932519440662	0.854375516406	0.728254913345	0.860660588781	0.760837377241	0.760753565244	0.861878475102	0.723107218485	0.739941021963	0.712775444222	0.924940223309	0.931762460157	0.943547144919	0.702996965157	0.855533374026	0.915569848608	0.941488091223	0.803167945972	0.709562008085	0.739459010494	0.738125201434	0.761272865979	0.950241492749	0.841499527024	0.732013821093	0.736496474731	0.822982511856	0.873805499112	0.784956521937	0.710006138429	0.755352548553	0.75438431639	0.783499870656	0.828469764607	0.748404213229	0.834658447749	0.747432348808	0.795489390684	0.740869513235	0.884280211507	0.802885660708	0.947045119984	0.817638461552	0.876658649974	0.943698389124	0.693641631104	0.721346022813	0.797017528972	0.956809607938	0.755275772587	0.746925352662	0.83148041774	0.945570871807	0.941940331947	0.870771580979	0.863359331981	0.945556603201	0.715211457801	0.798212026634	0.779808117009	0.874832312245	0.867230738715	0.891523250162	0.891545536052	0.74568223865	0.889185659851	0.924148398039	0.896337902899	0.786454779505	0.748394672417	0.738449049307	0.861595713294	0.83285720823	0.841843029838	0.758164197067	0.780970656695	0.891883973906	0.818148960887	0.745850640507	0.929579880941	0.747709066197	0.761726865139	0.751208386873	0.812407716652	0.697565930587	0.69656328194	0.82819062424	0.705917131761	0.754471150493	0.795382205997	0.865212147265	0.744187493249	0.757267719231	0.859489449404	0.748965241594	0.834090412816	0.93957621003	0.89322012364	0.844824712472	0.821039619799	0.948663317261	0.778629922331	0.944186912497	0.952367778617	0.78112137612	0.857057716317	0.912818551118	0.874126532485	0.795755936507	0.768396304748	0.774301194179	0.727535309971	0.731643471637	0.789384346593	0.869519056928	0.876916212819	0.726170599498	0.752682367494	0.750132706872	0.722935123217	0.724090081319	0.810401033885	0.884965527533	0.892717202933	0.867816438848	0.716539147639	0.741697115997	0.71048289398	0.736279577828	0.744023244183	0.852273560644	0.706798073827	0.891814345269	0.856002813247	0.706373849261	0.863651554751	0.722261642871	0.945389864411	0.889517475082	0.719496019201	0.715110166251	0.764755580471	0.721875943494
Ao20Stomach	0.812667826063	0.733365528762	0.0	0.896165651205	0.778736278286	0.835903739394	0.801486035948	0.770898632904	0.931001093804	0.69589217231	0.947452719872	0.689930226098	0.891764025424	0.872995472888	0.850227941517	0.894794676175	0.873078196643	0.937546007268	0.923631956407	0.696707032085	0.857056875466	0.725370965666	0.745885563914	0.877654608818	0.79537610579	0.809150115814	0.683654709023	0.921234785519	0.931921293657	0.943252368318	0.733331899749	0.915586392889	0.91741918463	0.934421827516	0.817356496294	0.760943260459	0.782924656541	0.776329800403	0.710627144831	0.946568297713	0.854121592904	0.652191558226	0.672657752508	0.767906242133	0.885676529999	0.830057960337	0.778311128734	0.803380346355	0.800163794403	0.744979894536	0.894807470026	0.772518412119	0.869370564517	0.680065595877	0.859587246208	0.67579118159	0.885370600381	0.829743740357	0.946868918204	0.771826134387	0.877737060865	0.938760784301	0.768831047008	0.65961259378	0.831651854538	0.956952519602	0.792017829452	0.792517101505	0.82338787855	0.943137258683	0.940967455736	0.870378032607	0.88209218834	0.946481177466	0.674974433655	0.845950485653	0.858864676353	0.879822064371	0.879450114547	0.893741724021	0.88676723057	0.69078117586	0.889651365224	0.92676284872	0.89419512697	0.743056710323	0.835234882507	0.704561513898	0.868390253263	0.84144049209	0.845359263499	0.717286814861	0.821723977363	0.891293154364	0.777230392374	0.763582397773	0.930157287129	0.713238855352	0.715172441603	0.720815147815	0.820969934425	0.76068978198	0.755799572354	0.851179710214	0.762404893584	0.702887252012	0.76593463078	0.859266101788	0.696934577388	0.810048028538	0.862299531865	0.701418294078	0.847367501435	0.941063792643	0.898820474794	0.84416871602	0.828573049601	0.947774493231	0.834446344781	0.945014603595	0.94743955814	0.741127077816	0.882038009528	0.916166336015	0.88514823868	0.821000451655	0.819661399213	0.715672761573	0.704177027812	0.707871671528	0.867491291382	0.901658034101	0.901812710591	0.783933785131	0.692794510938	0.712282392053	0.662780213493	0.673834923485	0.870171770499	0.926614549074	0.895886106309	0.872114321864	0.730525932675	0.739091307929	0.75221067066	0.669370312159	0.707711527815	0.853737948179	0.695455586656	0.898777261294	0.876401530486	0.690230397123	0.863991777513	0.707614469663	0.942351812816	0.893583329042	0.667551844138	0.771375871576	0.696461355012	0.800216971973
Zv6Mid2	0.765777800117	0.836438603904	0.896165651205	0.0	0.739398946578	0.906501866933	0.90509154706	0.835801557884	0.812210933396	0.896205869578	0.96793993295	0.876118991653	0.907013757334	0.903408317088	0.874942396428	0.909230821062	0.900757365217	0.957733646463	0.7959767983	0.881012608763	0.90909790787	0.903971117446	0.881859508504	0.903737187038	0.77131800302	0.75633857244	0.886995453212	0.949709782991	0.957532378451	0.96442761691	0.811168779541	0.808989654094	0.927060663536	0.955681725904	0.873654918731	0.762624943156	0.805597311789	0.78785056985	0.897862535654	0.962414286795	0.883541145636	0.885637775368	0.890996730793	0.921494797668	0.906272665038	0.802547972688	0.833249257329	0.815455041189	0.797195456808	0.910421500015	0.731496443205	0.814782539583	0.876713474805	0.904549294314	0.792840414882	0.893792349683	0.916155211138	0.847915570955	0.960098425384	0.918177844677	0.937832667456	0.956785223435	0.785234429372	0.891840472991	0.826471888906	0.969601533205	0.790688638243	0.769815908359	0.885831381449	0.964204352204	0.962233888743	0.914615205979	0.894946227882	0.968350082277	0.871521448223	0.763961971835	0.779533682041	0.912622807914	0.899008706048	0.927045328697	0.922716176755	0.898803594018	0.935130316321	0.953594978741	0.932292675444	0.902501516098	0.731708097873	0.889713251261	0.900761859966	0.873791564129	0.892307589147	0.890648704463	0.813892679638	0.925636848963	0.919651223339	0.784298037825	0.950065438559	0.90093676447	0.897406045673	0.871744760233	0.888423312314	0.822961173547	0.792438968417	0.854008777286	0.836842491339	0.886326592045	0.91652671513	0.920148437493	0.892831453849	0.807807314955	0.898371590841	0.896441656795	0.877583694586	0.965789561644	0.912587210975	0.899146834211	0.887648601438	0.964123081808	0.751705072067	0.962957249702	0.967472265536	0.894372449903	0.893346005669	0.946405258618	0.889635972685	0.828152720932	0.757504977846	0.911176819354	0.862755566899	0.875464567238	0.728860762143	0.791060315398	0.789502092003	0.784200567704	0.890998875643	0.899380157494	0.891537595613	0.888429568131	0.759670567972	0.816715977459	0.925922958647	0.898244134657	0.783712534277	0.847822488819	0.797049265068	0.891442914488	0.904904457377	0.899681459637	0.87193900953	0.911650670855	0.876256185504	0.882411188419	0.910438740034	0.835398540903	0.963568417298	0.921524874873	0.884184251275	0.753529353273	0.891677103978	0.764386637018
Zv6Mid1	0.690765966691	0.723014817212	0.778736278286	0.739398946578	0.0	0.85196525885	0.819742333075	0.711377067112	0.837657415656	0.781444263125	0.954637501145	0.763433808771	0.883715618935	0.867355345641	0.822659051879	0.8872894736	0.867479727058	0.940667468579	0.830322362575	0.769915689987	0.867750652871	0.785812648281	0.792159692717	0.870602220969	0.702707503827	0.689336081218	0.783177910799	0.9291549905	0.938671537597	0.947992069877	0.694914943914	0.829202503354	0.917262852177	0.942716697005	0.800380619948	0.635551837218	0.722363241924	0.715355680559	0.795406775148	0.948192543284	0.845855927162	0.760758479013	0.777478320156	0.835656924241	0.880287685994	0.759729070891	0.742999073449	0.725555450133	0.722584211205	0.80346143643	0.783792158686	0.717372979043	0.836407510111	0.788162835582	0.794992439259	0.778456869029	0.881000667702	0.784188232465	0.963281139179	0.84588764247	0.889188517176	0.943684271332	0.705918779873	0.770651971876	0.752351995208	0.957824718639	0.737156025709	0.704408893177	0.826261384671	0.949456769203	0.941940245879	0.878746630928	0.884910854257	0.952041394437	0.76417911295	0.76973867506	0.752699490476	0.882455529129	0.882554033981	0.888701239737	0.891660070377	0.787960202734	0.903128200819	0.933864768686	0.898485023876	0.816442441934	0.719023548024	0.799182647764	0.87185147969	0.834798065769	0.846598676707	0.796614433404	0.769311765618	0.894398292274	0.842575209662	0.724357482928	0.935464048101	0.776072769246	0.801319966579	0.769435003718	0.842473313566	0.726632695414	0.712479626134	0.829705225815	0.720319143669	0.783933736629	0.827663705421	0.869787338464	0.797941874403	0.757239247596	0.866142501722	0.792588318926	0.84074889746	0.945707243939	0.896420813109	0.852703821353	0.836914150525	0.952915365027	0.756370403605	0.948052577658	0.952912547718	0.798907136544	0.870628386587	0.918785923449	0.870105571136	0.758710875442	0.716076211662	0.820548733386	0.751772774569	0.780637317117	0.75275451075	0.831504431557	0.845385817768	0.691249457818	0.777718376726	0.794126574814	0.770788066729	0.761193291216	0.765714693058	0.854102018365	0.906730867062	0.871077317629	0.688469786231	0.735141029733	0.711913593271	0.772276614869	0.790260199824	0.861505934101	0.759144503237	0.879766160362	0.849481313648	0.783524050026	0.869609393084	0.72845664915	0.946567857247	0.900826749145	0.766658075351	0.668130729599	0.78454075936	0.701907816171
Ax16Ant2	0.85473764326	0.834115294642	0.835903739394	0.906501866933	0.85196525885	0.0	0.614599037675	0.844234657039	0.944383089108	0.836261402346	0.947892489933	0.823101131356	0.905080884103	0.887337655766	0.858335377354	0.898500218254	0.884430535109	0.932405539212	0.940210043031	0.831806745606	0.840697381193	0.833881329826	0.813601121854	0.893091193766	0.853067255566	0.864119784554	0.826164585866	0.914409692123	0.928358551973	0.934627434822	0.838595804722	0.932771955178	0.882455384038	0.897125838815	0.863792835673	0.826674536048	0.830509133111	0.823705197636	0.824030572057	0.943935428341	0.867259721818	0.826005228692	0.808934802162	0.818503863849	0.897457782314	0.846378927085	0.832660121039	0.822110071154	0.846316234598	0.848732887007	0.920324326916	0.805901071169	0.877049857771	0.841145569284	0.89018003571	0.83454514925	0.831218438904	0.788687374797	0.943247636029	0.852275921131	0.883450823831	0.923438403647	0.831147795646	0.820821499784	0.823150140816	0.951217361459	0.840903797923	0.834000466676	0.876551131956	0.937874383798	0.936191319176	0.824714122027	0.89540233854	0.940606043827	0.82780036849	0.887893915346	0.880023562004	0.875519093852	0.903171298657	0.830854640849	0.824734358727	0.833321306772	0.885351154399	0.925334645153	0.844104425711	0.752524855838	0.850172121477	0.836547022256	0.896471698468	0.867471794644	0.867383384279	0.821470114751	0.844199859955	0.861365055119	0.844892974907	0.850063575002	0.863541075275	0.821003475906	0.821140450215	0.834271373631	0.870698737585	0.820915826347	0.838614955221	0.866584775935	0.838982436221	0.808448346654	0.827806953433	0.877265216174	0.838297511643	0.851768219318	0.869565711154	0.825928381946	0.869370583526	0.93974599398	0.8707932913	0.866862862814	0.8602111537	0.947302769827	0.87236258519	0.930159481461	0.946786287874	0.833994161239	0.904888822741	0.908473687578	0.906011308221	0.818242212023	0.845842145212	0.843701078129	0.820038678266	0.823672157643	0.898045564237	0.904348770485	0.914598632502	0.847927918552	0.82798004258	0.823631798342	0.839403937985	0.844962780573	0.894454738252	0.940338464999	0.90241988132	0.868744551818	0.832009011604	0.831145913077	0.846166051055	0.832659898117	0.827647129421	0.884307824617	0.846724484576	0.796865322762	0.89611663366	0.843585237916	0.879068875393	0.819893873627	0.939840173406	0.883609794761	0.828779427936	0.846517627198	0.824928980177	0.840571156074
Ax16Ant1	0.842123484422	0.820160674297	0.801486035948	0.90509154706	0.819742333075	0.614599037675	0.0	0.826133217826	0.935749907691	0.812710648369	0.944403213703	0.781039879449	0.904620625817	0.886140278825	0.855219886942	0.899614627798	0.881295561991	0.928597550902	0.935372942536	0.820783402526	0.832021103569	0.808657990911	0.801797648567	0.893519002436	0.836251792563	0.846795387187	0.815399149138	0.920119904853	0.931375758878	0.938466886803	0.813516754118	0.92861801109	0.882526437426	0.901816525191	0.847730707966	0.788644298309	0.823300073639	0.811978731011	0.801111453404	0.9439519499	0.878555120677	0.778473326096	0.776416001938	0.795821632077	0.896635837165	0.854952638872	0.822825962471	0.808687134914	0.833104452645	0.824156629665	0.914646968852	0.810567479432	0.871259395644	0.81725698681	0.8908003895	0.795427171477	0.83680926617	0.799191594699	0.946822187894	0.847953544199	0.883744420858	0.923735420744	0.813944480992	0.803961397991	0.810091450647	0.950141654928	0.826923995836	0.82733404667	0.859023915005	0.940090422661	0.930467163371	0.823085002306	0.897003371743	0.943702265451	0.801183008828	0.863802513252	0.864456583359	0.870006058154	0.909708366569	0.829402031638	0.819167334383	0.82079808328	0.898859207557	0.932277117286	0.842481690187	0.724804819663	0.844590152603	0.808819984595	0.891214351246	0.857291163687	0.863936399714	0.786475581636	0.837811358933	0.859739153186	0.832868017662	0.822795084322	0.861584766459	0.798188870411	0.803550167721	0.808148225924	0.870642353372	0.807071877871	0.83080998285	0.864673677664	0.820764815364	0.798117951581	0.83038745424	0.864229883038	0.823028772773	0.834090040145	0.860778620092	0.798492266754	0.870882415736	0.944021060342	0.88295038435	0.866020385916	0.853156796846	0.946652658437	0.867165260531	0.933522998765	0.943203271357	0.81360747058	0.899096034785	0.915078510798	0.904007217944	0.820144447442	0.841904924535	0.827025206997	0.802530539998	0.79990326281	0.892190143547	0.902872363022	0.903688637109	0.821659000443	0.787015395391	0.793043497743	0.801638397487	0.810162725319	0.884745822739	0.942638427323	0.911833243151	0.866411046125	0.803204460585	0.799709029331	0.816671788226	0.790353622201	0.799300566705	0.880826317594	0.812093351478	0.82404127076	0.89527008394	0.813495326993	0.875818805598	0.790057081062	0.940528992944	0.90028460973	0.781351269006	0.836191499247	0.799288311548	0.83182565523
3AbPost2	0.746318315018	0.720162404612	0.770898632904	0.835801557884	0.711377067112	0.844234657039	0.826133217826	0.0	0.869971902815	0.756639832469	0.963917770243	0.762646345173	0.873353624056	0.865164187738	0.847516134501	0.883125833433	0.879220431838	0.945851379729	0.875154498445	0.782986467222	0.885145822994	0.777562105014	0.778953524318	0.865952013488	0.722729792162	0.761506018497	0.74646990128	0.93092435328	0.938830280266	0.949524124749	0.719439148112	0.861170524445	0.913502546872	0.955646182692	0.803190532676	0.731044836105	0.779398779167	0.771952416668	0.781850556536	0.960589017089	0.850600256867	0.741381138484	0.762911661766	0.843687602671	0.884052085951	0.793308130876	0.74344423715	0.755789961381	0.764585394105	0.809517334989	0.841538398101	0.745830010951	0.831277379862	0.776028870578	0.830213410487	0.765651523818	0.903900160953	0.835895191037	0.960250561875	0.843650505185	0.891984807771	0.957643564415	0.757110470024	0.739126001913	0.796965502512	0.967503296438	0.751374137156	0.74751671952	0.834303553016	0.954371782685	0.948550149382	0.888633097988	0.874671608979	0.951391542303	0.753821922802	0.781669986861	0.784219093932	0.893470174363	0.867433070961	0.897008293148	0.904664072129	0.77393210157	0.892086203078	0.936777651645	0.918376992094	0.803548848561	0.741124918932	0.760413500627	0.87213630485	0.839699235956	0.855178515843	0.789331476817	0.755781793355	0.911385493354	0.83834209968	0.719005905339	0.941029366374	0.769508462411	0.786151447386	0.771140265756	0.802156304506	0.729926438987	0.739668488996	0.830600402624	0.735659098858	0.789576938299	0.831100436462	0.867143511173	0.769601219443	0.778032666312	0.873082445571	0.771346417834	0.849195388316	0.944092632753	0.907723601562	0.866293457367	0.826873998873	0.962330160679	0.765462928632	0.953625925647	0.964310547792	0.796011386288	0.856578724526	0.921177135114	0.872453326442	0.822990379612	0.768897323896	0.81207811662	0.688002281864	0.759035391048	0.801039677211	0.875571774084	0.886017046463	0.72771315418	0.784539423577	0.77753256868	0.744946608208	0.738773544532	0.833797340627	0.906706543097	0.90248912369	0.863473393923	0.721278467531	0.722044996896	0.723785803467	0.776385660534	0.786864784925	0.844718545673	0.751129772281	0.906072076675	0.854802568319	0.758312544775	0.887867699919	0.72684347997	0.960734542945	0.898325846554	0.770637892889	0.701161715894	0.782815741953	0.747222398681
Nu1Mid1	0.855951986752	0.874875257682	0.931001093804	0.812210933396	0.837657415656	0.944383089108	0.935749907691	0.869971902815	0.0	0.927265256656	0.978438040529	0.915837556793	0.935584188973	0.933683729332	0.894008997223	0.952091052738	0.911859532337	0.954552505438	0.820738639575	0.902020646705	0.92106761074	0.922911889896	0.904198323519	0.942300174412	0.835025232306	0.832371775547	0.924493572981	0.946391094799	0.941400184033	0.947304933158	0.891064879027	0.834414963658	0.936242606391	0.974804165662	0.920688845845	0.831544789527	0.870066096988	0.857751987779	0.920557132978	0.980351192302	0.935693124094	0.90446736614	0.912933343654	0.934104292723	0.946783254549	0.857727304539	0.892335063948	0.884488168055	0.895558022152	0.92314146619	0.796246816442	0.886721595559	0.924099460209	0.915703793816	0.763884202861	0.906668168779	0.945328294565	0.874855067925	0.95186420476	0.926869583016	0.930853999947	0.973942218716	0.871294110637	0.923449432414	0.878334353999	0.983069164827	0.849432484845	0.846444469174	0.93569583918	0.962010384744	0.958258430881	0.94368329803	0.933427027481	0.951418218696	0.910404110787	0.822712288605	0.819547078692	0.930661383353	0.927890214493	0.962545367589	0.954975638383	0.917067247117	0.930821881557	0.940239535931	0.94360733914	0.927243965843	0.810219560878	0.920060418627	0.939605500961	0.926807352188	0.917011721095	0.92759590879	0.88894073209	0.946848844788	0.925425052939	0.871962212524	0.968122680005	0.920514294442	0.93104049518	0.907032949976	0.922089999834	0.87906111117	0.863367923908	0.924351086213	0.876910360446	0.901894090194	0.924030068097	0.917196735565	0.921313576613	0.848587643434	0.931334900132	0.932585429291	0.906516781373	0.946116308971	0.928676064363	0.923979938245	0.920124255429	0.980228196628	0.844543152228	0.957633396268	0.979936232386	0.912357133104	0.937345880328	0.921920602956	0.925217866854	0.851745142223	0.842776224998	0.917034151861	0.903747973323	0.916183927974	0.836778795278	0.856665946208	0.863004382476	0.820775120094	0.935350596398	0.927594868548	0.925904746633	0.928387694433	0.809495672534	0.784362030351	0.937231522042	0.943545361997	0.847942701976	0.902265084133	0.837218523505	0.928976180824	0.934938355489	0.929311915445	0.905507144145	0.947549889647	0.927455772576	0.904117581194	0.929929671419	0.894073461656	0.969575185209	0.903253539409	0.919247995033	0.85876633225	0.919539021399	0.864809495148
Nl17Ant1	0.806704420358	0.740876994945	0.69589217231	0.896205869578	0.781444263125	0.836261402346	0.812710648369	0.756639832469	0.927265256656	0.0	0.96871491219	0.712245035186	0.893485895963	0.889385944521	0.842370583893	0.915478602069	0.88060755859	0.925903118044	0.921070673733	0.704526089686	0.885231555199	0.728357645916	0.732527116499	0.889640116893	0.786279915147	0.805885700917	0.642137380669	0.922346543414	0.928698256261	0.93947282573	0.708994807339	0.912359885721	0.908457945528	0.955236361388	0.830241500585	0.777070354161	0.801770706743	0.783678501724	0.733063328223	0.96467085148	0.881058854455	0.695511507172	0.707352972271	0.796412363572	0.89687732692	0.834077635829	0.785560890259	0.790550895001	0.793081113022	0.746501829014	0.890652543722	0.774047220726	0.864803969312	0.690560615441	0.859869610203	0.717471432042	0.903845167843	0.834496677117	0.943796288726	0.78227119255	0.869906641193	0.958170240604	0.76617307311	0.698953907764	0.846505304808	0.971293198318	0.783391729947	0.791068430935	0.8652308685	0.938679162198	0.934548327013	0.878505955024	0.90764390224	0.939728237311	0.671418764531	0.840751516776	0.852634993026	0.883823072231	0.889466807838	0.915158279163	0.901786052157	0.710537329743	0.87158489328	0.923284634461	0.910999303899	0.765695198931	0.82493097624	0.673929483251	0.892265800643	0.871409148956	0.872620415132	0.722418751922	0.796376634169	0.903865163837	0.798850332174	0.77030600709	0.939776936697	0.704331231884	0.72684150471	0.747932005049	0.822376344205	0.739273964784	0.74610989791	0.86575682993	0.755075134139	0.741376957165	0.786377715295	0.856184995738	0.659813325947	0.798515966953	0.889591224516	0.702171428586	0.866434095495	0.933657754031	0.898630293734	0.862379542721	0.833831229307	0.967927267699	0.803052312212	0.939646863294	0.967512197506	0.757881788801	0.882426583396	0.908354791565	0.902461688672	0.826413571419	0.810190105964	0.745163383243	0.696901343249	0.692977972934	0.863386572386	0.8938295814	0.904519103808	0.782050476325	0.725744777316	0.704160899627	0.669085494694	0.686019816292	0.866412122058	0.928883624317	0.890804726351	0.886132190036	0.749414987412	0.740421141169	0.73270720712	0.70332710726	0.717754657471	0.864677829972	0.691185868966	0.908881348564	0.890676563888	0.700425012127	0.895647312375	0.714505196899	0.960277823886	0.906524730199	0.690359123362	0.774265769632	0.738311943374	0.780027044543
