	An10Ant1	At4Post1	Ao20Stomach	Zv6Mid2	Zv6Mid1	Ax16Ant2	Ax16Ant1	3AbPost2	Nu1Mid1	Nl17Ant1	13M1	Ao20Post1	12S	6M2	Al12Post3	12M1	9P2	9P1	Al11Esophagus	At14Esophagus	2S	Nu15Mid2	Nu15Mid1	2A	Zf5Ant1	Zf5Stomach	3AbPost3	10P2	10P1	2P1	At4Mid2	Al12Ant2	7P1	7P2	13S	Zv6Post1	Zv6Post2	Zv6Post3	Nl17Stomach	3M2	3M1	Nl18Mid2	Ax16Stomach	Nl19Stomach	3A	Ct13Stomach	Zf5Post1	Zf5Post3	Zf5Post2	Nl19Post2	Zf5Esophagus	An9Ant2	13M2	Nl19Esoph	Nu1Ant1	Nl17Esoph	9M1	Al12Stomach	9M2	Nl17Post1	Nl17Post2	7M1	Zv6Stomach	Nl18Esoph	An10Stomach	12A2	Nl8Ant1	Nl8Ant2	12A1	8P2	8P1	U.Food.	11A	6P2	At14Ant1	Nl8Mid2	Nl8Mid1	8A	11P	11S	8S	Nl18Post1	Nl18Post2	1P	1S	Ax16Post1	Ax16Post3	Ax16Post2	1A	10M1	10M2	Ax16Esophagus	Nu1Ant12	9A	Nl19Ant1	3AbStomach	9S	Nl18Stomach	Nl19Mid2	Nl19Mid1	3Abmid1	At4Ant1	Zf5Ant2	13A2	Zf5Mid2	Nl17Mid1	Nl17Mid2	Nu15Post1	Nu15Post2	Al12Esophagus	6A	Ax16Mid2	13P1	13P2	12M2	8M	12P1	MG1	Nl18Mid1	12P2	11M	Nl19Post1	6S	3P1	6M1	Al12Post2	An10Mid	At14Ant2	At14Mid2	At14Mid1	Zv6Ant1	Al11Ant1	Al11Ant2	At14Post1	Nu15Stomach	At14Stomach	Nu1post2	Nu1post3	An9Post2	Nu1post1	HG1	7S	Nl8Esophagus	3Abpost1	Al11Mid1	Ao20Ant1	Nu15Ant1	10A2	3AbAnt1	7A2	7A1	Nu15Esophagus	2M1	3AbMid2	3P2	1M1	Nl18Ant1	Zv6Ant2	Ao20Esophagus	At4Post2
An10Ant1	0.0	0.496902936267	0.852107315733	0.580215438377	0.376532477189	0.693878700807	0.587819856608	0.431946320475	0.603212073647	0.845255784457	1.02179447944	0.8193196931	0.434763418052	0.60876490189	0.53530257518	0.473462179156	0.644695230271	1.07919282998	0.590386036754	0.7113957308	0.614493333882	0.883655931337	0.860324773756	0.46739641461	0.299648034962	0.628395267969	0.902029386205	0.977489237794	0.975206736705	1.02875891779	0.381420684489	0.329452672816	0.995598701929	0.95461391409	0.449302777811	0.391569450764	0.613578352324	0.72090780705	0.863227793853	0.981579146901	0.472147401718	0.832922689131	0.867142921306	0.954917495476	0.455769835312	0.41415547262	0.589075417045	0.691697779336	0.49802316014	0.896956887135	0.636731064977	0.415783158818	0.484557338298	0.856888673929	0.561340595443	0.870493773343	0.908676336478	0.470380017531	0.927712639792	0.977047675387	1.10672377324	0.976515757383	0.484451334319	0.859742649736	0.36390072658	1.02098238163	0.376979707245	0.391364229435	0.492624286568	1.007068181	1.01233877914	0.597188745372	0.43772051428	1.01987300291	0.871436889165	0.528860101483	0.552542920297	0.882048460463	0.44583000134	0.736534426513	0.655522969579	0.86366821221	1.08141266101	0.957598631741	0.757650405618	0.714568454429	0.407334312911	0.840895104357	0.528769157738	0.473763451153	0.505545180773	0.835982428873	0.582200060969	0.785169618213	0.953580993297	0.748767023162	1.10129919884	0.862485761586	0.834461028592	0.843951755863	0.796927464204	0.466548488128	0.668877984232	0.519126846535	0.692312466734	0.837919156197	0.868411591444	1.07797645261	0.871494790144	0.531433028704	0.492758938266	0.856958353733	0.450370008667	0.975504422015	0.991989292841	0.672356650594	0.504342805932	1.00638154554	0.530172984088	1.06023293766	1.00427039492	0.844233677174	0.45722473717	0.991434978393	0.472108884106	0.544448687249	0.389453625718	0.870762360777	0.825273061876	0.83673381495	0.764207301728	0.737584312332	0.627426063317	0.448101394396	0.847658160522	0.883154503677	0.868666389427	0.868166861105	0.587414778739	0.513516202493	0.922238161673	0.459086168694	0.664165088641	0.617719461092	0.651800442658	0.87297942726	0.881287708151	0.419757007803	0.862373687043	0.727892175813	0.465710380264	0.840325475067	0.647862497147	0.880399969592	0.969355120358	0.831001743314	0.886542455868	0.602219029461	0.827244113616	0.5685545926
At4Post1	0.496902936267	0.0	0.682889847709	0.690660243278	0.467025413633	0.743517881571	0.629112183662	0.486163898505	0.692089153054	0.686318651976	1.07739647044	0.667273235147	0.517465370783	0.658963749015	0.617627262726	0.543069518131	0.676430127623	1.10863774698	0.731083027892	0.576022464181	0.642181791717	0.721835414195	0.791896344023	0.530959376648	0.553381953284	0.724721647561	0.749828887427	1.00075942661	1.00223753589	1.06432276187	0.412861317491	0.551777943791	1.05648546688	0.98065020845	0.522151558789	0.551851043264	0.63082789413	0.745995852727	0.697861082188	1.02871742195	0.545706846998	0.668666039048	0.69404023293	0.782057188278	0.542895243063	0.576633851411	0.546375704615	0.693570188356	0.620680171058	0.725594359456	0.731333622432	0.560326709063	0.551534157904	0.689218978956	0.69053067374	0.695770932619	0.962855460079	0.534833225458	0.991667132978	0.827847553581	1.14318450649	1.01931369363	0.483570039141	0.676675848509	0.490950434159	1.07247285756	0.603459108317	0.548187921118	0.510363927465	1.04124413541	1.0394366017	0.642796533156	0.51942618905	1.0524248434	0.681355310802	0.691753778999	0.63133777	0.890611454379	0.530052581224	0.790335171112	0.718668069302	0.690094610311	1.09949946102	0.988874258355	0.800693545032	0.551718089112	0.548166413028	0.694320922819	0.628484681524	0.541535818763	0.528930098468	0.681681602838	0.7166706609	0.785292915172	0.798248283035	0.836356955201	1.16570292087	0.701462602373	0.679582213671	0.684126519953	0.880908185696	0.364603852456	0.638434415108	0.599461551047	0.598917059561	0.681333695693	0.704161650861	1.09517290538	0.700581365917	0.660291190464	0.590912922665	0.681525851148	0.526887122231	1.02818657141	1.04450173444	0.721133755257	0.499808454598	1.05762717388	0.655482605148	1.08211437871	1.05357843826	0.692035787041	0.522016251424	1.04121529222	0.542614262038	0.702188479084	0.553414104787	0.716042437714	0.668899878455	0.662744362404	0.849055915908	0.859890814569	0.776923019892	0.611603101992	0.662820924777	0.705658807481	0.699738983879	0.691808031198	0.698352248808	0.639645938885	0.970289984772	0.531246190058	0.694209828181	0.524185861947	0.760318785176	0.697917864163	0.726823743715	0.504867034924	0.688446452758	0.785853399324	0.52748660207	0.679634237948	0.72721782296	0.77081320406	1.00825439484	0.910570161934	0.7141779904	0.671438162862	0.666108835722	0.586857833094
Ao20Stomach	0.852107315733	0.682889847709	0.0	1.04757466108	0.895721548498	0.911131761611	0.84829130558	0.804045824695	1.07012813504	0.228036908648	1.22126707124	0.219858229856	0.736425051758	0.757740153534	0.877836240532	0.750133656692	0.815367407468	1.15479092782	0.924925294165	0.394233038118	0.74726939391	0.582033265622	0.873555220383	0.721288077718	0.912065953602	1.10690703327	0.306799578221	1.07534526343	1.07911875391	1.14373793602	0.782985871774	0.90624866478	1.12947707921	1.11457146974	0.674263091453	0.971457216816	0.986779274192	1.12678370594	0.287718685454	1.17981497423	0.710552931926	0.16890521242	0.194423707216	0.583075513101	0.7183295067	0.929024856209	0.809638702596	0.940434499957	1.02045676915	0.37686098263	1.12731747042	0.832220597211	0.760302089304	0.218187442191	0.998217302408	0.165887139688	1.11495238319	0.863083476774	1.11224317834	0.756931227951	1.23056477845	1.16674414715	0.755859357966	0.231854795054	0.842464910224	1.22069062654	0.901756172192	0.782371520411	0.684861246032	1.07680853938	1.08192631621	0.814330774027	0.73370646141	1.13494685373	0.213301097861	1.01983247067	1.0175362579	0.945129444096	0.738373922105	0.957358394995	0.867246387367	0.257905600228	1.17885139013	1.07680071904	0.933707375536	0.539799240297	0.880475156639	0.25000190407	0.778700709103	0.715523168066	0.712540269397	0.260279213519	0.916280571202	0.912918951003	0.80240027158	1.08899667671	1.29985053735	0.272307844208	0.670289226712	0.351094324592	0.884332845439	0.653083926592	0.960348560065	0.816969213141	0.953141699496	0.684976602801	0.580253215224	1.18166793003	0.268011807278	0.900377569482	0.768845790976	0.214795325004	0.731620516788	1.1126115584	1.11108374952	0.848308913776	0.675073844172	1.20348623411	0.994144746665	1.13690457638	1.20273011956	0.697115341916	0.742421125546	1.13885420917	0.74880352157	1.03081006176	0.893696838175	0.264779984596	0.268016001131	0.267336423554	1.13135963495	1.05263701717	0.999490518562	0.945702313046	0.195123555639	0.258993281948	0.215520913991	0.211713037829	1.02971900299	0.970179343655	1.14847396528	0.726938822323	1.00170822877	0.704405476739	0.897864035718	0.181229567213	0.317575426275	0.723236992096	0.298136215415	0.932069441824	0.736905401382	0.250938866188	0.825832028865	0.927885816467	1.16640615195	0.970200512755	0.313565219015	1.02804333088	0.361160247198	0.986594466334
Zv6Mid2	0.580215438377	0.690660243278	1.04757466108	0.0	0.422275468872	0.907331503175	0.822432098502	0.709293046826	0.580106492381	1.0407100172	1.2012526584	1.01155531777	0.649710645458	0.811579977074	0.769296122172	0.673314136684	0.833343317431	1.27190064326	0.745691447334	0.892716145924	0.728074035303	1.08977823546	1.09080371453	0.661835662313	0.61896064906	0.648426095423	1.09497158313	1.17891471267	1.18270082285	1.23947099656	0.706146597002	0.60224377706	1.20014935794	1.13522117192	0.625344025431	0.658778780217	0.771185888296	0.859302337363	1.05299408612	1.16458634249	0.65871073272	1.03327290802	1.06672158797	1.14811760332	0.645823966086	0.649883666105	0.769714124887	0.801218176743	0.72657435406	1.09868112789	0.648806373419	0.689098865104	0.690516861955	1.05410724842	0.727026333355	1.07097535321	1.07397713175	0.618764874743	1.14488355275	1.18688161788	1.3260220561	1.15628974527	0.639623754442	1.06298240847	0.652974029602	1.19733868825	0.500304865893	0.632294280225	0.69227795983	1.19930941017	1.20994211859	0.782301782455	0.646800429253	1.22696202758	1.06825897758	0.65395183432	0.522788870282	1.07287446845	0.660458477639	0.88546291703	0.844281577897	1.06557744074	1.29587998065	1.16652076483	0.924768231521	0.924213758727	0.662147751806	1.03526771747	0.716150131362	0.66811468239	0.693812800804	1.02487995179	0.779929846921	0.978188727954	1.16778215543	0.703148236636	1.23412449444	1.0570568206	1.05267687907	1.03566359324	1.02076510916	0.744361449372	0.782467180092	0.744017539257	0.78236379928	1.05425292275	1.0740961328	1.29323353381	1.06567452739	0.756495809825	0.683482288474	1.05444005409	0.673142750814	1.18806121098	1.19610874976	0.876883529612	0.689452352191	1.18632942592	0.585838376535	1.25516496442	1.18063491186	1.06627433943	0.659894456351	1.20562318665	0.665992039337	0.730984888109	0.556731528168	1.07416821189	1.0105842339	1.03525447023	0.561974180362	0.717222725532	0.62548144371	0.534410868227	1.03865729149	1.08404389047	1.06516507649	1.06797698268	0.579072612222	0.655414555155	1.1302821683	0.653994769674	0.743227323201	0.808768517667	0.843884643032	1.06793316934	1.07020939859	0.639202241886	1.06397572374	0.924671594943	0.663135442471	1.02544037245	0.830243500514	0.922465324512	1.14781268517	1.04156779709	1.09035718934	0.732551008069	1.02976624841	0.70172916196
Zv6Mid1	0.376532477189	0.467025413633	0.895721548498	0.422275468872	0.0	0.748458755041	0.63666631914	0.454269480829	0.523811868486	0.893771847005	1.08693597672	0.877608087493	0.50589554658	0.678773820481	0.610436230085	0.53973568303	0.709979485262	1.15663963401	0.692286415128	0.766897574307	0.677148932437	0.923596005387	0.904393912806	0.533540030873	0.400027547995	0.578935043905	0.961473672359	1.05015148594	1.04719766597	1.1034950779	0.454667333568	0.454296413154	1.07067002651	1.01324328123	0.52065314891	0.362888054688	0.6222994201	0.614004199952	0.903513262128	1.04281103612	0.538583450756	0.875748305158	0.90474609444	0.997399241436	0.530782720574	0.47113881925	0.57183381309	0.687235675457	0.502854310983	0.938277540019	0.612491088912	0.501578600859	0.544244550378	0.90255283527	0.604161635144	0.908285687782	0.989323540663	0.440626182718	1.00457861321	1.02141821811	1.17153351399	1.03651481767	0.522594914039	0.903980850939	0.42771707747	1.08741137401	0.452245117317	0.455527449639	0.544572689031	1.08177814073	1.0861115145	0.660997985052	0.51092079538	1.0933410954	0.911661628444	0.595852208246	0.521872252455	0.950487627192	0.519632573391	0.81173214653	0.726507390871	0.902949139793	1.14464786521	1.03079244253	0.829507366245	0.751924319203	0.456985948075	0.899818142173	0.61471024827	0.533245886442	0.559507867267	0.890982172722	0.649165709567	0.847490706193	0.993191613958	0.786345866358	1.18376656705	0.910877669504	0.878509278612	0.887448933074	0.883386475517	0.505100029856	0.580559827199	0.584830409024	0.648801385214	0.876676896804	0.9128346391	1.1407066002	0.914088853801	0.595060191148	0.57815762337	0.894870043857	0.518531153407	1.04786263343	1.06381684973	0.737162623252	0.554837430643	1.07136708176	0.619204842087	1.13552582694	1.06959623689	0.884360671079	0.523559996364	1.06551046678	0.531702696184	0.591487915912	0.437529615133	0.924221881786	0.876699828778	0.880278365248	0.738144205638	0.839152004963	0.742193230873	0.530288493032	0.886535201613	0.929379731801	0.913906090277	0.908609902276	0.663743977903	0.530819451124	0.993676467095	0.533969973933	0.684928038493	0.641972450695	0.704957711032	0.914567017707	0.931165642489	0.490274634831	0.906433627142	0.798201418333	0.521691218058	0.888033319034	0.729374559551	0.890830170179	1.02935699763	0.925667699442	0.928668560123	0.546213089071	0.868402540202	0.547953429715
Ax16Ant2	0.693878700807	0.743517881571	0.911131761611	0.907331503175	0.748458755041	0.0	0.382393155408	0.64209214203	0.907740921467	0.909997718272	1.07445238217	0.881696406907	0.600893868661	0.654407299326	0.734259213171	0.617071173739	0.742453817695	1.11874606543	0.813753077308	0.845539143352	0.649828444083	0.897784371479	0.84864580247	0.603282366846	0.733085353903	0.951485642333	0.968769450757	1.03919620997	1.02451140288	1.08857762408	0.734280389346	0.746288926035	1.04595098912	0.980178874113	0.588293380598	0.815231616474	0.828181251736	0.925001789495	0.896031314505	1.03714929587	0.596859674004	0.887165884724	0.910154581965	0.932242395728	0.593789497327	0.74957739283	0.753050309032	0.766312222455	0.841110104461	0.941472812183	0.968849400624	0.679599448362	0.626386435804	0.917735157937	0.824077140268	0.925393620612	0.921652771908	0.653718955228	1.00392399922	1.00361088154	1.14215995295	1.03164220581	0.750957785776	0.911688364812	0.638953334007	1.07700196698	0.727804368582	0.607883047437	0.598436509583	1.06105282244	1.04808282867	0.64497684945	0.596648982711	1.0764633475	0.91386362901	0.834313925053	0.847101375815	0.918990867189	0.604911731972	0.770511862179	0.703156651029	0.901165403672	1.11473993458	1.01049719489	0.747627322691	0.673656645573	0.693522040165	0.912033527385	0.667255914115	0.606462474286	0.584425957385	0.901164282551	0.744719633244	0.784793707787	0.979154507646	0.952714814022	1.11339519801	0.917949565952	0.832598370718	0.892473834474	0.898059896899	0.630324025876	0.838895975947	0.648156243807	0.890094176668	0.859143970339	0.87201784611	1.11922374055	0.922149667713	0.747028733154	0.613339750816	0.892787298077	0.59433212585	1.03292027619	1.03079600889	0.754244681716	0.583960136485	1.06214543623	0.831489277419	1.09428392086	1.06055206049	0.832696496272	0.61163783888	1.06072510718	0.616989600458	0.875838983301	0.704639626168	0.938561865352	0.899805735734	0.896728138463	0.972197373741	0.957631920739	0.899116737411	0.793851102439	0.868425992284	0.917801381237	0.927802468514	0.925316922333	0.881647476476	0.802586033751	1.00954189053	0.59028562659	0.848548614691	0.704638449089	0.821791324182	0.925223229258	0.901450567827	0.584784406842	0.934830520308	0.713577058588	0.616715887051	0.913726495278	0.726002352836	0.984542626588	1.03117541905	0.885662082194	0.926147002043	0.866021366968	0.872418750765	0.826574952388
Ax16Ant1	0.587819856608	0.629112183662	0.84829130558	0.822432098502	0.63666631914	0.382393155408	0.0	0.49917337677	0.779915435695	0.848914995069	1.03608082126	0.824853644259	0.466974794183	0.611829045549	0.679841258682	0.488323196649	0.648302282684	1.06809738969	0.729243238242	0.78161485393	0.58984638003	0.836182478826	0.812258117926	0.489866973847	0.622360387378	0.851655034727	0.904933197729	0.967539985562	0.96134465097	1.02045686446	0.608307204279	0.641095936638	0.993446021289	0.948176655936	0.494171004154	0.685489931971	0.733549640484	0.831162955031	0.836227878468	0.999388238261	0.502304005253	0.822716362254	0.846207554428	0.878088581778	0.496560739123	0.62532149656	0.677347893916	0.732943156742	0.722110659235	0.87329003899	0.872077371438	0.574981569871	0.492196880273	0.852462663246	0.703120314373	0.860248477832	0.883220551119	0.572591919888	0.939606644131	0.942218168051	1.08982285138	0.993441210144	0.65953449569	0.844238192269	0.527579102187	1.03914519789	0.609311829889	0.487877843111	0.484483599377	0.996023038216	0.983110575955	0.564474356349	0.470478300325	1.01091175018	0.842601055824	0.709691995873	0.718106639802	0.865418748149	0.473346310788	0.678620871671	0.630097970277	0.843842160552	1.05199558703	0.946407694118	0.693927676244	0.586590515953	0.585430030507	0.848330928	0.585609683543	0.507294737002	0.511874484105	0.843256763692	0.644107163249	0.747803388262	0.896560982736	0.843252845026	1.03565803286	0.854261748867	0.777182489607	0.837053299102	0.848676650598	0.495714476609	0.753317244809	0.522696192603	0.771165750967	0.782589035191	0.831759104245	1.05069293387	0.860559304647	0.645283501153	0.5354831859	0.830577049386	0.459999176363	0.972886397883	0.984680791168	0.675118903493	0.479030674389	1.0240036277	0.698910530752	1.03933906922	1.02226184188	0.78777192198	0.48513518475	0.993853491989	0.510925470333	0.748494970781	0.59986867393	0.875196575636	0.839318252861	0.830167358824	0.895058307022	0.881690335609	0.820667531143	0.693061281211	0.810586535196	0.855111904254	0.862705146329	0.861638738805	0.79141676009	0.66729143264	0.908495865287	0.478089565542	0.744234624835	0.583513517738	0.754016395167	0.86080019788	0.845802478992	0.450137811028	0.865944758955	0.688930231834	0.501630089292	0.851216120614	0.682807934982	0.887981231837	0.990903458191	0.867102829026	0.870411105034	0.73221707498	0.81284092066	0.720791187441
3AbPost2	0.431946320475	0.486163898505	0.804045824695	0.709293046826	0.454269480829	0.64209214203	0.49917337677	0.0	0.692195286382	0.801894880369	0.965938464864	0.787386276983	0.385521202563	0.572029473011	0.595467420638	0.423657427895	0.598143766949	1.02799093629	0.651855023402	0.72311022811	0.588703134631	0.812879317154	0.784773118634	0.432788125875	0.478507673565	0.723138749709	0.867182021027	0.923287821323	0.918977158471	0.975227067625	0.442307906288	0.497410141531	0.946716944442	0.90262626968	0.434857998381	0.526584897532	0.60842537946	0.666047719437	0.80977476786	0.931487811175	0.44407870847	0.782731706599	0.808956107477	0.884338910768	0.443380194209	0.552106593994	0.536640552562	0.61124655177	0.552452874679	0.832363343507	0.733522686168	0.455775690835	0.429876155667	0.809792264134	0.619179453644	0.814529861057	0.862606906408	0.498828938242	0.881285121523	0.913960343905	1.04599216611	0.926278804869	0.599364050377	0.79529198013	0.380561097456	0.965706404463	0.539217754997	0.395956285976	0.439876904268	0.959991718928	0.959494983306	0.547049354609	0.404326060059	0.967343441534	0.800437100154	0.617768764367	0.583463531062	0.823988197587	0.400696301627	0.681464382552	0.624676293818	0.803877740174	1.0188462889	0.902576732426	0.716692106574	0.630817215888	0.454429126837	0.807516953879	0.530018296149	0.452397986496	0.461396013442	0.805361461683	0.562542077435	0.718064330842	0.870688396787	0.751968512428	1.04651014132	0.821696513103	0.753805704415	0.79506741186	0.7863587552	0.375689754626	0.603079391355	0.473329059504	0.643516389004	0.756744786039	0.806550850433	1.01709541253	0.820472195825	0.549364677986	0.492880613699	0.795997929383	0.404782519152	0.919335686005	0.94002134267	0.624002403575	0.435079766688	0.949469753732	0.562188087543	1.00787580305	0.948679022591	0.764331602168	0.414692331729	0.941324750369	0.447522490766	0.677640697714	0.517356284762	0.832894601766	0.783860442831	0.775004122115	0.787352020475	0.81400740235	0.747277432027	0.582004623327	0.783880499517	0.8332206547	0.823842172805	0.812472121636	0.707205207895	0.583850436513	0.865454186776	0.432483094371	0.673382157652	0.536065610589	0.633775038229	0.822059022461	0.838139803614	0.377668681619	0.810605934967	0.669145074943	0.438624444293	0.804221016264	0.643457332818	0.843774630274	0.921276813411	0.826793263755	0.834559994489	0.547420732291	0.777975116181	0.568655778033
Nu1Mid1	0.603212073647	0.692089153054	1.07012813504	0.580106492381	0.523811868486	0.907740921467	0.779915435695	0.692195286382	0.0	1.06485291014	1.21005426286	1.05583180946	0.597312387475	0.797746689882	0.786893044466	0.635361373104	0.803777376466	1.23071838422	0.638062585563	0.95940974439	0.769051023986	1.08734778647	1.07382270685	0.637459928337	0.585533633364	0.747102092278	1.12755538609	1.14635080967	1.15065376628	1.20768151387	0.729350725226	0.60602038173	1.17330128904	1.14140650023	0.677095532722	0.697816560448	0.75324774639	0.927026927781	1.0730561343	1.16880900311	0.665627113485	1.05023245293	1.08225720392	1.14936785058	0.655026868654	0.559624365484	0.854617177042	0.85669349477	0.792405759475	1.10394268715	0.703246175589	0.734807937129	0.660094606602	1.07304076023	0.542494403912	1.08276125483	1.05804142282	0.604704366563	1.11049391794	1.19064329756	1.29211549481	1.15914590835	0.704767693951	1.07147122109	0.642075083647	1.21056185918	0.528050680815	0.661770750355	0.677871061506	1.16451011532	1.17145789826	0.767687297801	0.605999054865	1.19576566879	1.06868510942	0.673380772796	0.658950743446	1.03832901502	0.604452713927	0.8805037457	0.842035419218	1.07752404579	1.26435661056	1.13467595223	0.92564300542	0.921827758442	0.579548681394	1.07033599779	0.752898404537	0.67576805911	0.691337759551	1.07555640172	0.798701696975	0.965065423694	1.15331305323	0.858110854657	1.21683924528	1.07655693718	1.03950874762	1.06019399932	1.03897773754	0.734895316809	0.888171288759	0.712030114302	0.890712870352	1.04309055578	1.07991258673	1.2606885349	1.08247021497	0.765180099529	0.712868436352	1.07234002264	0.632073371758	1.15510603119	1.17166613713	0.860702395291	0.679196910279	1.19548529323	0.684662090929	1.22494936532	1.19381779605	1.05015337358	0.610988045717	1.16966118106	0.633812484757	0.63521057221	0.629084904274	1.09237621528	1.04558034413	1.04817936286	0.862716123779	0.697355829349	0.714320039713	0.657622478129	1.05345986675	1.0945474611	1.08187028036	1.07589536761	0.594456278347	0.496261807762	1.09664793258	0.621893126575	0.808840140377	0.831915996071	0.918551835296	1.08377062419	1.09420804002	0.589629326482	1.06666588009	0.911328354824	0.627297966644	1.05782752016	0.878278886292	0.977701718409	1.15138714873	1.05550038277	1.1049625567	0.873990367804	1.05015383566	0.810899116213
Nl17Ant1	0.845255784457	0.686318651976	0.228036908648	1.0407100172	0.893771847005	0.909997718272	0.848914995069	0.801894880369	1.06485291014	0.0	1.22556462319	0.285657529318	0.716298046961	0.737132565262	0.858334105294	0.73344330854	0.800414405456	1.14645080754	0.916360250783	0.406291472058	0.744630937259	0.602577487761	0.871946520485	0.702642768417	0.908047779321	1.1071687434	0.314610983802	1.05254159932	1.0568819905	1.12057373044	0.779524247471	0.894927364673	1.12133181886	1.11527181041	0.6648145343	0.968726434976	0.987248637565	1.12230379741	0.33336601718	1.18351998759	0.697662314963	0.249715266655	0.265122478494	0.624443886007	0.702968331649	0.931372693953	0.815626421344	0.940648137984	1.01509441004	0.420286031306	1.1257174909	0.82768518776	0.737564581556	0.273326797518	0.990282193951	0.251653436415	1.1161976469	0.861048530952	1.10001976947	0.743279001512	1.21291161554	1.16845516447	0.759425155732	0.289986752907	0.836954421929	1.22456510826	0.893931527929	0.775309018255	0.687310928472	1.06841531034	1.07848361801	0.798290871164	0.714461377338	1.10951689472	0.265372739096	1.01414231059	1.0139609968	0.940931758616	0.718070365161	0.953787047512	0.85475170275	0.316014708741	1.16354275459	1.05102656863	0.921144541084	0.554990368472	0.874830710906	0.250480142441	0.763679379611	0.705264918651	0.692317263026	0.296262618947	0.904076886632	0.902760389944	0.803964081049	1.09006450483	1.29505244277	0.298104417532	0.677558279828	0.40552493925	0.874296713141	0.650951542259	0.959865855649	0.80088157476	0.95406110983	0.69966264516	0.580122114151	1.1657726495	0.240438461851	0.902934563316	0.752340353873	0.279362542822	0.719850622394	1.08763446851	1.09449939366	0.83659619828	0.666501176414	1.20866542093	0.986639584728	1.12231536771	1.2054887905	0.708925188611	0.723744292278	1.11228133693	0.732517227873	1.02405996278	0.881755557336	0.278891844501	0.274907744341	0.319935592589	1.12844600929	1.05259294447	0.993365339839	0.937749470099	0.262355167085	0.31147828927	0.275408062922	0.263920460102	1.02771427839	0.96708838909	1.14008902368	0.715125864435	1.00511799381	0.707682699868	0.896466708383	0.256756806776	0.339874374859	0.704212357577	0.331588509854	0.927029267472	0.720680991626	0.291944323874	0.813264693923	0.94176747767	1.16699246984	0.95227464316	0.353812441594	1.02953076641	0.414028619473	0.987152377377
