	sequences per sample	iteration	13M1	7M1	1S	12P1	9M1	9S	12A2	3M2	12A1	3P2	7P2	11M	1A	MG1	8S	13S	Nl18Post1	Ao20Ant1	3Abpost1	Nl19Mid1	Nl18Mid2	Nl17Mid1	Nl19Esoph	Ao20Stomach	3AbMid2	Nl19Stomach	2M1	8A	2S	10P2	12M2	8M	7A2	Ax16Mid2	Nl18Ant1	Al11Mid1	Nl18Stomach	Nu15Post1	Zv6Mid1	Nl17Esoph	Ax16Ant1	Nu1post2	Al12Stomach	3M1	6P2	8P2	Nu15Stomach	Nu15Mid2	Nl19Post1	Zv6Ant2	Nl19Post2	Ao20Esophagus	At14Esophagus	3AbStomach	At4Mid2	U.Food.	Ax16Stomach	Nu1post3	Nl18Esoph	Nl8Mid2	Nl17Stomach	Ao20Post1	Ax16Post1	Zv6Post3	Zv6Post1	7A1	2A	10M1	At14Ant1	Zf5Post3	3AbAnt1	Nl8Ant2	Al12Post2	Zf5Stomach	Zv6Post2	Zv6Mid2	Zf5Post2	12M1	6M2	1P	6A	3A	9A	Nl8Esophagus	At14Post1	Nu15Esophagus	3P1	11P	11S	7P1	7S	8P1	13P2	10P1	Nl17Post2	9P1	9P2	Nl19Ant1	Nu15Mid1	13A2	11A	13M2	6S	13P1	10A2	12S	6M1	10M2	HG1	An10Stomach	Nu1post1	At4Post1	3AbPost2	At14Mid2	Nl17Ant1	Nl17Mid2	Ax16Post3	An10Mid	Nl17Post1	Nu1Ant12	3Abmid1	12P2	9M2	1M1	Al12Post3	Nl18Post2	Al11Ant1	Nu1Mid1	Zv6Stomach	Nl8Mid1	An9Post2	At4Post2	2P1	Nu15Ant1	An9Ant2	3AbPost3	Zv6Ant1	Al12Ant2	Al12Esophagus	Ax16Ant2	At14Ant2	At14Stomach	An10Ant1	Zf5Ant1	Nl18Mid1	Zf5Esophagus	Nl8Ant1	Zf5Mid2	Nl19Mid2	At14Mid1	Zf5Post1	Ct13Stomach	Zf5Ant2	At4Ant1	Ax16Post2	Nu1Ant1	Al11Esophagus	Nu15Post2	Al11Ant2
alpha_rarefaction_10_0.txt	10	0	4.93769	3.80965	3.88169	3.05783	3.86682	4.82645	5.05776	4.76118	3.29586	5.27445	5.20021	5.97353	3.47979	5.13663	3.34201	1.95126	5.96709	4.33177	2.42164	5.30383	5.03575	3.89788	4.67396	5.26611	3.08239	4.96302	4.28869	4.33639	2.84671	5.60182	4.7444	2.34273	3.65246	5.37627	3.68017	2.87979	4.9866	5.09517	3.13692	5.00696	1.83933	3.7829	3.05844	0.75202	3.47245	5.05496	4.75634	4.19131	4.40502	2.21563	4.0471	4.48918	4.70349	3.6918	2.14953	2.88143	5.697	4.73215	5.16264	3.22301	4.10735	4.10872	3.13076	2.18798	4.07178	1.05586	2.51821	1.28197	4.22438	4.52465	6.31814	2.66043	3.43878	4.50701	3.85296	2.31964	1.35846	1.28635	2.96514	6.13296	2.55717	2.52773	5.0935	2.9427	1.67798	3.64185	4.17331	1.41553	5.25254	4.23996	2.12019	5.43651	3.84201	5.89643	6.13279	5.18537	3.53107	5.99149	2.61416	2.78263	1.03666	1.65397	1.19122	0.91923	0.05741	0.7761	1.31764	2.11658	6.40045	2.36872	2.0551	4.55816	1.74377	5.60842	4.72181	4.45812	1.539	2.2815	4.82937	1.32888	1.92281	6.67355	3.53048	4.22238	3.61143	5.54753	4.03762	3.42066	1.96202	3.25235	3.69343	3.49298	4.28475	5.12821	3.30007	4.49478	4.41512	3.17009	2.27374	3.43127	5.76034	4.18531	2.82885	1.76813	2.75644	5.07821	1.51108	4.26501	2.20541	3.70643	2.44157	2.84526	3.75989	1.32937	3.94053	1.74216	2.41672	4.8271	2.95744
alpha_rarefaction_10_1.txt	10	1	4.8134	4.22474	5.60614	1.70562	4.66413	5.25255	5.88788	5.21987	3.01073	4.15597	5.89333	3.7314	2.21574	5.05602	3.18573	1.95179	4.98469	4.5618	2.14901	3.774	2.46629	3.63861	5.65322	4.4494	3.73699	5.23458	3.60753	3.00908	4.16089	4.39452	4.2956	3.52202	4.43576	6.19217	3.27368	4.18967	6.67121	5.8919	2.03317	4.38991	3.29036	5.05113	4.25351	2.10755	5.6895	5.20277	5.36796	6.08637	2.8756	3.34158	3.4048	5.55504	5.79203	2.67749	3.93874	0.02986	5.29508	4.64479	4.0822	3.35055	5.45374	4.87462	4.07293	3.02549	2.68423	1.75163	1.48762	1.73202	4.84819	5.37318	4.42999	2.0224	4.02727	4.18637	3.95596	2.86459	3.58878	2.30892	1.92393	2.89319	2.737	2.44672	4.89309	2.74258	3.87613	4.37052	3.72072	1.47417	2.42395	3.8848	1.78961	5.0633	3.93817	4.57142	5.37402	5.20447	3.22474	3.61833	2.72608	0.76429	1.74573	0.55352	1.82233	2.12963	1.15587	0.35254	2.04015	3.47101	4.14684	2.87123	3.47743	4.99438	1.36471	4.69213	3.86325	4.91013	2.13595	1.21872	5.31653	1.82268	2.15736	6.51947	2.3213	3.73891	3.52872	5.02344	4.19777	3.06449	1.8859	4.05973	3.27322	3.42114	5.17113	6.32013	2.31445	3.42923	4.91679	2.10477	3.40096	2.86403	3.74229	3.73656	1.97141	0.77194	3.34286	3.58502	2.53284	3.75108	2.75187	4.04896	3.6536	2.21228	1.64119	2.1836	5.25681	2.36321	2.70215	4.10965	3.96193
alpha_rarefaction_10_2.txt	10	2	5.11299	4.69553	3.37746	3.32517	5.11319	3.69128	4.11692	5.75641	3.53856	4.79814	5.52061	5.15973	3.01039	4.76663	3.41322	2.41139	5.59359	4.42292	3.77363	4.36032	3.06013	3.16438	6.69697	4.25794	5.20071	6.10351	3.05762	5.28555	4.64124	2.85083	2.81598	3.20373	3.14393	4.16836	3.81529	2.19098	4.67709	7.86084	2.52868	3.88923	1.64017	6.34124	2.79042	0.90714	5.26915	7.17838	5.06135	4.26681	2.13454	1.03709	5.33942	3.86857	4.24424	2.7894	3.18092	2.85315	5.56734	3.71772	5.30783	1.39432	4.08266	5.58342	3.66516	4.87966	2.4846	2.3923	0.81139	2.21546	5.80497	4.2458	4.12826	2.43485	4.38061	4.91876	3.28841	3.0807	2.77639	1.98385	2.1812	3.93119	2.48309	1.72878	6.37184	3.83071	4.41342	4.44826	3.58006	0.93567	3.22405	4.59849	1.31553	4.33391	6.01806	3.73671	5.18218	5.01282	2.47864	2.4924	2.79881	1.864	1.10898	2.0558	1.44691	1.7662	0.02986	1.70697	2.41736	2.5129	3.78684	2.60547	3.25804	3.40326	1.55149	5.44039	4.49743	3.18777	2.08963	3.75302	4.68698	2.11192	1.88728	6.52448	2.12792	2.70522	2.72752	5.4617	3.86162	2.12483	2.34196	3.15067	2.62472	4.30444	2.72639	4.6569	2.22026	4.72341	3.52651	1.90212	3.36568	4.52912	3.98768	5.70119	1.08514	2.00673	2.97478	4.18796	1.35542	1.98201	4.33222	4.14344	3.62653	2.04504	1.41032	1.10555	4.59794	1.94931	2.13192	5.80246	2.77523
alpha_rarefaction_10_3.txt	10	3	4.83455	4.80116	3.78008	1.11563	4.83086	5.06191	4.59591	4.78982	0.93567	4.38025	5.27061	5.15962	1.99007	5.54341	4.08014	2.53022	3.85424	5.1749	3.08947	6.07391	3.57908	3.60967	4.93437	4.02675	5.03692	4.98504	4.84212	4.79412	2.14843	3.28562	3.41661	3.29732	3.72883	3.60742	4.10284	3.26045	5.45918	3.69175	2.73206	3.55889	3.07944	6.27472	2.18638	1.70291	4.74134	4.78985	5.70612	4.24254	4.84622	3.94014	4.26416	6.06622	5.02225	3.79318	3.10887	3.11169	4.5315	4.97544	6.54289	1.96162	4.55356	3.97433	2.77228	4.40486	2.50532	1.16977	1.66222	1.59727	4.24698	4.46875	6.00794	1.41893	3.05115	4.10721	3.82582	2.45642	3.16224	3.47193	2.3714	3.70096	2.44665	1.72801	3.11205	3.19056	4.30624	4.18835	4.03099	1.20119	4.00387	2.97552	2.05596	5.0431	4.88506	5.87311	3.6505	4.82092	4.09964	4.03756	1.82662	4.09916	1.43159	1.02344	0.83999	0.05741	0.02986	1.27554	2.80109	2.27412	2.98298	2.58723	2.28392	3.99077	1.11354	5.34305	4.9633	4.77641	2.89042	2.25498	6.88339	1.9408	1.62115	7.50206	1.89766	3.02499	2.77431	5.62716	3.32031	2.14014	1.72287	3.61671	3.25611	3.66401	4.09953	5.04089	1.87911	4.4625	3.58499	1.67422	1.81241	1.87397	4.25786	6.22665	2.22204	1.2831	3.84154	3.08308	1.4755	3.14089	3.73872	4.28006	4.49882	2.4394	3.918	3.07278	4.43143	1.4336	2.05403	3.42205	3.63533
alpha_rarefaction_10_4.txt	10	4	5.51737	5.07281	2.64554	2.29616	5.98288	4.56506	4.86908	4.7201	2.48169	6.26005	4.05936	4.36186	4.09396	4.39088	3.0352	2.48945	3.47561	4.72318	2.32151	4.98309	4.11664	2.77371	3.4211	4.10005	4.71697	6.77179	3.25238	2.3185	3.86199	4.7012	4.44505	2.66054	2.79435	5.83	3.61601	2.63706	4.94918	5.8942	4.63966	4.77041	0.51838	5.0158	1.98946	0.7761	5.06108	4.45172	4.99337	4.67643	3.72785	3.02738	4.94388	6.05931	3.21704	3.204	3.45154	2.39804	3.5109	6.03897	4.29976	1.98161	4.90934	5.25401	4.22135	2.64157	1.93868	1.3576	1.69454	2.25821	3.83291	3.30753	3.78799	2.66142	3.06806	2.39291	5.49736	2.98972	2.28235	2.21841	1.45336	4.29237	1.5366	1.40801	2.29178	3.44388	2.30628	4.06493	4.57904	1.17364	1.70538	2.71684	0.05741	4.89054	4.39226	3.10872	5.76889	5.27517	3.13213	5.65757	2.37501	2.56776	1.75224	1.00988	3.42814	0.86489	1.69335	1.16418	1.50327	0.66031	3.68147	1.48589	2.33777	4.58456	1.96657	5.18553	4.1171	4.10725	1.47982	2.67306	5.21301	0.83503	1.62115	6.19479	2.15752	2.8253	3.42113	5.26236	2.91695	3.47456	2.00769	3.22143	3.48775	4.46139	5.58035	4.61788	2.46188	4.73724	5.34817	1.82713	1.97329	2.04052	4.60043	2.90368	1.07804	0.90762	2.48375	4.27162	2.20745	5.0295	3.36311	4.04691	4.38283	1.99183	2.6336	2.72142	3.97502	2.39809	3.36208	5.51453	3.97953
alpha_rarefaction_10_5.txt	10	5	5.63996	3.54792	4.9309	2.27715	3.41785	4.73076	6.20862	5.9407	1.06535	6.49415	5.18445	6.36562	2.58964	5.54612	2.61165	1.24118	5.74107	5.01783	2.07988	4.17125	4.75779	5.1446	4.32523	4.64135	2.8796	5.66074	2.86694	3.71557	6.13449	4.62248	4.9924	2.05905	2.27248	5.42564	4.15921	2.20367	4.27778	5.81023	1.97263	4.70236	1.86206	4.65029	1.56293	1.25094	5.59824	4.25104	5.38746	3.59658	4.33518	3.99102	4.58771	5.60809	4.68573	3.17477	2.23187	3.99916	6.36189	4.03115	5.62768	2.55592	4.23309	5.07374	4.74548	2.2389	1.532	1.36587	1.76063	2.603	4.01451	3.38599	4.5238	1.09835	2.474	4.26568	4.17531	3.3997	1.69293	1.97637	1.65104	5.24433	3.33905	1.70697	5.29055	4.33104	3.72548	4.7276	3.24278	1.51933	3.31984	3.99924	1.55108	4.38838	4.17753	5.14494	5.61601	4.87265	3.09495	5.06398	2.1168	2.66675	1.22167	0.29397	0.80365	1.3287	0.7761	0.03011	2.75762	1.91095	3.88708	1.68354	2.44472	2.51494	2.28602	6.03184	5.63307	5.02192	1.48947	2.57618	5.42801	2.2773	1.73289	6.1184	2.28572	3.40889	2.9761	5.12058	4.06203	2.13748	2.47492	2.38083	2.8245	2.65273	4.39839	5.09217	1.69087	4.02207	2.48258	2.50032	1.75226	2.6163	3.1689	4.94071	1.2737	0.99742	1.75062	2.4708	3.02244	3.20137	3.58223	3.37943	2.33769	1.73973	2.601	3.80338	3.54312	3.61919	3.89565	5.22257	3.67378
alpha_rarefaction_10_6.txt	10	6	3.19757	5.34533	3.27545	1.57564	3.43742	4.71971	5.34293	6.29837	1.02344	4.63668	5.73821	4.94712	2.31268	5.80663	1.85263	2.9139	3.80758	4.43116	2.40793	3.05694	4.85785	1.5454	3.18348	5.98203	4.95959	5.16404	4.44643	4.42009	3.68745	4.12399	4.54169	1.9389	2.76929	4.66342	5.18865	4.32153	5.03386	4.51113	1.92872	4.57352	1.92637	5.85166	2.83124	2.23054	3.9307	4.67882	5.26016	4.07674	4.16145	2.34694	7.04506	5.48238	4.33735	4.02025	2.25198	2.21462	4.51298	3.7695	5.35496	2.2117	3.73046	4.24471	2.71979	3.22756	2.09325	1.47508	1.90659	2.33003	4.95412	4.34292	6.0566	1.20546	4.51773	3.45334	4.00668	3.7714	2.48595	0.9199	4.2077	6.5981	1.48537	2.51506	4.3944	3.46626	1.77695	4.32876	3.4508	2.04761	2.51806	3.30847	1.9173	5.13944	5.91959	4.96088	6.11544	4.47439	2.85503	3.23922	1.77798	1.92187	1.29581	2.7977	2.21887	3.15336	0.02986	1.17364	2.29933	3.09064	4.14916	2.30794	2.27201	3.34646	0.99944	6.07636	4.79094	2.98693	2.34762	1.93044	5.0213	1.30661	2.36008	5.45266	4.05266	4.33861	2.44051	5.1674	3.89727	3.2838	2.188	3.36803	3.36274	2.8835	4.8552	3.01871	1.37927	4.01665	5.01071	2.87456	3.20556	4.12904	4.82184	4.48448	2.34768	1.72142	3.48595	3.54521	1.22723	4.17663	4.29943	6.08311	4.61336	1.45815	3.03511	3.58349	5.67319	2.2671	2.68162	6.17603	3.19796
alpha_rarefaction_10_7.txt	10	7	4.74085	5.6137	3.97864	1.39864	4.1455	3.98499	5.30221	5.23211	1.24196	5.03625	3.85401	6.63208	2.30004	5.38833	3.4047	1.60872	6.1413	4.5508	1.26232	4.09302	4.1746	2.55449	4.85613	3.50086	4.15785	6.30568	3.14906	2.94365	3.79989	3.74062	3.93222	2.89562	1.17303	5.2031	5.63141	3.56776	4.05979	6.73263	3.95419	5.22304	2.2356	5.49491	2.50208	2.26741	4.50864	4.90649	5.34187	4.70225	5.06582	2.89888	4.31924	6.3112	4.57193	3.0361	3.16883	2.73601	6.29692	5.54206	4.03946	1.59652	2.75614	4.13497	4.55506	3.86312	2.76547	3.55522	0.65789	2.928	6.11513	3.02877	4.51892	1.87958	2.64759	4.71281	3.47222	3.72292	2.18056	2.49532	3.11724	5.07232	3.29367	0.94205	3.8921	3.60803	4.09841	4.50401	3.61526	0.05741	3.59873	3.63852	0.16577	4.61455	3.93386	6.3848	5.95604	4.30292	3.27985	4.07531	0.9169	1.08695	0.65789	1.02344	0.80906	0.82611	2.84363	1.10898	2.34383	1.25106	2.13203	2.11767	2.46213	3.48281	0.65787	4.75428	4.69708	5.08779	2.4579	1.2604	4.88908	1.27061	1.88728	6.38714	3.06933	4.33257	3.75006	5.34641	2.8298	2.15637	1.59222	3.31216	3.03368	2.28089	6.02469	4.31493	2.40085	4.21941	4.10032	1.87246	2.93085	2.32087	3.35975	5.58555	1.73001	0.70904	2.67068	3.41304	2.86509	4.16787	3.72036	4.80101	2.87705	1.00579	3.44874	3.30044	5.23708	0.85523	3.95248	5.0459	4.13941
alpha_rarefaction_10_8.txt	10	8	4.34079	4.00771	3.119	2.22571	4.43335	3.76793	5.26876	5.73217	1.70792	4.14912	4.48764	4.52516	1.35687	4.60277	3.20529	2.04448	4.71897	4.68045	3.16084	5.0526	5.04461	2.78809	4.04898	4.63627	5.28105	6.05857	2.23459	4.39584	3.88371	4.68143	4.7448	3.12163	3.55639	4.91985	6.01266	3.20204	4.56705	5.83896	2.69629	4.59791	3.11976	4.36033	2.33058	1.46758	5.66059	4.6426	2.84345	5.08398	3.40037	2.12031	6.28441	6.19448	4.40851	2.54085	2.68212	2.35208	5.98795	5.62799	4.75685	2.96133	3.97306	5.29608	3.14754	2.2926	2.80387	1.29581	1.77272	1.37901	5.20826	5.07069	4.30065	0.59265	1.77683	3.82619	4.58284	3.04886	2.73123	1.82619	2.67621	4.77478	1.53764	3.0524	3.39623	3.69488	3.88409	5.70875	3.4384	0.67864	3.57014	4.49958	1.17364	4.12606	4.57941	4.17867	4.15099	3.38514	3.97763	4.23546	2.40612	2.82482	0.65409	1.25291	0.80365	1.2286	1.30608	0.55312	1.66672	2.22651	2.3212	2.72135	0.90984	3.64335	2.97589	4.77259	3.91579	4.36805	3.12877	1.82392	5.01369	1.23239	1.88728	5.6483	3.04389	3.59018	3.68673	4.22381	4.13658	2.61451	2.03079	3.39713	2.8815	3.7243	5.16886	3.96575	3.05164	4.78466	4.52471	3.29366	3.09893	2.60015	4.23078	4.63471	2.83948	1.58259	0.88267	4.34275	3.19635	3.22285	2.26383	3.64365	4.03764	1.6631	1.69109	2.58213	4.57712	2.2416	2.49548	4.26457	3.18935
alpha_rarefaction_10_9.txt	10	9	6.08081	4.42072	5.19374	1.49193	3.6378	3.69491	5.18128	4.4546	2.05158	3.99416	4.1262	4.37741	1.06513	6.67332	2.93191	2.69877	5.58783	4.3524	2.52875	4.31188	3.8546	2.3772	6.15299	4.07962	4.4566	5.36397	2.98566	4.54273	3.11261	3.31707	4.69479	2.00504	2.93846	3.41073	2.87976	4.11582	5.63727	4.48017	2.29499	4.79249	2.9274	3.83483	2.3556	2.8525	4.74339	5.04601	4.26291	4.93709	2.96029	2.57999	5.21814	4.02942	2.58286	3.62647	3.00573	3.48792	4.40214	5.15265	5.79481	2.09251	4.82452	5.11616	4.36734	2.45379	4.12312	2.33651	2.16723	1.5145	4.14648	3.80588	6.91172	1.82193	2.5319	3.51824	4.50511	0.83552	2.76878	2.91869	3.97741	3.84147	2.06532	2.08129	5.1174	2.63578	2.46025	3.70015	4.11264	2.16027	2.35965	3.99924	1.74248	5.10233	4.43594	3.60142	6.21227	5.47133	4.65718	5.47676	3.18605	1.17769	1.19947	1.87277	1.27861	1.55572	0.96424	1.37227	0.05741	2.62345	4.19276	1.19415	3.7806	4.17206	1.95314	3.12307	4.5156	2.984	1.35052	1.39798	5.4511	1.32181	1.88374	5.86366	2.69678	3.56803	1.85979	5.46047	3.63991	2.99628	1.60816	2.95386	2.57964	4.18718	4.46942	3.57042	2.47689	5.68193	3.74201	2.32783	1.4759	4.66339	5.45671	4.6439	2.44666	0.55191	1.83405	4.43568	1.86413	2.64938	3.48105	4.78415	2.98618	2.05018	1.50903	2.57595	5.21816	1.26002	1.50879	3.7855	2.81465
