# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
anterior vs. anterior	posterior vs. posterior	-1.92487206261	0.194122550547	1	0.251	1.000
anterior vs. anterior	anterior vs. middle	-8.59955163993	0.0736984148601	1	0.312	1.000
anterior vs. anterior	anterior vs. posterior	-3.89120376523	0.0115109375509	0.690656253051	0.126	1.000
anterior vs. anterior	anterior vs. stomach	-10.293785717	0.0616516010137	1	0.344	1.000
anterior vs. anterior	anterior vs. esophagus	-9.23054678208	0.068700866838	1	0.341	1.000
anterior vs. anterior	middle vs. posterior	-0.96816671851	0.435098747953	1	0.518	1.000
anterior vs. anterior	middle vs. stomach	N/A	N/A	N/A	N/A	N/A
anterior vs. anterior	middle vs. esophagus	N/A	N/A	N/A	N/A	N/A
anterior vs. anterior	posterior vs. stomach	-0.8222209363	0.497377829888	1	0.480	1.000
anterior vs. anterior	posterior vs. esophagus	-0.828948559288	0.494313727446	1	0.423	1.000
anterior vs. anterior	stomach vs. esophagus	N/A	N/A	N/A	N/A	N/A
posterior vs. posterior	anterior vs. middle	-0.553599264887	0.618439183879	1	0.900	1.000
posterior vs. posterior	anterior vs. posterior	-0.171463993926	0.868710360266	1	0.855	1.000
posterior vs. posterior	anterior vs. stomach	-0.693727872518	0.53774243963	1	0.902	1.000
posterior vs. posterior	anterior vs. esophagus	-0.509257098697	0.645666241504	1	0.900	1.000
posterior vs. posterior	middle vs. posterior	0.750788378178	0.49453403292	1	0.499	1.000
posterior vs. posterior	middle vs. stomach	1.96252179189	0.188700537811	1	0.264	1.000
posterior vs. posterior	middle vs. esophagus	1.65109887088	0.240512965238	1	0.235	1.000
posterior vs. posterior	posterior vs. stomach	0.851442285694	0.442495780935	1	0.480	1.000
posterior vs. posterior	posterior vs. esophagus	0.979909899333	0.382613017333	1	0.284	1.000
posterior vs. posterior	stomach vs. esophagus	1.83528833863	0.207888000574	1	0.266	1.000
anterior vs. middle	anterior vs. posterior	0.797521099129	0.455542595609	1	0.488	1.000
anterior vs. middle	anterior vs. stomach	-0.443194602029	0.70095494626	1	0.610	1.000
anterior vs. middle	anterior vs. esophagus	0.143092427074	0.899332365897	1	0.639	1.000
anterior vs. middle	middle vs. posterior	1.13537852561	0.338719533403	1	0.393	1.000
anterior vs. middle	middle vs. stomach	8.74107249296	0.0725155910125	1	0.332	1.000
anterior vs. middle	middle vs. esophagus	7.57047078415	0.0836084601869	1	0.355	1.000
anterior vs. middle	posterior vs. stomach	1.18650334412	0.320824797241	1	0.394	1.000
