# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
middle vs. middle	posterior vs. posterior	N/A	N/A	N/A	N/A	N/A
middle vs. middle	anterior vs. middle	-0.810625382669	0.566343309095	1	0.647	1.000
middle vs. middle	anterior vs. posterior	-1.14940062775	0.455820863646	1	0.677	1.000
middle vs. middle	anterior vs. stomach	N/A	N/A	N/A	N/A	N/A
middle vs. middle	anterior vs. esophagus	N/A	N/A	N/A	N/A	N/A
middle vs. middle	middle vs. posterior	-0.936986113075	0.417887390967	1	0.443	1.000
middle vs. middle	middle vs. stomach	-0.162960603301	0.897160043962	1	1.000	1.000
middle vs. middle	middle vs. esophagus	-0.246112553377	0.846373108742	1	1.000	1.000
middle vs. middle	posterior vs. stomach	-0.998627202118	0.500437275214	1	0.647	1.000
middle vs. middle	posterior vs. esophagus	-0.982875644233	0.505497789278	1	0.666	1.000
middle vs. middle	stomach vs. esophagus	N/A	N/A	N/A	N/A	N/A
posterior vs. posterior	anterior vs. middle	1.92828838946	0.304566800832	1	0.318	1.000
posterior vs. posterior	anterior vs. posterior	-0.60820683593	0.652130523332	1	0.669	1.000
posterior vs. posterior	anterior vs. stomach	N/A	N/A	N/A	N/A	N/A
posterior vs. posterior	anterior vs. esophagus	N/A	N/A	N/A	N/A	N/A
posterior vs. posterior	middle vs. posterior	-0.204292980715	0.851198785054	1	0.832	1.000
posterior vs. posterior	middle vs. stomach	2.91485179153	0.210395425226	1	0.312	1.000
posterior vs. posterior	middle vs. esophagus	3.42792030111	0.180701445308	1	0.342	1.000
posterior vs. posterior	posterior vs. stomach	-0.482610826142	0.713750447411	1	1.000	1.000
posterior vs. posterior	posterior vs. esophagus	-0.422620905805	0.745445159318	1	1.000	1.000
posterior vs. posterior	stomach vs. esophagus	N/A	N/A	N/A	N/A	N/A
anterior vs. middle	anterior vs. posterior	-1.68088937851	0.234803520355	1	0.372	1.000
anterior vs. middle	anterior vs. stomach	0.653488184934	0.631509537766	1	0.683	1.000
anterior vs. middle	anterior vs. esophagus	1.67094606027	0.34332194793	1	0.674	1.000
anterior vs. middle	middle vs. posterior	-1.06299870724	0.34769839291	1	0.254	1.000
anterior vs. middle	middle vs. stomach	0.861235812948	0.479872320069	1	0.664	1.000
anterior vs. middle	middle vs. esophagus	0.870895955491	0.475635904549	1	0.665	1.000
anterior vs. middle	posterior vs. stomach	-1.43981799058	0.28657824728	1	0.337	1.000
anterior vs. middle	posterior vs. esophagus	-1.38647878106	0.299929903063	1	0.375	1.000
anterior vs. middle	stomach vs. esophagus	0.702217104459	0.610253478344	1	0.640	1.000
anterior vs. posterior	anterior vs. stomach	1.11835121073	0.464469313083	1	0.679	1.000
anterior vs. posterior	anterior vs. esophagus	1.31939510309	0.412881424762	1	0.663	1.000
