# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
middle vs. middle	posterior vs. posterior	N/A	N/A	N/A	N/A	N/A
middle vs. middle	anterior vs. middle	-1.52238081943	0.369994950849	1	0.653	1.000
middle vs. middle	anterior vs. posterior	-0.628040261122	0.642994719141	1	0.642	1.000
middle vs. middle	anterior vs. stomach	N/A	N/A	N/A	N/A	N/A
middle vs. middle	anterior vs. esophagus	N/A	N/A	N/A	N/A	N/A
middle vs. middle	middle vs. posterior	-0.960419753441	0.407694481431	1	0.435	1.000
middle vs. middle	middle vs. stomach	-0.458359190925	0.726391232116	1	1.000	1.000
middle vs. middle	middle vs. esophagus	-3.46163948797	0.179033026396	1	0.304	1.000
middle vs. middle	posterior vs. stomach	-0.59772073817	0.657026262475	1	0.667	1.000
middle vs. middle	posterior vs. esophagus	-0.700033837031	0.611185318537	1	0.684	1.000
middle vs. middle	stomach vs. esophagus	N/A	N/A	N/A	N/A	N/A
posterior vs. posterior	anterior vs. middle	9.27403147137	0.0683812154505	1	0.336	1.000
posterior vs. posterior	anterior vs. posterior	0.605155094055	0.653550634113	1	0.689	1.000
posterior vs. posterior	anterior vs. stomach	N/A	N/A	N/A	N/A	N/A
posterior vs. posterior	anterior vs. esophagus	N/A	N/A	N/A	N/A	N/A
posterior vs. posterior	middle vs. posterior	0.990012764416	0.395152563782	1	0.441	1.000
posterior vs. posterior	middle vs. stomach	8.36023557137	0.0757884663553	1	0.336	1.000
posterior vs. posterior	middle vs. esophagus	19.5627828744	0.0325140931745	1	0.335	1.000
posterior vs. posterior	posterior vs. stomach	0.628471821061	0.642797731633	1	0.659	1.000
posterior vs. posterior	posterior vs. esophagus	0.619461829866	0.646926284916	1	0.682	1.000
posterior vs. posterior	stomach vs. esophagus	N/A	N/A	N/A	N/A	N/A
