	13M1	2S	10P2	10P1	2P1	13S	6P2	10M1	10M2	6A	13P2	2M1
13M1	0.0	0.975298587056	1.27440873813	1.24629727138	1.27371073428	0.910223480384	1.28465703169	0.793023482874	0.85943169161	0.741918729075	1.24716606396	0.686690925429
2S	0.975298587056	0.0	0.971009735411	0.956440230704	1.00639413294	0.602615157819	0.996080554222	0.579935139713	0.579341483084	0.647460291121	0.952195455225	0.685051663923
10P2	1.27440873813	0.971009735411	0.0	0.327354736364	0.427979163636	1.06752861403	0.348137927273	1.06136821553	0.959427856746	1.13055225847	0.421080872727	1.11930049885
10P1	1.24629727138	0.956440230704	0.327354736364	0.0	0.319040554545	1.05341413811	0.313103609091	1.04937883541	0.937740265539	1.1160449121	0.342501263636	1.09598565596
2P1	1.27371073428	1.00639413294	0.427979163636	0.319040554545	0.0	1.08716771225	0.359187581818	1.08937033176	0.978150049648	1.1495884218	0.364031509091	1.12596649827
13S	0.910223480384	0.602615157819	1.06752861403	1.05341413811	1.08716771225	0.0	1.08435081918	0.390805068493	0.438263001325	0.54546903006	1.03877399535	0.611691833173
6P2	1.28465703169	0.996080554222	0.348137927273	0.313103609091	0.359187581818	1.08435081918	0.0	1.0871538142	0.976277901133	1.14677148396	0.370143509091	1.13460845911
10M1	0.793023482874	0.579935139713	1.06136821553	1.04937883541	1.08937033176	0.390805068493	1.0871538142	0.0	0.390286223025	0.430188508143	1.03676216247	0.494097318833
10M2	0.85943169161	0.579341483084	0.959427856746	0.937740265539	0.978150049648	0.438263001325	0.976277901133	0.390286223025	0.0	0.527866219398	0.931915613318	0.51757944495
6A	0.741918729075	0.647460291121	1.13055225847	1.1160449121	1.1495884218	0.54546903006	1.14677148396	0.430188508143	0.527866219398	0.0	1.10981139056	0.474647769337
13P2	1.24716606396	0.952195455225	0.421080872727	0.342501263636	0.364031509091	1.03877399535	0.370143509091	1.03676216247	0.931915613318	1.10981139056	0.0	1.09997299333
2M1	0.686690925429	0.685051663923	1.11930049885	1.09598565596	1.12596649827	0.611691833173	1.13460845911	0.494097318833	0.51757944495	0.474647769337	1.09997299333	0.0
