	13M1	2S	Nu15Mid2	Nu15Mid1	10P2	10P1	2P1	13S	6P2	10M1	10M2	Nu15Post1	Nu15Post2	6A	13P2	Nu15Stomach	Nu15Ant1	Nu15Esophagus	2M1
13M1	0.0	0.975298587056	1.18905968622	1.20087600372	1.27440873813	1.24629727138	1.27371073428	0.910223480384	1.28465703169	0.793023482874	0.85943169161	1.33138127568	1.15727838292	0.741918729075	1.24716606396	1.11768683466	1.13460482228	1.15456225714	0.686690925429
2S	0.975298587056	0.0	0.820019688845	0.83601910389	0.971009735411	0.956440230704	1.00639413294	0.602615157819	0.996080554222	0.579935139713	0.579341483084	1.01725033112	0.836898257028	0.647460291121	0.952195455225	0.747493193458	0.812047448227	0.841085477371	0.685051663923
Nu15Mid2	1.18905968622	0.820019688845	0.0	0.411913274112	0.993514402864	0.983321046387	1.01520581652	0.743967205178	1.02227730936	0.811484646144	0.722785028347	0.975418072407	0.43592350219	0.941886159203	0.986152490776	0.403270666152	0.467978836996	0.492151231171	0.928633950444
Nu15Mid1	1.20087600372	0.83601910389	0.411913274112	0.0	0.989302999154	0.975618617548	1.01798022918	0.793767468026	1.01682483848	0.841594218668	0.76956704313	0.98498933843	0.512917144109	0.895202410068	0.980237736152	0.487139341098	0.536483432567	0.524273811532	0.968195808181
10P2	1.27440873813	0.971009735411	0.993514402864	0.989302999154	0.0	0.327354736364	0.427979163636	1.06752861403	0.348137927273	1.06136821553	0.959427856746	0.430853210793	1.02064440737	1.13055225847	0.421080872727	1.01495771974	1.02208754182	1.01669155351	1.11930049885
10P1	1.24629727138	0.956440230704	0.983321046387	0.975618617548	0.327354736364	0.0	0.319040554545	1.05341413811	0.313103609091	1.04937883541	0.937740265539	0.527205362848	1.00742951389	1.1160449121	0.342501263636	1.00531512773	1.00401382171	1.01250299946	1.09598565596
2P1	1.27371073428	1.00639413294	1.01520581652	1.01798022918	0.427979163636	0.319040554545	0.0	1.08716771225	0.359187581818	1.08937033176	0.978150049648	0.605058050062	1.04353345568	1.1495884218	0.364031509091	1.04747277943	1.05048907969	1.04748295849	1.12596649827
13S	0.910223480384	0.602615157819	0.743967205178	0.793767468026	1.06752861403	1.05341413811	1.08716771225	0.0	1.08435081918	0.390805068493	0.438263001325	1.07909431963	0.731607087309	0.54546903006	1.03877399535	0.676132330025	0.720451695494	0.681979762557	0.611691833173
6P2	1.28465703169	0.996080554222	1.02227730936	1.01682483848	0.348137927273	0.313103609091	0.359187581818	1.08435081918	0.0	1.0871538142	0.976277901133	0.498176605895	1.04786794439	1.14677148396	0.370143509091	1.04289735996	1.04931798651	1.04844182632	1.13460845911
10M1	0.793023482874	0.579935139713	0.811484646144	0.841594218668	1.06136821553	1.04937883541	1.08937033176	0.390805068493	1.0871538142	0.0	0.390286223025	1.09031847489	0.827619250732	0.430188508143	1.03676216247	0.765273963621	0.792860778438	0.780762073059	0.494097318833
10M2	0.85943169161	0.579341483084	0.722785028347	0.76956704313	0.959427856746	0.937740265539	0.978150049648	0.438263001325	0.976277901133	0.390286223025	0.0	0.994188299508	0.761779764678	0.527866219398	0.931915613318	0.727455740773	0.746713213586	0.744408967679	0.51757944495
Nu15Post1	1.33138127568	1.01725033112	0.975418072407	0.98498933843	0.430853210793	0.527205362848	0.605058050062	1.07909431963	0.498176605895	1.09031847489	0.994188299508	0.0	1.05242900353	1.1756378288	0.584292924367	1.02572507531	1.03798731138	1.0319870137	1.1691382329
Nu15Post2	1.15727838292	0.836898257028	0.43592350219	0.512917144109	1.02064440737	1.00742951389	1.04353345568	0.731607087309	1.04786794439	0.827619250732	0.761779764678	1.05242900353	0.0	0.921561115709	1.02056477654	0.422554021929	0.43824141184	0.471466902756	0.927410750071
6A	0.741918729075	0.647460291121	0.941886159203	0.895202410068	1.13055225847	1.1160449121	1.1495884218	0.54546903006	1.14677148396	0.430188508143	0.527866219398	1.1756378288	0.921561115709	0.0	1.10981139056	0.85706446474	0.891614988733	0.905225277303	0.474647769337
13P2	1.24716606396	0.952195455225	0.986152490776	0.980237736152	0.421080872727	0.342501263636	0.364031509091	1.03877399535	0.370143509091	1.03676216247	0.931915613318	0.584292924367	1.02056477654	1.10981139056	0.0	1.01369628411	1.01782851245	1.01053151756	1.09997299333
Nu15Stomach	1.11768683466	0.747493193458	0.403270666152	0.487139341098	1.01495771974	1.00531512773	1.04747277943	0.676132330025	1.04289735996	0.765273963621	0.727455740773	1.02572507531	0.422554021929	0.85706446474	1.01369628411	0.0	0.420896858823	0.427484273721	0.883741332341
Nu15Ant1	1.13460482228	0.812047448227	0.467978836996	0.536483432567	1.02208754182	1.00401382171	1.05048907969	0.720451695494	1.04931798651	0.792860778438	0.746713213586	1.03798731138	0.43824141184	0.891614988733	1.01782851245	0.420896858823	0.0	0.467166743916	0.901490140396
Nu15Esophagus	1.15456225714	0.841085477371	0.492151231171	0.524273811532	1.01669155351	1.01250299946	1.04748295849	0.681979762557	1.04844182632	0.780762073059	0.744408967679	1.0319870137	0.471466902756	0.905225277303	1.01053151756	0.427484273721	0.467166743916	0.0	0.908657375763
2M1	0.686690925429	0.685051663923	0.928633950444	0.968195808181	1.11930049885	1.09598565596	1.12596649827	0.611691833173	1.13460845911	0.494097318833	0.51757944495	1.1691382329	0.927410750071	0.474647769337	1.09997299333	0.883741332341	0.901490140396	0.908657375763	0.0
