# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
anterior vs. anterior	middle vs. middle	0.00380419666561	0.996985700517	1	0.999	1.000
anterior vs. anterior	posterior vs. posterior	0.579537583834	0.567860326338	1	0.567	1.000
anterior vs. anterior	stomach vs. stomach	1.62071762277	0.133365752553	1	0.149	1.000
anterior vs. anterior	esophagus vs. esophagus	1.40886984083	0.18069565006	1	0.179	1.000
anterior vs. anterior	anterior vs. middle	0.520474957636	0.605125188634	1	0.587	1.000
anterior vs. anterior	anterior vs. posterior	-0.435218528599	0.665865828196	1	0.686	1.000
anterior vs. anterior	anterior vs. stomach	1.02092451024	0.317909380249	1	0.319	1.000
anterior vs. anterior	anterior vs. esophagus	1.37475154197	0.18011122392	1	0.176	1.000
anterior vs. anterior	middle vs. posterior	-0.734069921223	0.465968632399	1	0.484	1.000
anterior vs. anterior	middle vs. stomach	0.550757785523	0.585624618391	1	0.608	1.000
anterior vs. anterior	middle vs. esophagus	0.978162981276	0.333872907138	1	0.353	1.000
anterior vs. anterior	posterior vs. stomach	0.265870528064	0.792435874797	1	0.773	1.000
anterior vs. anterior	posterior vs. esophagus	-0.273026344696	0.786587294066	1	0.795	1.000
anterior vs. anterior	stomach vs. esophagus	2.05444948796	0.0532336069236	1	0.054	1.000
middle vs. middle	posterior vs. posterior	0.666554708156	0.508790330905	1	0.486	1.000
middle vs. middle	stomach vs. stomach	1.21308325886	0.234886959149	1	0.254	1.000
middle vs. middle	esophagus vs. esophagus	1.3247746433	0.19462906437	1	0.185	1.000
middle vs. middle	anterior vs. middle	0.682990833836	0.497003171694	1	0.502	1.000
middle vs. middle	anterior vs. posterior	-0.586823275325	0.559680791726	1	0.571	1.000
middle vs. middle	anterior vs. stomach	0.977557465315	0.334026295221	1	0.340	1.000
middle vs. middle	anterior vs. esophagus	1.51566566995	0.136446130047	1	0.152	1.000
middle vs. middle	middle vs. posterior	-1.08469277245	0.281578994783	1	0.282	1.000
middle vs. middle	middle vs. stomach	0.673714575139	0.503595460972	1	0.496	1.000
middle vs. middle	middle vs. esophagus	1.2693836751	0.209374262483	1	0.225	1.000
middle vs. middle	posterior vs. stomach	0.319694447167	0.750713046049	1	0.756	1.000
middle vs. middle	posterior vs. esophagus	-0.370049091745	0.712908815734	1	0.737	1.000
middle vs. middle	stomach vs. esophagus	1.94631997141	0.059038103933	1	0.061	1.000
posterior vs. posterior	stomach vs. stomach	0.835427188048	0.415778740473	1	0.420	1.000
posterior vs. posterior	esophagus vs. esophagus	0.788971000648	0.439863556383	1	0.437	1.000
