# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
anterior vs. anterior	middle vs. middle	0.465276027241	0.648888585024	1	0.525	1.000
anterior vs. anterior	posterior vs. posterior	0.987437703545	0.335224392564	1	0.385	1.000
anterior vs. anterior	stomach vs. stomach	2.58464322748	0.122734158549	1	0.239	1.000
anterior vs. anterior	anterior vs. middle	0.741671848834	0.473824243751	1	0.707	1.000
anterior vs. anterior	anterior vs. posterior	-0.710722291024	0.489811708431	1	0.265	1.000
anterior vs. anterior	anterior vs. stomach	1.26081380056	0.263007451578	1	0.226	1.000
anterior vs. anterior	anterior vs. esophagus	0.541474224457	0.684062188449	1	1.000	1.000
anterior vs. anterior	middle vs. posterior	-0.771100820126	0.445068497762	1	0.282	1.000
anterior vs. anterior	middle vs. stomach	0.873146027081	0.394749964275	1	0.411	1.000
anterior vs. anterior	middle vs. esophagus	0.465038773494	0.661453380312	1	0.646	1.000
anterior vs. anterior	posterior vs. stomach	-0.530819368554	0.601389413262	1	0.428	1.000
anterior vs. anterior	posterior vs. esophagus	-0.252036234471	0.809424278182	1	0.993	1.000
anterior vs. anterior	stomach vs. esophagus	1.00220591421	0.421801610048	1	0.488	1.000
middle vs. middle	posterior vs. posterior	1.92217131249	0.0629962514405	1	0.068	1.000
middle vs. middle	stomach vs. stomach	0.656177706195	0.521035455624	1	0.504	1.000
middle vs. middle	anterior vs. middle	0.608085121692	0.548616083301	1	0.553	1.000
middle vs. middle	anterior vs. posterior	-3.11716083143	0.0043029480872	0.391568275935	0.008	0.728
middle vs. middle	anterior vs. stomach	0.949420438496	0.35432796298	1	0.350	1.000
middle vs. middle	anterior vs. esophagus	0.452772977413	0.657192169954	1	0.683	1.000
middle vs. middle	middle vs. posterior	-4.33476471924	6.26301402313e-05	0.00569934276104	0.001	0.091
middle vs. middle	middle vs. stomach	0.813737028992	0.422002252205	1	0.392	1.000
middle vs. middle	middle vs. esophagus	0.0407373842014	0.967930292145	1	0.964	1.000
middle vs. middle	posterior vs. stomach	-3.02437107349	0.00471778187724	0.429318150829	0.007	0.637
middle vs. middle	posterior vs. esophagus	-1.61896008689	0.121118184057	1	0.121	1.000
middle vs. middle	stomach vs. esophagus	0.792930750217	0.439418640857	1	0.400	1.000
posterior vs. posterior	stomach vs. stomach	-0.476980650435	0.63807985636	1	0.623	1.000
posterior vs. posterior	anterior vs. middle	-1.25099959203	0.22029403906	1	0.207	1.000
posterior vs. posterior	anterior vs. posterior	-4.88272691351	2.60501379101e-05	0.00237056254982	0.001	0.091
posterior vs. posterior	anterior vs. stomach	-0.590941883535	0.559864661537	1	0.560	1.000
posterior vs. posterior	anterior vs. esophagus	-0.428654552889	0.672539536035	1	0.832	1.000
posterior vs. posterior	middle vs. posterior	-7.34594443797	5.88566441424e-10	5.35595461696e-08	0.001	0.091
posterior vs. posterior	middle vs. stomach	-1.40226338985	0.169171275832	1	0.171	1.000
posterior vs. posterior	middle vs. esophagus	-1.31976811863	0.198870961351	1	0.196	1.000
