	An10Ant1	At4Post1	Ao20Stomach	Zv6Mid2	Zv6Mid1	Ax16Ant2	Ax16Ant1	3AbPost2	Nu1Mid1	Nl17Ant1	13M1	Ao20Post1	12M2	Al12Post3	Al12Post2	9P2	9P1	Al11Esophagus	At14Esophagus	2S	Nu15Mid2	Nu15Mid1	An9Ant2	Zf5Ant1	Zf5Stomach	3AbPost3	10P2	10P1	2P1	At4Mid2	Al12Ant2	7P1	7P2	13S	Zv6Post1	Zv6Post2	Zv6Post3	Nl17Stomach	3M2	3M1	Nl18Mid2	Ax16Stomach	Nl19Stomach	At14Post1	Ct13Stomach	Zf5Post1	Zf5Post3	Zf5Post2	Nl19Post2	Zf5Esophagus	Nl19Esoph	Nu1Ant1	Nl17Esoph	9M1	Al12Stomach	9M2	Nl17Post1	Nl17Post2	7M1	Zv6Stomach	Nl18Esoph	An10Stomach	12A2	Nl8Ant1	Nl8Ant2	12A1	8P2	8P1	U.Food.	6P2	At14Ant1	Nl8Mid2	Nl8Mid1	8A	11S	8S	Nl18Post1	Nl18Post2	1P	1S	Ax16Post1	Ax16Post3	Ax16Post2	1A	10M1	10M2	Ax16Esophagus	Nu1Ant12	9A	Nl19Ant1	3AbStomach	9S	Nl18Stomach	Nl19Mid2	Nl19Mid1	At4Ant1	Zf5Ant2	Zf5Mid2	Nl17Mid1	Nl17Mid2	Nu15Post1	Nu15Post2	Al12Esophagus	6A	Ax16Mid2	13P2	8M	12P1	MG1	Nl18Mid1	12P2	11M	Nl19Post1	3P1	An10Mid	At14Ant2	At14Mid2	At14Mid1	Zv6Ant1	Al11Ant1	Al11Ant2	3A	Nu15Stomach	At14Stomach	Nu1post2	Nu1post3	An9Post2	Nu1post1	HG1	Nl8Esophagus	3Abpost1	Al11Mid1	Ao20Ant1	Nu15Ant1	3AbAnt1	7A2	Nu15Esophagus	2M1	3AbMid2	3P2	1M1	Nl18Ant1	Zv6Ant2	Ao20Esophagus	At4Post2
An10Ant1	0.0	0.772989852406	0.836873955712	0.824918672018	0.737285445254	0.87733990805	0.863194667229	0.783258890141	0.879592237994	0.832432080642	0.945209778812	0.805150735525	0.919215435888	0.835499668401	0.825957667837	0.880466590205	0.976693956722	0.833801459874	0.808222922441	0.888426478936	0.83173731376	0.815166952156	0.751677849397	0.702786917297	0.752216513881	0.814298809858	0.943711831389	0.959836857652	0.969955469322	0.748771490677	0.831265200488	0.9350091084	0.937539309878	0.82615455421	0.720338623858	0.787906410513	0.774275382432	0.841849792331	0.944566833883	0.8477496101	0.798005686578	0.825603455887	0.870136173186	0.749980460249	0.764516930892	0.76258706119	0.772854635484	0.78177706533	0.84780617517	0.805730259663	0.833328187465	0.82984155026	0.846851963813	0.890505994399	0.830084015214	0.972552925005	0.846096188101	0.911600987836	0.940536122327	0.767280113916	0.810073173279	0.773764840263	0.948445258017	0.757653036295	0.754643926383	0.840834683908	0.978209056622	0.96327962206	0.894524273987	0.969246253423	0.816629818002	0.782748160531	0.785110858215	0.892376794494	0.904996249546	0.902564329169	0.834281996346	0.90954186441	0.942723945261	0.910362310441	0.83813893298	0.759768099347	0.827241740368	0.878314203389	0.839238604792	0.848451748292	0.819261493855	0.781317318397	0.907714177678	0.857470083892	0.802259948631	0.95606018634	0.835122910908	0.828397969474	0.801127914444	0.776040405182	0.764476456746	0.788592861662	0.838678808788	0.857213541485	0.913742544326	0.827577180943	0.78098758209	0.87711293996	0.832540104722	0.958725029565	0.875754459624	0.861793965403	0.950816351348	0.759708710779	0.966646395039	0.9525656709	0.838470803361	0.928927998979	0.705756756677	0.838278468821	0.800237398323	0.80530867927	0.792238037117	0.854134648483	0.845162719346	0.88569440267	0.845098928571	0.823561242819	0.838366042349	0.811820590855	0.806610236208	0.872995841804	0.907478905816	0.780189719825	0.802208653724	0.769835488695	0.824716496141	0.831017275922	0.81923830516	0.900290945147	0.805788025848	0.880942099063	0.818501773579	0.946892481524	0.920471235432	0.83699793364	0.767523167941	0.828192246955	0.760439964075
At4Post1	0.772989852406	0.0	0.769975407276	0.863832635727	0.760522855074	0.859318716751	0.855862623417	0.764192442324	0.894562963703	0.769138621137	0.939716392645	0.757195386782	0.91016992593	0.838647036812	0.831738768695	0.867139014887	0.957247599171	0.86615820912	0.755522580561	0.873338028947	0.790778399025	0.785830358919	0.77012704385	0.761362185632	0.793052347365	0.745429851342	0.928360691673	0.941992070269	0.950060656204	0.729981849242	0.878406859306	0.931060541632	0.930068780212	0.81530266846	0.714071809589	0.772221517046	0.769331026461	0.778786111204	0.943096528182	0.854498382789	0.751926637089	0.768222325513	0.820166364662	0.775135381134	0.799184565491	0.721282656776	0.765239703955	0.783524006695	0.801341070273	0.854541225969	0.784778710118	0.842338327866	0.778024167625	0.88613464358	0.818366149989	0.958902444898	0.805435175985	0.900137899754	0.938395054017	0.717504535004	0.750965078561	0.818760993931	0.945697739543	0.758245079244	0.758442758206	0.845195044962	0.959647781251	0.944719660943	0.883410296932	0.952809466396	0.771866212868	0.824928627703	0.789915541898	0.881789401956	0.908107165982	0.902619310943	0.788679385256	0.894957080252	0.92830157614	0.908933362818	0.799351568696	0.807123817108	0.770970153266	0.885695538401	0.837010563198	0.855215110643	0.770309612603	0.854104073266	0.892857677092	0.833939447314	0.805925716572	0.954501010381	0.77895531663	0.785493144265	0.754063812164	0.727583114942	0.723640101704	0.719331011472	0.786489418941	0.809982341444	0.899082362782	0.777521347915	0.79496622066	0.873718899719	0.783221845657	0.939756301761	0.855335201723	0.838250117538	0.946151577099	0.78010898539	0.949061741378	0.948239026713	0.813500209231	0.916913695633	0.788328836422	0.798026942448	0.747421913218	0.755255748387	0.834315579831	0.899738992751	0.905031000252	0.892466966784	0.777427613707	0.764189834047	0.775315874209	0.756849642373	0.833112209764	0.90632830784	0.906232121336	0.753994114321	0.777016445492	0.785269592936	0.745097226654	0.756673897879	0.74599441346	0.905540757322	0.746207980499	0.872733252151	0.774550999375	0.937165230454	0.922225262361	0.778470541198	0.747013992427	0.777205355227	0.735259097963
Ao20Stomach	0.836873955712	0.769975407276	0.0	0.919297167214	0.80570385238	0.849025713447	0.823217103749	0.808249504054	0.95012456539	0.717728782993	0.93857032048	0.725556207815	0.914038131511	0.847160131523	0.855206650379	0.869487255902	0.956115305793	0.931490702296	0.734873770171	0.86538013357	0.72198374865	0.743366709336	0.797309679974	0.832098475182	0.847343885873	0.692185078468	0.932824520099	0.945348196538	0.951327489173	0.759948207913	0.932560873665	0.922365855888	0.923938836968	0.818329250866	0.794186263062	0.818512194741	0.816658399942	0.716764220844	0.936366079769	0.868509439748	0.69432871577	0.694177779318	0.77687892784	0.811044314695	0.840129630899	0.788053952449	0.819223051809	0.829292045893	0.747334993957	0.919712425476	0.721284814903	0.884571231523	0.704384640007	0.88066465591	0.841051227274	0.956223588594	0.772249980403	0.890026927458	0.933890469188	0.766786242173	0.682731927711	0.844930961005	0.940136210916	0.811813773724	0.804887386414	0.835274636903	0.95608530944	0.942159697116	0.873838581174	0.947834096336	0.689342975486	0.86643089486	0.883039256245	0.878575981129	0.908012062231	0.90166292622	0.711825844944	0.885837404721	0.924431706658	0.89703169812	0.754839753507	0.864087808815	0.710701377814	0.886298422932	0.843765891429	0.854240148006	0.726040772182	0.853485693271	0.886386657994	0.778123548349	0.81172010845	0.951613596176	0.723947202723	0.738177067472	0.720806567515	0.767653367994	0.77554451191	0.787951488005	0.729656531339	0.783840765328	0.886735966271	0.706476315232	0.842138298074	0.876168146541	0.717172818052	0.94407104146	0.848598534146	0.838439206551	0.942808078554	0.829680521055	0.948358252918	0.94549277844	0.765894309277	0.915474492454	0.813108968484	0.730050502603	0.714183507994	0.717590026912	0.886248843199	0.923020406876	0.918444419664	0.901435743438	0.721251332284	0.711344696261	0.691029034982	0.691319484907	0.886150612357	0.947676169844	0.908239673193	0.79358950327	0.752889052626	0.77902319963	0.712091052741	0.726873331195	0.704914226055	0.898022360182	0.707171538942	0.886241831045	0.735339782717	0.93310829423	0.921429109817	0.701694962793	0.790305715921	0.717562000924	0.809140432983
Zv6Mid2	0.824918672018	0.863832635727	0.919297167214	0.0	0.779657105032	0.932479744096	0.931498119708	0.87137164485	0.829719770016	0.919408593419	0.963063620157	0.90550142007	0.937864399692	0.899785104702	0.863489641552	0.915264497272	0.977417976847	0.824777464579	0.902225763097	0.91898623425	0.925799297605	0.911348495692	0.870274162285	0.799235391364	0.79879191355	0.912559130421	0.969902971121	0.967352822607	0.971777301555	0.860921593196	0.831559619308	0.949100866794	0.952064219877	0.888653650623	0.806896055535	0.848370477803	0.831766923575	0.924138224119	0.96128483142	0.906247473715	0.915886520531	0.916137840169	0.933679008922	0.815280266398	0.844832131138	0.869770529903	0.858163445508	0.854471133725	0.930898584903	0.790546927379	0.924309543599	0.835106292154	0.924044548137	0.929899969223	0.885331388778	0.970772267423	0.931341932825	0.949003841456	0.953225400329	0.844670464299	0.918232893808	0.876486793674	0.964117223224	0.811437905295	0.826872498639	0.896097247161	0.979475306191	0.970728137151	0.932217937408	0.977163400971	0.905830598599	0.784759792915	0.824154957016	0.928884820633	0.948262729749	0.937049815498	0.927129177309	0.945562381781	0.961050396697	0.944284063975	0.921397945182	0.778922025999	0.914559296011	0.926769830935	0.899909507238	0.910365409762	0.909166136219	0.845847563081	0.932164370603	0.924514263119	0.841218752818	0.960485569236	0.925740010229	0.923140799344	0.897997548764	0.891859688446	0.840388869202	0.872730681749	0.921682220984	0.935094243206	0.942690222407	0.919467018813	0.825897489531	0.914203775308	0.920737216951	0.96716609857	0.920372876346	0.902573304646	0.969692833616	0.798288132625	0.97382864439	0.966726752966	0.922261089525	0.950283440718	0.774647319471	0.935943151241	0.886404387362	0.90658926681	0.742857567063	0.808343227626	0.80262006162	0.921289631276	0.922115016195	0.919398960394	0.920618400853	0.915613481533	0.78603285568	0.850519994309	0.94934281345	0.812320751842	0.887180783292	0.849818887992	0.917574999384	0.923368528869	0.909184819491	0.922397263214	0.907002726609	0.928888157869	0.880847473738	0.963594878482	0.952105737149	0.924112083786	0.781090518376	0.90890276272	0.825609846842
Zv6Mid1	0.737285445254	0.760522855074	0.80570385238	0.779657105032	0.0	0.857919631686	0.867164232251	0.749100360105	0.859067211434	0.815251890827	0.95126892336	0.790707762306	0.921337080032	0.841007077657	0.791444988917	0.884026463212	0.97283695694	0.837602969625	0.800385702585	0.877683059567	0.802666294069	0.810574729217	0.763599886709	0.725618670674	0.724905157236	0.80626682658	0.946955615561	0.952454675758	0.965823983452	0.743111973009	0.844735271013	0.932192752101	0.93708780289	0.813316731437	0.687258228813	0.774074605158	0.747954064052	0.818699227881	0.948339572593	0.854674563733	0.795163038892	0.804483302789	0.850282805221	0.733098257374	0.771309617093	0.767400138188	0.755789226614	0.766418782009	0.818115704816	0.803710107176	0.818700001545	0.822401166818	0.812282347005	0.886892655779	0.811317658131	0.968250890355	0.845832826704	0.90762506213	0.945251012571	0.746049701584	0.80288444988	0.793503228852	0.954392111308	0.764069827242	0.732749467808	0.844552069343	0.96476319268	0.951102211056	0.897561306524	0.963555468663	0.790199527528	0.786482559126	0.788853263975	0.890317679403	0.914770411439	0.907568626687	0.807807631928	0.908577260473	0.941258714092	0.903522623313	0.829069497012	0.758355861543	0.822312649513	0.887259010777	0.843074383279	0.854284356492	0.811761905747	0.810160096092	0.895145785201	0.836267299454	0.780152255657	0.957623229146	0.821947680163	0.819846308382	0.783544345149	0.77002597724	0.736271108316	0.773264669569	0.809418380287	0.84611486744	0.901004342616	0.814997283922	0.786256190748	0.883905559723	0.816395256251	0.957515345695	0.867096807271	0.845772174581	0.956029006385	0.766803560093	0.962269379036	0.9576030711	0.821006879205	0.928684558914	0.714716360742	0.833723109221	0.780473836875	0.811909187083	0.759744819601	0.860565145658	0.872209732419	0.892988135284	0.810760630922	0.824586034422	0.804221558553	0.785180695453	0.801620514422	0.861511818576	0.915912727103	0.742691846929	0.779996309734	0.751773794746	0.805965185799	0.82049395009	0.784282849139	0.889765935834	0.799013022205	0.886186196568	0.7796847039	0.946423789177	0.922306956992	0.804377492465	0.710491628527	0.810902472559	0.74673527794
Ax16Ant2	0.87733990805	0.859318716751	0.849025713447	0.932479744096	0.857919631686	0.0	0.699915762908	0.875005947754	0.961874410973	0.852200356757	0.941577800249	0.850163257147	0.905120105388	0.869401900616	0.861834130429	0.894825502551	0.961963256129	0.953474646013	0.838829269623	0.844354930537	0.832393247365	0.828677976901	0.828878922465	0.872869124077	0.896239006078	0.862125227758	0.935589778004	0.939733908828	0.955267853172	0.853741359008	0.953228235435	0.909334203972	0.890532342327	0.863471060897	0.839021484071	0.86606119125	0.859773938915	0.848989039837	0.932826050227	0.876860843684	0.851491122163	0.823988719622	0.830432653599	0.884425730518	0.85442873101	0.849086548232	0.854062057687	0.864059104627	0.846219141212	0.93712663888	0.855832497834	0.912080076125	0.848746717416	0.844488897233	0.808802825106	0.959339767906	0.854428359909	0.902526690822	0.926352890818	0.834050427559	0.851542090937	0.849284828	0.934917569706	0.872101440354	0.851623569423	0.875330491901	0.958010471053	0.949848398542	0.836932311442	0.950210989356	0.844473089951	0.906223961748	0.90450145935	0.898686781816	0.859388174833	0.847634584585	0.837364151995	0.900451844951	0.930908823019	0.851659060935	0.774265502166	0.880279393366	0.842079787751	0.900593504345	0.864501242392	0.872937096501	0.819763455443	0.880437279125	0.856218708387	0.843742358159	0.877025516808	0.906317012274	0.841165841157	0.84559890462	0.847181140387	0.82607430966	0.856819059418	0.863347575627	0.833998330852	0.848938523732	0.902194536682	0.845999635424	0.884783815675	0.878492964738	0.84625067874	0.944348048071	0.869142767401	0.858948449125	0.941667985227	0.888285288814	0.946628210753	0.942354912261	0.847579204652	0.907172342285	0.863416739355	0.840473764072	0.840759967728	0.842160402305	0.908552276448	0.926625901998	0.935155349625	0.91307781957	0.83050835925	0.836514880182	0.859215634841	0.855373942926	0.913096456868	0.966818343825	0.915202993631	0.864619832015	0.856732778826	0.85766123037	0.845319863453	0.841918883998	0.854555859358	0.813170575653	0.85045742635	0.886257358582	0.859093045408	0.93139578782	0.911529878731	0.831039288929	0.865337731748	0.830222733139	0.856896520702
Ax16Ant1	0.863194667229	0.855862623417	0.823217103749	0.931498119708	0.867164232251	0.699915762908	0.0	0.870678127396	0.96189890678	0.849846230495	0.939882646087	0.822423911802	0.905105057671	0.861584607734	0.861290597225	0.879450105506	0.957041387854	0.952940545205	0.839593447706	0.840644554238	0.823748787083	0.817065855885	0.827834763269	0.869841153374	0.883693936461	0.844973369559	0.938822564778	0.952469627357	0.955660250579	0.839265711791	0.950602617602	0.903230746694	0.892482843019	0.855087141142	0.834814522628	0.856808291623	0.845032946366	0.822742196974	0.935314789287	0.883613177313	0.817120052416	0.818428812668	0.811786690123	0.863156685208	0.849344664964	0.844434604897	0.830084493479	0.859692310076	0.854628326621	0.93435287192	0.842342795803	0.911678476636	0.837944136147	0.859171278081	0.80627854567	0.952027762252	0.852706439239	0.908285996207	0.926654433644	0.832741480349	0.836592663746	0.839007628779	0.93808994404	0.86082912422	0.845490561509	0.865702704979	0.96053312955	0.945719694812	0.829554376507	0.955845521498	0.825862468226	0.889822314059	0.897231657798	0.876705312855	0.838374548084	0.829801782741	0.836126071307	0.905876563821	0.942161217086	0.842557424634	0.75078176349	0.875545899994	0.824309762034	0.896665364834	0.852997995993	0.865784792821	0.809352549266	0.876787955519	0.869358686184	0.848396609997	0.861645681481	0.887876921752	0.830144574829	0.827441032173	0.82850520103	0.823704877112	0.841011760622	0.843071550762	0.828821524427	0.844987444866	0.898954482491	0.832906932916	0.86765372248	0.870943280711	0.8298899524	0.951322999889	0.860294727547	0.84936159856	0.941235919591	0.881002007102	0.947249928082	0.93834742612	0.835932862176	0.914791732869	0.852306907398	0.852625729938	0.834914346121	0.837418060082	0.911014687746	0.929554462748	0.93518582172	0.898579242659	0.809116784792	0.821712077207	0.836398625874	0.831071783129	0.908331635797	0.963962786448	0.913290460265	0.853672278355	0.833908553876	0.8451828299	0.832312242628	0.828917747202	0.849770911249	0.816435697027	0.826507971641	0.879911491902	0.835819206118	0.936345181493	0.932639241577	0.831418782801	0.862976383669	0.820788462402	0.848081711666
3AbPost2	0.783258890141	0.764192442324	0.808249504054	0.87137164485	0.749100360105	0.875005947754	0.870678127396	0.0	0.903937311692	0.787870526541	0.955726010341	0.805380155917	0.919683693648	0.850387395031	0.857462764408	0.893810517971	0.964458424003	0.876736044649	0.817455361857	0.900673017868	0.800179042663	0.802002831253	0.796630617804	0.79458270268	0.801550885241	0.791758554745	0.942697539403	0.949751356321	0.957848577493	0.761261480352	0.880877690118	0.928751991446	0.948021248735	0.819628272332	0.777499689598	0.811011715539	0.803700886973	0.832633617742	0.956971025988	0.866680735207	0.781362059539	0.805016546072	0.870540276262	0.761595662073	0.814379206924	0.781762464924	0.77930163629	0.79139130534	0.818968936752	0.879250736623	0.808709875967	0.848805020169	0.808656262117	0.913690785323	0.855501819175	0.962366145115	0.845076224065	0.905731243721	0.954996990064	0.791833233107	0.784119662799	0.819632361674	0.962780442116	0.798549713869	0.768579569217	0.85751574931	0.964410424562	0.957663231314	0.895757780288	0.959711652972	0.794021667153	0.799377285172	0.807938833787	0.896980035052	0.915712168387	0.918975063139	0.811493670933	0.903397524193	0.938425427306	0.921574658468	0.833146601937	0.790728659064	0.78832334319	0.89962737065	0.860842301131	0.880827145931	0.816128395075	0.814476403845	0.916085535847	0.851510229668	0.753155165715	0.958036259413	0.814009642622	0.822828712539	0.797406519488	0.775646814521	0.774098767248	0.785579558517	0.812426704453	0.855552584325	0.900352323331	0.803116012113	0.790722937183	0.891904786225	0.809863921751	0.948561223696	0.879578594499	0.846687822276	0.960994563415	0.780402792864	0.960705386763	0.963010176208	0.818674754648	0.922031417712	0.779862101209	0.831982305485	0.75289580635	0.799997689106	0.849225814956	0.904385179573	0.898334398318	0.904743788409	0.809717416205	0.80632920847	0.79856553265	0.769491229799	0.857443878796	0.92666861836	0.913352909333	0.772022677562	0.775434217321	0.774221298993	0.802171729626	0.819684122673	0.788110285999	0.912438498405	0.803043883894	0.906843810105	0.779938509798	0.954419841051	0.926767926968	0.8041038659	0.742997783444	0.80639123014	0.778191287239
Nu1Mid1	0.879592237994	0.894562963703	0.95012456539	0.829719770016	0.859067211434	0.961874410973	0.96189890678	0.903937311692	0.0	0.951850687727	0.978168827106	0.941793272097	0.961749688001	0.926702964473	0.879557271492	0.942359286279	0.981046184801	0.82516610871	0.941170192317	0.943193110729	0.946328257751	0.950877840925	0.911847782342	0.859422549855	0.83147249942	0.94707208989	0.972473337708	0.971444333637	0.974907670262	0.920754105797	0.846487850351	0.962663344324	0.972792997036	0.927849335291	0.875158027885	0.905242259673	0.891498615863	0.951962582439	0.976230145794	0.944445884759	0.9475339426	0.950205891241	0.958889461092	0.844836482392	0.883397564441	0.913214014372	0.912707000743	0.924760538678	0.948922592142	0.809283889795	0.952189619085	0.810167756155	0.953174668848	0.955759658156	0.905063717263	0.975660781685	0.953582435095	0.95889217649	0.97557531036	0.902265025149	0.946007383959	0.911025611862	0.979312097643	0.862812094602	0.887463974706	0.939428198788	0.981504649921	0.978229314539	0.957352865878	0.977256834116	0.938237578627	0.858487705566	0.835561960725	0.953356442191	0.97383214524	0.963534372517	0.948520734505	0.962014298979	0.965509280477	0.959548440164	0.957342768751	0.826869501898	0.949603297551	0.95210861715	0.938439124265	0.936201918496	0.951427410085	0.927348806141	0.961041868838	0.951715198989	0.905603528092	0.975453532425	0.954392314017	0.955927824521	0.935748922766	0.924855388313	0.897255256787	0.904945722609	0.943600690029	0.952794693134	0.954077840968	0.950607193522	0.877366619401	0.954000933165	0.952977132096	0.97013646902	0.950983327628	0.940582881803	0.981141278217	0.873434521696	0.981767244574	0.97938687782	0.94757283795	0.96121054276	0.878639475786	0.952208492823	0.92600312253	0.940448814057	0.850700041238	0.870552193454	0.871240668646	0.953707502437	0.953819565939	0.948531109472	0.952664391343	0.946830107348	0.82504969028	0.82232418698	0.960890929947	0.877372278223	0.933708161497	0.891193501745	0.951121527505	0.958664042912	0.933795796798	0.963405567292	0.945798610865	0.951141331971	0.928129303438	0.969948756597	0.957965686887	0.95431985014	0.886427998842	0.939437404922	0.90048126333
Nl17Ant1	0.832432080642	0.769138621137	0.717728782993	0.919408593419	0.815251890827	0.852200356757	0.849846230495	0.787870526541	0.951850687727	0.0	0.95612704177	0.716233385394	0.906499346022	0.833632129775	0.859722986212	0.885579026299	0.945575133108	0.930613334715	0.725626101393	0.887090398939	0.721820808095	0.734610665129	0.817061133702	0.822148622887	0.859149555785	0.657358221275	0.922926838893	0.932924072859	0.93837891815	0.74603900544	0.936435971426	0.926505307962	0.945529731401	0.828145531688	0.800744442086	0.82936893106	0.814473059968	0.736936674831	0.962565754567	0.882676910393	0.694137971117	0.707543397866	0.784151406122	0.806451973841	0.844433729038	0.800231998912	0.810355286411	0.833583951274	0.741967662071	0.92085894588	0.698463514175	0.887069990719	0.729343701187	0.904249302907	0.850037403203	0.947814263841	0.76272041832	0.882373776193	0.959283100531	0.770109422368	0.71639595659	0.853236902544	0.965303843922	0.811415040125	0.799969226068	0.865850981981	0.947944100643	0.940105580981	0.876402096585	0.940302538344	0.684985489363	0.871242092133	0.879242770632	0.882374510276	0.922557050879	0.914624301609	0.725931943233	0.878567909764	0.916296793736	0.912112261132	0.76453142954	0.855880311252	0.676036034463	0.902190442937	0.870756587512	0.868624006909	0.726751988264	0.844344525737	0.898024934718	0.798109654694	0.804394384678	0.954903625602	0.715916016653	0.750159205903	0.738891305687	0.739037771785	0.771692674146	0.786544364755	0.754462630336	0.797531448048	0.880820295257	0.683240821665	0.832376503299	0.897857359598	0.708732693557	0.934238367639	0.860728514309	0.833560318622	0.965157703879	0.812016301244	0.938743161415	0.966092776351	0.768086926977	0.908895455127	0.817319809454	0.733503609474	0.695927167557	0.708959159146	0.899469995103	0.92640727554	0.923559118346	0.912690013031	0.737649657331	0.722352007923	0.699348002863	0.676786992769	0.904421624461	0.959221968287	0.901596433201	0.787876978537	0.751466901859	0.777386353079	0.704880920083	0.721600361212	0.709725128783	0.913923331647	0.703960601373	0.898776229144	0.740751361547	0.958187982181	0.92320518261	0.707367489035	0.782997466276	0.740058413767	0.799389871458
